#FeatureID	ESTIMATED
G000011365	0.0285305
G000013365	0.146041
G000013745	0.0346964
G000013885	0.0106299
G000014825	0.0333677
G000195775	0.132291
G000284375	0.0257834
G000314675	0.0151983
G000336555	0.0138099
G000344805	0.0321584
G000472425	0.0154372
G000504425	0.0197071
G000701345	0.0135561
G000935205	0.0445798
G000938285	0.0189158
G000938305	0.0516863
G001295845	0.223362
G001440405	0.0193488
G001641695	0.02226
G001693385	0.0183933
G001908185	0.01908
G900011245	0.0196175
G900104755	0.0256341
G900108575	0.015915
