REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
G000009765	0.173835	0.40442	0.2018888849192697
G000010605	0.175011	0.39703	0.20889960689828702
G000024025	0.217409	0.21224	0.3512026929464638
G000091305	0.15758	0.47949	0.20193010711328424
G000092385	0.192784	0.37066	0.2391361799663923
G000147815	0.192318	0.35503	0.23789617996639228
G000156435	0.177256	0.39799	0.2081902439386587
G000158915	0.193736	0.35412	0.2450261799663923
G000158935	0.178167	0.4016	0.2124502439386587
G000158955	0.175516	0.38947	0.2122502439386587
G000163875	0.186851	0.34736	0.2403492699425416
G000203835	0.177384	0.41252	0.21251024393865872
G000204605	0.183163	0.35754	0.21245887081470335
G000213055	0.192904	0.29372	0.2432141908562468
G000240165	0.195724	0.33593	0.2329687856988093
G000242715	0.0293786	0.00878	0.22724402925251364
G000253235	0.183486	0.38361	0.21152926994254162
G000269985	0.202546	0.34352	0.2624060339100557
G000317595	0.160632	0.44555	0.19826098309549764
G000331005	0.174904	0.41348	0.21618019763438268
G000342125	0.195854	0.31773	0.22400617186056604
G000349325	0.174666	0.41321	0.20270803281060654
G000372745		0.30237269294646374
G000373565	0.200602	0.0164	0.21963020613614834
G000373665	0.207839	0.03448	0.2377087856988093
G000375725	0.22651	0.02732	0.2095302851071798
G000380165		0.26748466214432404
G000381025	0.205877	0.22732	0.27694421617241616
G000384115	0.216638	0.14051	0.37155269294646376
G000384175	0.185146	0.03008	0.21156926994254166
G000424785	0.203794	0.27402	0.2601742161724162
G000424825	0.196808	0.28859	0.24325421617241616
G000424845	0.19548	0.25275	0.25519421617241617
G000424965	0.198077	0.25485	0.2601742161724162
G000426325	0.197338	0.27149	0.23608421617241615
G000429085	0.183956	0.33042	0.21500633977632916
G000444875	0.179403	0.3868	0.19659402925251362
G000497405	0.192095	0.23991	0.2655842161724162
G000497425	0.186776	0.35456	0.22676762327307842
G000497445	0.177923	0.37658	0.21054402925251364
G000504285	0.213745	0.21151	0.3417926929464638
G000695235	0.19224	0.35093	0.22406617186056604
G000696185	0.202783	0.32012	0.2642460339100557
G000710465	0.200261	0.34026	0.24996603391005567
G000716215	0.173151	0.41599	0.2086815647818453
G000716675	0.185866	0.37715	0.2086902061361483
G000716805	0.176917	0.39292	0.21771888491926966
G000717345	0.189295	0.34195	0.21760617186056602
G000717715	0.201324	0.34193	0.25206603391005566
G000717745	0.188913	0.33264	0.22531617186056607
G000718015	0.192067	0.31977	0.22102617186056606
G000718025	0.20066	0.3419	0.25645603391005567
G000718095	0.183016	0.36254	0.22152762327307843
G000718315	0.183069	0.37611	0.20825402925251363
G000718595	0.184039	0.36286	0.21289926994254166
G000718635	0.192751	0.33929	0.22321617186056603
G000718985	0.192609	0.28618	0.24600421617241616
G000719135	0.203542	0.25258	0.2676542161724162
G000719265	0.190303	0.31902	0.21857617186056605
G000719335	0.189589	0.36105	0.22204926994254168
G000719955	0.188809	0.33851	0.21801419085624685
G000720455	0.187781	0.3518	0.22937926994254165
G000720475	0.183847	0.34932	0.21679020613614836
G000721105	0.173964	0.40958	0.2018115647818453
G000721235	0.179195	0.40863	0.20875024393865868
G000721265	0.191398	0.29782	0.2453776232730784
G000721275	0.187404	0.38331	0.21623926994254164
G000721445	0.200505	0.30931	0.25652421617241616
G000725495	0.178052	0.40828	0.20484888491926972
G000725795	0.179698	0.34042	0.20993402925251364
G000744225	0.195164	0.31764	0.26065603391005565
G000744655	0.191992	0.31929	0.24012830715213235
G000744785	0.194865	0.30191	0.25511603391005566
G000744815	0.200575	0.29852	0.26095514324147895
G000745345	0.198043	0.30803	0.2448387856988093
G000787795	0.120875	0.01971	0.2503183071521323
G000787835	0.193921	0.31163	0.25121830715213234
G000802245	0.183417	0.31814	0.2275940292525136
G000818195	0.223168	0.03171	0.22552762327307846
G000819545	0.174663	0.12665	0.2150543777537687
G000827005	0.18665	0.34601	0.2187712931563407
G000830005	0.183953	0.38368	0.20894926994254165
G000935125	0.189542	0.3188	0.21703617186056604
G000938975	0.193081	0.36623	0.23444617996639228
G000955975	0.195395	0.29008	0.25510603391005565
G000964305	0.200145	0.26182	0.2603142161724161
G000968255	0.175911	0.41477	0.2040688849192697
G000993785	0.198483	0.25546	0.25957421617241616
G001005085	0.178066	0.41539	0.2085040292525136
G001011035	0.20303	0.31223	0.2500242161724162
G001013905	0.178554	0.39804	0.20241024393865872
G001083795	0.203954	0.29203	0.2673742161724162
G001187435	0.193239	0.31922	0.22151617186056605
G001278075	0.182875	0.37254	0.22458926994254164
G001279695	0.182921	0.36555	0.21783926994254166
G001279725	0.185871	0.31614	0.23239926994254162
G001279985	0.177989	0.39601	0.2070302439386587
G001298575	0.181649	0.40313	0.21318203786073736
G001418335	0.176492	0.36993	0.21417888491926967
G001418415	0.178814	0.37428	0.21478024393865872
G001418465	0.184558	0.36427	0.21123020613614835
G001418495	0.184589	0.27043	0.2245361799663923
G001418575	0.19587	0.29111	0.24866603391005565
