REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
G000009765	0.180007	0.30517	0.16529707643840266
G000010605	0.191747	0.28067	0.19806458636131105
G000091305	0.188377	0.30327	0.17514120523204624
G000158935	0.18443	0.31009	0.17172155722418136
G000158955	0.18631	0.27561	0.17177295146436822
G000163875	0.197475	0.24501	0.21723458636131102
G000203835	0.185095	0.32413	0.1717815572241813
G000213055	0.19764	0.23052	0.21807424031147613
G000225525	0.161694	0.05431	0.16623782800440304
G000253235	0.192087	0.27734	0.18841458636131103
G000317595	0.187291	0.29468	0.17295120523204618
G000331005	0.185974	0.28011	0.17840088383017721
G000342125	0.20046	0.24115	0.20251149134201774
G000349325	0.185156	0.29247	0.16525782800440306
G000375725	0.222948	0.0251	0.19745458636131102
G000376565	0.187028	0.31792	0.1721508838301772
G000384175	0.174705	0.05869	0.18845458636131104
G000429085	0.194096	0.22615	0.19577458636131104
G000444875	0.187819	0.29561	0.1544951715296596
G000497425	0.19474	0.25713	0.20649458636131102
G000716215	0.185607	0.28914	0.17022354178979157
G000716675	0.188153	0.30279	0.1754870489992478
G000716805	0.17984	0.3075	0.17970373144182228
G000717025	0.18979	0.24166	0.20220458636131106
G000717345	0.154436	0.32767	0.17620418318864892
G000717745	0.184173	0.27198	0.19766722558205202
G000718015	0.183845	0.2687	0.19084340669371944
G000718095	0.188813	0.25222	0.20125458636131105
G000718315	0.190403	0.2985	0.1655225127523802
G000718595	0.190851	0.2634	0.18978458636131104
G000718635	0.19268	0.26863	0.20172149134201778
G000719265	0.192567	0.25116	0.19708149134201777
G000719335	0.195651	0.27367	0.2008545863613111
G000719955	0.193552	0.26601	0.19287424031147615
G000720455	0.194933	0.25978	0.20818458636131104
G000720475	0.188257	0.27647	0.18358704899924783
G000721235	0.187587	0.29417	0.1680215572241813
G000721265	0.196	0.2271	0.2251045863613111
G000721275	0.195586	0.2849	0.19312458636131105
G000725495	0.18553	0.3021	0.16825707643840268
G000725795	0.186639	0.25106	0.16834832809345296
G000802245	0.189969	0.23967	0.1841525290134333
G000818195	0.20633	0.05138	0.20525458636131105
G000819545	0.177217	0.09196	0.17848937936800982
G000827005	0.19328	0.26235	0.19321528948836042
G000830005	0.190442	0.28977	0.18583458636131106
G000935125	0.176064	0.28829	0.1817589970255863
G000968255	0.181767	0.31947	0.1674770764384027
G001005085	0.18891	0.32122	0.1677642163104821
G001013905	0.184185	0.29104	0.1616815572241813
G001187435	0.194366	0.24742	0.20002149134201774
G001278075	0.189166	0.27349	0.20147458636131102
G001279695	0.186214	0.28654	0.19472458636131104
G001279725	0.191788	0.2314	0.21120458636131104
G001298575	0.189952	0.29772	0.17644088383017723
G001418335	0.170659	0.29945	0.17378105560019866
G001418415	0.185558	0.27932	0.170476603589928
G001418465	0.184369	0.29264	0.1780270489992478
G001418475	0.187737	0.28624	0.17554120523204622
G001418585	0.184793	0.30928	0.16854643964639102
G001419695	0.185757	0.25223	0.17619660358992803
G001419745	0.185081	0.30162	0.1762870489992478
G001509795	0.184724	0.2911	0.16095782800440306
G001511815	0.188271	0.32428	0.15825252901343329
G001513975	0.184415	0.28388	0.16274782800440304
G001514045	0.184264	0.30392	0.1690726204055331
G001611795	0.183574	0.30618	0.1623429514643682
G001646665	0.190983	0.28306	0.18491458636131106
G001654495	0.187951	0.29275	0.16438949351119073
G001660045	0.184176	0.30325	0.16931155722418129
G001693675	0.195516	0.23028	0.21475458636131103
G001746425	0.190764	0.25663	0.20418458636131107
G001750785	0.193518	0.26211	0.19899458636131107
G001905365	0.189534	0.2721	0.19216458636131106
