#FeatureID	ESTIMATED
G000009765	0.0239437
G000091305	0.130157
G000156435	0.0142005
G000158935	0.0124606
G000158955	0.0168683
G000203835	0.0151781
G000317595	0.0865286
G000331005	0.026396
G000349325	0.0272742
G000376565	0.0419056
G000444875	0.0141011
G000497445	0.0160563
G000716215	0.0421707
G000716805	0.0249876
G000718315	0.0124275
G000719335	0.0126429
G000720455	0.0141674
G000721105	0.0485998
G000721275	0.0178459
G000830005	0.0487821
G000968255	0.0140182
G001005085	0.032179
G001013905	0.0137034
G001278075	0.0135874
G001279985	0.0157249
G001298575	0.0210936
G001418335	0.0226512
G001418585	0.0337862
G001418655	0.0253024
G001419745	0.0125601
G001509795	0.0197514
G001511815	0.0163546
G001513975	0.0389561
G001611795	0.0221541
G001654495	0.0169843
G001660045	0.0157415
G001905365	0.0187572
