REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
G000009765	0.168966	0.54957	0.16262018114555907
G000010605	0.180819	0.47983	0.19135999499792913
G000091305	0.173976	0.52811	0.17203540194049977
G000156435	0.164077	0.53959	0.1617328619304954
G000158935	0.141373	0.6289	0.14196794712131788
G000158955	0.16591	0.55317	0.16591704843024527
G000163875	0.188505	0.41353	0.20991245908066042
G000203835	0.141428	0.6381	0.1420279471213179
G000213055	0.191953	0.4019	0.21320809508746333
G000225525	0.182359	0.07636	0.16266689783634797
G000242715	0.0305856	0.00214	0.18423712608872397
G000253235	0.180546	0.48912	0.18186988710680216
G000317595	0.172901	0.50877	0.16984540194049977
G000331005	0.175091	0.51485	0.17516564359575174
G000349325	0.167283	0.55019	0.16168689783634793
G000373565	0.202969	0.01678	0.17650046202667755
G000375725	0.213197	0.04282	0.18971773276690052
G000376565	0.172077	0.54763	0.16891564359575173
G000384175	0.202781	0.04368	0.18190988710680217
G000429085	0.180705	0.44414	0.19038061095949455
G000444875	0.168661	0.5299	0.15358712608872402
G000497425	0.18493	0.45152	0.20129131978362325
G000497445	0.170716	0.51059	0.167537126088724
G000716215	0.167014	0.55184	0.16682689783634794
G000716805	0.173882	0.51948	0.17845018114555905
G000717025	0.182407	0.44796	0.19549999499792914
G000718095	0.183764	0.44091	0.19605131978362322
G000718315	0.172751	0.50608	0.16524712608872402
G000718595	0.179576	0.47607	0.18323988710680214
G000719335	0.185641	0.45058	0.19526112079437735
G000719955	0.184046	0.46237	0.18800809508746333
G000720455	0.185808	0.44384	0.20259112079437738
G000720475	0.151755	0.58556	0.15427436474350156
G000721105	0.168105	0.54438	0.15995689783634795
G000721235	0.145839	0.6169	0.13826794712131787
G000721265	0.191193	0.38084	0.21990131978362326
G000721275	0.182031	0.49325	0.18657988710680212
G000725495	0.173125	0.54123	0.1655801811455591
G000725795	0.171504	0.48621	0.16692712608872398
G000802245	0.177997	0.42846	0.184587126088724
G000818195	0.214374	0.04754	0.20005131978362325
G000819545	0.176585	0.24257	0.17535428489092497
G000827005	0.181677	0.4691	0.1882335114717334
G000830005	0.180707	0.4876	0.17928988710680216
G000968255	0.170228	0.56134	0.16480018114555905
G001005085	0.172176	0.552	0.165497126088724
G001013905	0.163331	0.55073	0.15444086582834443
G001279695	0.177907	0.47732	0.1895585887724976
G001279725	0.188215	0.40545	0.20561112079437738
G001279985	0.16937	0.55534	0.16260462490795896
G001298575	0.176695	0.52022	0.17320564359575175
G001418335	0.173662	0.51469	0.1749101811455591
G001418415	0.167752	0.506	0.1683228619304954
G001418465	0.166278	0.57664	0.16230757496868709
G001418475	0.172451	0.51024	0.17243540194049975
G001418585	0.171492	0.52427	0.16499689783634797
G001418655	0.171396	0.55796	0.15963018114555907
G001419695	0.167551	0.47141	0.1740428619304954
G001419745	0.163529	0.58326	0.16056757496868712
G001509795	0.167548	0.55518	0.157386897836348
G001511815	0.170136	0.56591	0.158687126088724
G001513975	0.16641	0.54623	0.15917689783634795
G001514045	0.169257	0.54493	0.16560689783634794
G001611795	0.165364	0.55311	0.15648704843024527
G001646665	0.17887	0.47853	0.17836988710680216
G001654495	0.168252	0.52558	0.16197712608872403
G001693675	0.187081	0.40593	0.20743245908066044
G001746425	0.186593	0.44081	0.19859112079437735
G001750785	0.183503	0.44007	0.19244988710680216
