SequenceName	ClusterNumber
N254	1
N255	1
N263	1
N268	1
N256	1
N264	1
N265	1
N257	1
N258	1
N269	1
N270	1
N282	1
N271	1
N283	1
N272	1
N284	1
N285	1
N401	1
N273	1
N289	1
N298	1
N314	1
N321	1
N350	1
N351	1
N353	1
N274	1
N275	1
N290	1
N315	1
N489	1
N291	1
N299	1
N316	1
N317	1
N322	1
N371	1
N490	1
N292	1
N293	1
N300	1
N301	1
N304	1
N305	1
N307	1
N308	1
N323	1
N324	1
N327	1
N328	1
N330	1
N354	1
N355	1
N357	1
N409	1
N429	1
N430	1
N432	1
N331	1
N358	1
N372	1
N402	1
N403	1
N405	1
N406	1
N410	1
N504	1
N373	1
N379	1
N384	1
N411	1
N491	1
N496	1
N332	1
N337	1
N359	1
N360	1
N362	1
N374	1
N375	1
N380	1
N381	1
N385	1
N412	1
N433	1
N434	1
N436	1
N446	1
N492	1
N493	1
N497	1
N505	1
N333	1
N334	1
N338	1
N339	1
N363	1
N364	1
N386	1
N437	1
N447	1
N453	1
N498	1
N499	1
N506	1
N530	1
N387	1
N413	1
N414	1
N416	1
N438	1
N448	1
N449	1
N454	1
N455	1
N458	1
N507	1
N531	1
N532	1
N535	1
N388	1
N389	1
N417	1
N439	1
N440	1
N459	1
N465	1
N466	1
N508	1
N536	1
N537	1
N540	1
N547	1
N418	1
N419	1
N460	1
N461	1
N468	1
N473	1
N541	1
N469	1
N470	1
N474	1
N509	1
N516	1
N542	1
N543	1
N548	1
N549	1
N551	1
N475	1
N476	1
N510	1
N552	1
N511	1
N512	1
N517	1
N518	1
N520	1
N521	1
N553	1
N554	1
N555	1
N557	1
N558	1
N560	1
N561	1
N562	1
N563	1
N564	1
N566	1
N567	1
N722	2
N723	2
N725	2
N726	2
N751	2
N756	2
N786	2
N787	2
N727	2
N752	2
N753	2
N789	2
N757	2
N790	2
N798	2
N728	2
N729	2
N758	2
N770	2
N791	2
N799	2
N800	2
N803	2
N810	2
N731	2
N732	2
N759	2
N771	2
N772	2
N775	2
N776	2
N778	2
N779	2
N792	2
N793	2
N804	2
N811	2
N734	2
N739	2
N805	2
N806	2
N812	2
N735	2
N736	2
N740	2
N741	2
N760	2
N761	2
N763	2
N764	2
N813	2
N814	2
N815	2
N816	2
N817	2
N600	3
N601	3
N603	3
N612	3
N604	3
N613	3
N831	3
N605	3
N606	3
N607	3
N651	3
N1042	3
N1043	3
N1045	3
N832	3
N833	3
N835	3
N843	3
N1087	3
N1150	3
N1151	3
N614	3
N619	3
N629	3
N630	3
N652	3
N836	3
N1088	3
N1096	3
N1097	3
N1153	3
N615	3
N616	3
N620	3
N632	3
N633	3
N653	3
N661	3
N837	3
N838	3
N844	3
N973	3
N978	3
N1046	3
N1051	3
N1063	3
N1070	3
N1089	3
N1099	3
N1154	3
N1155	3
N1158	3
N621	3
N635	3
N636	3
N638	3
N654	3
N686	3
N687	3
N928	3
N933	3
N941	3
N942	3
N974	3
N975	3
N979	3
N1047	3
N1048	3
N1052	3
N1064	3
N1071	3
N1090	3
N1091	3
N1100	3
N1110	3
N1159	3
N622	3
N623	3
N639	3
N655	3
N656	3
N662	3
N663	3
N665	3
N689	3
N690	3
N845	3
N846	3
N877	3
N878	3
N880	3
N886	3
N929	3
N930	3
N934	3
N944	3
N980	3
N1053	3
N1065	3
N1066	3
N1072	3
N1101	3
N1111	3
N1117	3
N1118	3
N1160	3
N1161	3
N1165	3
N1180	3
N1181	3
N640	3
N692	3
N848	3
N881	3
N882	3
N895	3
N896	3
N935	3
N936	3
N945	3
N951	3
N956	3
N1054	3
N1102	3
N1112	3
N1113	3
N1120	3
N1166	3
N1172	3
N1173	3
N1175	3
N1176	3
N1222	3
N641	3
N642	3
N666	3
N693	3
N694	3
N697	3
N698	3
N700	3
N849	3
N857	3
N862	3
N887	3
N888	3
