#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290908//.mixture_reads-QGJVaI.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000970325	0.172479
SAMPLE	G000185145	0.189369
SAMPLE	G000878905	0.193217
SAMPLE	G000717175	0.177171
SAMPLE	G900115355	0.207351
SAMPLE	G001769625	0.213842
SAMPLE	G001801625	0.194977
SAMPLE	G001604025	0.214546
SAMPLE	G000393955	0.173454
SAMPLE	G001656115	0.179973
SAMPLE	G001286805	0.166771
SAMPLE	G001267155	0.194281
SAMPLE	G001560115	0.208984
SAMPLE	G000175255	0.173967
SAMPLE	G001824095	0.221711
SAMPLE	G001627015	0.21851
SAMPLE	G000613505	0.187154
SAMPLE	G000612665	0.172044
SAMPLE	G001436325	0.169749
SAMPLE	G000374805	0.136116
SAMPLE	G000590475	0.124819
SAMPLE	G000015705	0.154884
SAMPLE	G000576305	0.184394
SAMPLE	G900115425	0.153927
SAMPLE	G001563335	0.223893
SAMPLE	G001601215	0.169551
SAMPLE	G000875895	0.192103
SAMPLE	G001423845	0.133911
SAMPLE	G000949635	0.188334
SAMPLE	G000011105	0.205317
SAMPLE	G000411555	0.144785
SAMPLE	G000437435	0.209447
SAMPLE	G000174755	0.185364
SAMPLE	G900103215	0.193188
SAMPLE	G000317105	0.161687
SAMPLE	G000463345	0.154305
SAMPLE	G000432215	0.203465
SAMPLE	G000938285	0.140978
SAMPLE	G002017915	0.116917
SAMPLE	G000236165	0.158894
SAMPLE	G000378485	0.186642
SAMPLE	G001801665	0.193879
SAMPLE	G000019805	0.101722
SAMPLE	G900102205	0.213556
SAMPLE	G001876175	0.176258
SAMPLE	G001263355	0.182131
SAMPLE	G000745135	0.138423
SAMPLE	G001975825	0.188419
SAMPLE	G000743575	0.152204
SAMPLE	G001797235	0.205552
SAMPLE	G900100375	0.185925
SAMPLE	G001787475	0.157228
SAMPLE	G001297905	0.160304
SAMPLE	G000006605	0.146148
SAMPLE	G000832015	0.130445
SAMPLE	G000378345	0.168653
SAMPLE	G001819945	0.197191
SAMPLE	G900115665	0.192768
SAMPLE	G001713665	0.177299
SAMPLE	G000769435	0.19496
SAMPLE	G001011035	0.151317
SAMPLE	G000495695	0.183885
SAMPLE	G000714545	0.168967
SAMPLE	G000312365	0.195598
SAMPLE	G001548675	0.207808
SAMPLE	G001447995	0.189027
SAMPLE	G001784055	0.164589
SAMPLE	G001586755	0.188341
SAMPLE	G000425365	0.133514
SAMPLE	G001547735	0.184257
SAMPLE	G000067165	0.127721
SAMPLE	G001790495	0.205876
SAMPLE	G000336655	0.136533
SAMPLE	G000148725	0.145333
SAMPLE	G001412125	0.163628
SAMPLE	G001805855	0.225076
SAMPLE	G001897535	0.180892
SAMPLE	G001917495	0.210587
SAMPLE	G001687195	0.184161
SAMPLE	G000280015	0.181978
SAMPLE	G000622365	0.158059
SAMPLE	G001781375	0.201581
SAMPLE	G900115435	0.212766
SAMPLE	G000744555	0.188204
SAMPLE	G001873405	0.218959
SAMPLE	G001871285	0.208378
SAMPLE	G001789285	0.220548
SAMPLE	G001796685	0.225184
SAMPLE	G000425125	0.194145
SAMPLE	G000017585	0.183256
SAMPLE	G001869945	0.177293
SAMPLE	G000306195	0.219815
SAMPLE	G900156415	0.166496
SAMPLE	G000007265	0.178839
SAMPLE	G001508835	0.206188
SAMPLE	G000517385	0.17333
SAMPLE	G001796605	0.169737
SAMPLE	G001766415	0.150201
SAMPLE	G002007725	0.180791
SAMPLE	G001868145	0.17133
SAMPLE	G001632075	0.160091
SAMPLE	G001000955	0.198106
SAMPLE	G900061635	0.17111
SAMPLE	G001637495	0.176218
SAMPLE	G002007645	0.163791
SAMPLE	G000245195	0.218637
SAMPLE	G001818495	0.185977
SAMPLE	G000434475	0.193593
SAMPLE	G000993865	0.213878
SAMPLE	G001682255	0.155799
SAMPLE	G000013445	0.191038
SAMPLE	G000025085	0.176933
SAMPLE	G001803475	0.195618
SAMPLE	G000421245	0.167569
SAMPLE	G000435735	0.211051
SAMPLE	G900114075	0.171036
SAMPLE	G000174415	0.150364
SAMPLE	G001001935	0.225187
SAMPLE	G000687415	0.180254
SAMPLE	G001791275	0.159706
SAMPLE	G001868405	0.18128
SAMPLE	G000314935	0.17508
SAMPLE	G001676585	0.178079
SAMPLE	G001604165	0.200353
SAMPLE	G000993085	0.182319
SAMPLE	G000425145	0.199621
SAMPLE	G000598065	0.148292
SAMPLE	G001920815	0.171015
SAMPLE	G000384415	0.172183
SAMPLE	G900061695	0.174701
SAMPLE	G000336255	0.16678
SAMPLE	G000431855	0.208318
SAMPLE	G001873595	0.198977
SAMPLE	G000272145	0.182845
SAMPLE	G000373785	0.200312
SAMPLE	G001438925	0.186416
SAMPLE	G900101875	0.196905
SAMPLE	G000423225	0.149219
SAMPLE	G000158155	0.147777
SAMPLE	G000566685	0.187462
SAMPLE	G000754445	0.191063
SAMPLE	G000056065	0.14229
SAMPLE	G000265365	0.150533
SAMPLE	G001789155	0.172209
SAMPLE	G000424845	0.135593
SAMPLE	G001628475	0.22027
SAMPLE	G000763805	0.156874
SAMPLE	G000259175	0.16048
SAMPLE	G001788805	0.182181
SAMPLE	G001002415	0.181906
SAMPLE	G000501015	0.21696
SAMPLE	G001275395	0.199146
SAMPLE	G001784695	0.21339
SAMPLE	G000621185	0.17381
SAMPLE	G001002765	0.18238
SAMPLE	G001818175	0.184733
SAMPLE	G900129465	0.18746
SAMPLE	G000739535	0.180461
SAMPLE	G000018945	0.171026
SAMPLE	G000022565	0.14861
SAMPLE	G000011965	0.133537
SAMPLE	G000266905	0.151299
SAMPLE	G001775445	0.19902
SAMPLE	G000014865	0.150596
SAMPLE	G000244755	0.180689
SAMPLE	G000511405	0.148713
SAMPLE	G000203855	0.156174
SAMPLE	G001820955	0.204158
SAMPLE	G001513395	0.164179
SAMPLE	G001781875	0.217307
SAMPLE	G000016665	0.171185
SAMPLE	G002005305	0.159504
SAMPLE	G000432975	0.207471
SAMPLE	G001591605	0.191456
SAMPLE	G900107335	0.176896
SAMPLE	G001564695	0.202356
SAMPLE	G000155515	0.161458
SAMPLE	G000635535	0.184764
SAMPLE	G001270745	0.160605
SAMPLE	G001656455	0.18069
SAMPLE	G000426465	0.187696
SAMPLE	G001780235	0.173773
SAMPLE	G001824685	0.199381
SAMPLE	G000213805	0.126519
SAMPLE	G000436795	0.217809
SAMPLE	G000751555	0.209059
SAMPLE	G000744415	0.190328
SAMPLE	G900111285	0.171718
SAMPLE	G001002285	0.19994
SAMPLE	G001028645	0.174523
SAMPLE	G001515525	0.147129
SAMPLE	G000701665	0.167577
SAMPLE	G000282075	0.184627
SAMPLE	G000426805	0.170687
SAMPLE	G000622425	0.158199
SAMPLE	G000255555	0.182906
SAMPLE	G001423765	0.140387
SAMPLE	G001457795	0.130651
SAMPLE	G001592965	0.185993
SAMPLE	G000997545	0.220936
SAMPLE	G000632845	0.199303
SAMPLE	G000990725	0.217035
SAMPLE	G000436835	0.208797
SAMPLE	G001437755	0.20392
SAMPLE	G000964595	0.191493
SAMPLE	G000226565	0.174724
SAMPLE	G001783215	0.188896
SAMPLE	G900119185	0.179401
SAMPLE	G000368905	0.167202
SAMPLE	G000364325	0.181915
SAMPLE	G001310225	0.197717
SAMPLE	G001932175	0.181391
SAMPLE	G900060365	0.171746
SAMPLE	G001603415	0.20515
SAMPLE	G000633215	0.19094
SAMPLE	G000971295	0.154406
SAMPLE	G001777855	0.213982
SAMPLE	G000374545	0.204949
SAMPLE	G001793105	0.170453
SAMPLE	G000241305	0.187512
SAMPLE	G000374525	0.153209
SAMPLE	G001427985	0.142861
SAMPLE	G000202635	0.151207
SAMPLE	G000996105	0.174262
SAMPLE	G900109425	0.181658
SAMPLE	G001820635	0.214215
SAMPLE	G000433915	0.213985
SAMPLE	G001303705	0.145356
SAMPLE	G001375555	0.158408
SAMPLE	G000518745	0.188735
SAMPLE	G000225825	0.148693
SAMPLE	G001042405	0.175624
SAMPLE	G001600985	0.173587
SAMPLE	G000174395	0.166761
SAMPLE	G900107615	0.172242
SAMPLE	G000701925	0.192922
SAMPLE	G001042715	0.184001
SAMPLE	G000438415	0.208041
SAMPLE	G000437995	0.210337
SAMPLE	G001784095	0.220617
SAMPLE	G001485475	0.195216
SAMPLE	G001822735	0.20165
SAMPLE	G000520015	0.145336
SAMPLE	G000429405	0.186549
SAMPLE	G001302425	0.193081
SAMPLE	G000724625	0.15277
SAMPLE	G000715975	0.150038
SAMPLE	G000998555	0.21749
SAMPLE	G000419485	0.2075
SAMPLE	G001002655	0.218256
SAMPLE	G000771775	0.172338
SAMPLE	G001821215	0.215064
SAMPLE	G000455165	0.172809
SAMPLE	G000374005	0.205401
SAMPLE	G000423105	0.202673
SAMPLE	G001484195	0.225021
SAMPLE	G000018865	0.17399
SAMPLE	G000013645	0.137502
SAMPLE	G000722635	0.173986
SAMPLE	G001956985	0.162498
SAMPLE	G000437715	0.19983
SAMPLE	G900114165	0.197609
SAMPLE	G000747345	0.181794
SAMPLE	G000772395	0.175918
SAMPLE	G900106775	0.181308
SAMPLE	G000178875	0.159599
SAMPLE	G000423085	0.170451
SAMPLE	G001821275	0.198421
SAMPLE	G001606005	0.153697
SAMPLE	G001424585	0.187798
SAMPLE	G000741525	0.162131
SAMPLE	G001303625	0.224885
SAMPLE	G000427565	0.189425
SAMPLE	G000379645	0.21143
SAMPLE	G001571385	0.172884
SAMPLE	G000992665	0.203186
SAMPLE	G000308395	0.202861
SAMPLE	G900110645	0.169994
SAMPLE	G000429345	0.151052
SAMPLE	G000010165	0.163271
SAMPLE	G002020845	0.147264
SAMPLE	G000511305	0.153897
SAMPLE	G000379505	0.204384
SAMPLE	G001654795	0.182248
SAMPLE	G000521465	0.176219
SAMPLE	G000023845	0.156612
SAMPLE	G001562115	0.167755
SAMPLE	G001438245	0.207262
SAMPLE	G000332115	0.193006
SAMPLE	G001418105	0.196221
SAMPLE	G900111755	0.195493
SAMPLE	G000017165	0.200273
SAMPLE	G000620125	0.20575
SAMPLE	G000521865	0.139985
SAMPLE	G001629395	0.208755
SAMPLE	G001438605	0.152295
SAMPLE	G001275645	0.1675
SAMPLE	G001779585	0.219682
SAMPLE	G000772365	0.170378
SAMPLE	G001975685	0.170029
SAMPLE	G000991325	0.218368
SAMPLE	G900105105	0.191697
SAMPLE	G001771775	0.214843
SAMPLE	G000155715	0.156302
SAMPLE	G000526695	0.146133
SAMPLE	G001310615	0.197956
SAMPLE	G001771535	0.210703
SAMPLE	G000755265	0.197764
SAMPLE	G900079125	0.135149
SAMPLE	G900128755	0.189938
SAMPLE	G000348905	0.128157
SAMPLE	G000970795	0.186751
SAMPLE	G000187005	0.133371
SAMPLE	G001591825	0.185738
SAMPLE	G000063525	0.14521
SAMPLE	G001783635	0.204212
SAMPLE	G000196255	0.111793
SAMPLE	G000381525	0.182542
SAMPLE	G001017485	0.187533
SAMPLE	G001791155	0.199627
SAMPLE	G000374045	0.206629
SAMPLE	G001484685	0.212542
SAMPLE	G000686005	0.157582
SAMPLE	G001598915	0.149016
SAMPLE	G900061675	0.173022
SAMPLE	G000813185	0.138136
SAMPLE	G000484975	0.210179
SAMPLE	G001939115	0.15606
SAMPLE	G000733775	0.144369
SAMPLE	G001796525	0.204105
SAMPLE	G000221625	0.155776
SAMPLE	G000989825	0.21653
SAMPLE	G000701365	0.154881
SAMPLE	G001050215	0.194442
SAMPLE	G000018245	0.18546
SAMPLE	G001996105	0.166103
