REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
G000009245	0.0383548	0.82578	0.07330821147829295
G000011405	0.0383423	0.82746	0.07464560220750491
G000014605	0.0383687	0.82755	0.07464560220750491
G000019285	0.133863	0.65546	0.16321422273945557
G000153845	0.0389392	0.81292	0.0760873578307307
G000154145	0.0405684	0.81226	0.07454931075280884
G000170295	0.0385549	0.82709	0.07360784382684737
G000219045	0.156774	0.60714	0.18618644227987358
G000313385	0.0383255	0.82787	0.07389933352044925
G000505725	0.0993208	0.66247	0.14963538156280193
G000681495	0.0389346	0.81273	0.07340820835656629
G000742095	0.0421038	0.81564	0.07778371485175056
G000833335	0.0383576	0.82578	0.07330821147829295
G001042525	0.0993115	0.66246	0.1490353815628019
G001042545	0.0992483	0.66251	0.1490353815628019
G001412545	0.0399491	0.82468	0.07556212797703377
G001574475	0.0383391	0.82753	0.07305714460334903
G001574485	0.0383462	0.82822	0.07305714460334903
G001574495	0.0386268	0.82879	0.07305714460334903
G001574555	0.038308	0.82775	0.07278548661177285
G001574565	0.0383285	0.82764	0.07305714460334903
G001574585	0.0384012	0.82792	0.07305714460334903
G001574605	0.0383039	0.82802	0.07305714460334903
G001574635	0.0384432	0.82827	0.07422900247771715
G001574655	0.0382347	0.82755	0.07311581138605817
G001574675	0.0383564	0.82831	0.07312581138605818
G001574695	0.0382687	0.82777	0.07299387692664527
G001574705	0.0383093	0.82783	0.07305714460334903
G001574755	0.038531	0.82883	0.07305714460334903
G001574775	0.0382822	0.82763	0.0728549232219782
G001574785	0.0384277	0.82804	0.07298569627419793
G001574835	0.0385431	0.82869	0.07305714460334903
G001574885	0.0422533	0.70494	0.0730319921381651
G001574905	0.0237245	0.22921	0.07339516467474733
G001574935	0.0521622	0.12068	0.07339516467474733
G001574945	0.035424	0.27191	0.07342033766966749
G001608445	0.108882	0.77888	0.1285066758680511
G001611815	0.0386221	0.82583	0.07390262170964434
G001696935	0.0382205	0.82699	0.07292444031643994
G001696945	0.0407954	0.80952	0.07430931075280885
G001696955	0.0388022	0.81516	0.07306821147829295
G001753795	0.147237	0.6224	0.15915482099450842
