#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290749//.mixture_reads-FDxFnb.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.224835
SAMPLE	G000619885	0.171794
SAMPLE	G000515275	0.138326
SAMPLE	G001598915	0.174125
SAMPLE	G000063525	0.15877
SAMPLE	G900061675	0.115739
SAMPLE	G900104675	0.147248
SAMPLE	G001405615	0.135538
SAMPLE	G000428565	0.202378
SAMPLE	G000328665	0.206776
SAMPLE	G001703975	0.134262
SAMPLE	G000745855	0.203682
SAMPLE	G000485905	0.174584
SAMPLE	G000284235	0.129582
SAMPLE	G001829715	0.186847
SAMPLE	G001750685	0.112322
SAMPLE	G001825065	0.195969
SAMPLE	G000761095	0.100065
SAMPLE	G001889105	0.183476
SAMPLE	G001587475	0.137312
SAMPLE	G001587695	0.219836
SAMPLE	G000191925	0.151106
SAMPLE	G001424685	0.19921
SAMPLE	G001273495	0.195535
SAMPLE	G001263755	0.129823
SAMPLE	G001466415	0.154453
SAMPLE	G001920395	0.225307
SAMPLE	G000018305	0.215877
SAMPLE	G000177235	0.108258
SAMPLE	G000309945	0.124791
SAMPLE	G001779055	0.195737
SAMPLE	G001918845	0.208749
SAMPLE	G001584645	0.120904
SAMPLE	G000992125	0.160351
SAMPLE	G000429945	0.167272
SAMPLE	G000439105	0.112258
SAMPLE	G000718255	0.178659
SAMPLE	G000411375	0.141816
SAMPLE	G001437635	0.179994
SAMPLE	G001508535	0.177496
SAMPLE	G000463075	0.123635
SAMPLE	G000403035	0.12193
SAMPLE	G001508955	0.157653
SAMPLE	G000384935	0.119322
SAMPLE	G001653295	0.0990125
SAMPLE	G001789695	0.194272
SAMPLE	G000376565	0.12176
SAMPLE	G000966265	0.215519
SAMPLE	G001781355	0.207542
SAMPLE	G002019735	0.115168
SAMPLE	G001685155	0.128138
SAMPLE	G001788195	0.184546
SAMPLE	G000424825	0.148257
SAMPLE	G001475935	0.192684
SAMPLE	G000568815	0.1345
SAMPLE	G000012565	0.142306
SAMPLE	G000703065	0.138398
SAMPLE	G900115855	0.201332
SAMPLE	G000989195	0.149041
SAMPLE	G001791375	0.206982
SAMPLE	G001917065	0.200108
SAMPLE	G001776415	0.191341
SAMPLE	G000997145	0.217518
SAMPLE	G001825445	0.181274
SAMPLE	G001830325	0.127079
SAMPLE	G001014615	0.193921
SAMPLE	G000688475	0.170868
SAMPLE	G000429645	0.206408
SAMPLE	G001457815	0.12517
SAMPLE	G000310185	0.197628
SAMPLE	G001697225	0.192998
SAMPLE	G000410815	0.14494
SAMPLE	G001578075	0.131494
SAMPLE	G001777575	0.166057
SAMPLE	G000509225	0.143749
SAMPLE	G001603075	0.20487
SAMPLE	G000170875	0.174106
SAMPLE	G000385055	0.125468
SAMPLE	G000478585	0.125611
SAMPLE	G001791715	0.192608
SAMPLE	G001790435	0.168718
SAMPLE	G001516665	0.220226
SAMPLE	G000498355	0.111385
SAMPLE	G000160775	0.17158
SAMPLE	G001582735	0.116951
SAMPLE	G000998865	0.188095
SAMPLE	G900106745	0.193745
SAMPLE	G000195835	0.172526
SAMPLE	G000980835	0.0860888
SAMPLE	G000807255	0.10943
