#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290915//.mixture_reads-J0GyII.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G001940655	0.188739
SAMPLE	G000619885	0.13054
SAMPLE	G000485905	0.111123
SAMPLE	G001598915	0.128998
SAMPLE	G000063525	0.142507
SAMPLE	G900061675	0.148633
SAMPLE	G900104675	0.141008
SAMPLE	G000428565	0.210313
SAMPLE	G000515275	0.149308
SAMPLE	G000328665	0.179911
SAMPLE	G001703975	0.141361
SAMPLE	G000745855	0.126491
SAMPLE	G000761095	0.185459
SAMPLE	G001591825	0.164849
SAMPLE	G001829715	0.197146
SAMPLE	G001750685	0.158096
SAMPLE	G001825065	0.214087
SAMPLE	G001587475	0.154127
SAMPLE	G001889105	0.111882
SAMPLE	G001587695	0.207502
SAMPLE	G001273495	0.199633
SAMPLE	G001424685	0.117306
SAMPLE	G000191925	0.171695
SAMPLE	G001263755	0.135112
SAMPLE	G001466415	0.171149
SAMPLE	G001920395	0.221863
SAMPLE	G000018305	0.188154
SAMPLE	G000177235	0.165278
SAMPLE	G000309945	0.161017
SAMPLE	G001779055	0.216261
SAMPLE	G001584645	0.143762
SAMPLE	G000992125	0.202484
SAMPLE	G001918845	0.216973
SAMPLE	G000429945	0.160096
SAMPLE	G000439105	0.201516
SAMPLE	G000718255	0.149335
SAMPLE	G000411375	0.135468
SAMPLE	G001437635	0.196896
SAMPLE	G001508535	0.17187
SAMPLE	G000463075	0.152082
SAMPLE	G000403035	0.148018
SAMPLE	G001508955	0.219915
SAMPLE	G000384935	0.154285
SAMPLE	G001653295	0.145095
SAMPLE	G002019735	0.161243
SAMPLE	G000376565	0.138418
SAMPLE	G000966265	0.197796
SAMPLE	G001781355	0.205766
SAMPLE	G001789695	0.18936
SAMPLE	G001685155	0.152285
SAMPLE	G001788195	0.197798
SAMPLE	G000424825	0.164131
SAMPLE	G001475935	0.118014
SAMPLE	G000568815	0.157386
SAMPLE	G000012565	0.183663
SAMPLE	G000703065	0.121846
SAMPLE	G900115855	0.171826
SAMPLE	G000989195	0.176389
SAMPLE	G001791375	0.222386
SAMPLE	G001804605	0.218514
SAMPLE	G001917065	0.207419
SAMPLE	G001776415	0.217736
SAMPLE	G000997145	0.212731
SAMPLE	G001825445	0.204155
SAMPLE	G001830325	0.177305
SAMPLE	G001014615	0.122287
SAMPLE	G000688475	0.147809
SAMPLE	G001457815	0.128682
