#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290738//.mixture_reads-kCq5Yo.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.201256
SAMPLE	G000619885	0.164663
SAMPLE	G000515275	0.150562
SAMPLE	G001598915	0.16368
SAMPLE	G000063525	0.146122
SAMPLE	G900061675	0.12042
SAMPLE	G900104675	0.150189
SAMPLE	G001405615	0.134872
SAMPLE	G000428565	0.219592
SAMPLE	G000328665	0.211777
SAMPLE	G001703975	0.131421
SAMPLE	G000745855	0.197846
SAMPLE	G000485905	0.165489
SAMPLE	G001017485	0.116268
SAMPLE	G000284235	0.134553
SAMPLE	G001750685	0.121275
SAMPLE	G001889105	0.177637
SAMPLE	G001587475	0.1375
SAMPLE	G001587695	0.222854
SAMPLE	G000191925	0.153858
SAMPLE	G001424685	0.195541
SAMPLE	G001273495	0.211781
SAMPLE	G001263755	0.115775
SAMPLE	G001466415	0.145495
SAMPLE	G001920395	0.199049
SAMPLE	G000018305	0.212107
SAMPLE	G000177235	0.11583
SAMPLE	G000309945	0.12725
SAMPLE	G001779055	0.182898
SAMPLE	G001918845	0.207617
SAMPLE	G001584645	0.122802
SAMPLE	G000992125	0.149668
SAMPLE	G000429945	0.151693
SAMPLE	G000439105	0.114426
SAMPLE	G000718255	0.175923
SAMPLE	G000411375	0.127743
SAMPLE	G001437635	0.17916
SAMPLE	G001508535	0.196091
SAMPLE	G000463075	0.128296
SAMPLE	G000403035	0.126456
SAMPLE	G001508955	0.138093
SAMPLE	G000384935	0.128028
SAMPLE	G001653295	0.088837
SAMPLE	G001789695	0.175286
SAMPLE	G000376565	0.128243
SAMPLE	G000966265	0.204023
SAMPLE	G001781355	0.200603
SAMPLE	G002019735	0.122072
SAMPLE	G001685155	0.110492
SAMPLE	G001788195	0.123341
SAMPLE	G000424825	0.150186
SAMPLE	G001475935	0.186092
SAMPLE	G000568815	0.134337
SAMPLE	G000012565	0.138522
SAMPLE	G000703065	0.138056
SAMPLE	G900115855	0.180862
SAMPLE	G000989195	0.153886
SAMPLE	G001791375	0.215061
SAMPLE	G001804605	0.210052
SAMPLE	G001917065	0.211325
SAMPLE	G001776415	0.195472
SAMPLE	G000997145	0.225053
SAMPLE	G001825445	0.198142
SAMPLE	G001830325	0.102155
SAMPLE	G001014615	0.185856
SAMPLE	G000688475	0.158367
SAMPLE	G000429645	0.191739
SAMPLE	G001457815	0.141206
SAMPLE	G000310185	0.193184
SAMPLE	G001697225	0.192129
SAMPLE	G000410815	0.150044
SAMPLE	G001578075	0.137532
SAMPLE	G001777575	0.168071
SAMPLE	G000509225	0.128408
SAMPLE	G001603075	0.201964
SAMPLE	G000170875	0.169784
SAMPLE	G000385055	0.127793
SAMPLE	G000478585	0.123051
SAMPLE	G001791715	0.189329
SAMPLE	G001790435	0.172592
SAMPLE	G001516665	0.215771
SAMPLE	G000498355	0.11894
SAMPLE	G000160775	0.166266
SAMPLE	G001582735	0.12357
SAMPLE	G000998865	0.183984
SAMPLE	G900106745	0.167412
SAMPLE	G000195835	0.165268
SAMPLE	G000980835	0.0848154
SAMPLE	G000807255	0.117977
SAMPLE	G000576635	0.198676
SAMPLE	G000093085	0.119462
SAMPLE	G001783315	0.170022
SAMPLE	G000202835	0.197543
SAMPLE	G000235565	0.218175
SAMPLE	G000381345	0.194735
SAMPLE	G000152705	0.154205
SAMPLE	G900109715	0.106484
SAMPLE	G001483845	0.134948
SAMPLE	G900070165	0.117884
