#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290851//.mixture_reads-6FiotN.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G002020915	0.147603
SAMPLE	G001420315	0.136313
SAMPLE	G000996525	0.191517
SAMPLE	G000830905	0.143624
SAMPLE	G001656385	0.160653
SAMPLE	G000374565	0.179494
SAMPLE	G001468865	0.22077
SAMPLE	G000147695	0.12393
SAMPLE	G000177375	0.156623
SAMPLE	G000744505	0.115681
SAMPLE	G001817095	0.157081
SAMPLE	G000425165	0.212573
SAMPLE	G000761155	0.125697
SAMPLE	G001656115	0.153368
SAMPLE	G001437855	0.216679
SAMPLE	G000999445	0.136862
SAMPLE	G000296815	0.123342
SAMPLE	G000621125	0.147069
SAMPLE	G900102915	0.195158
SAMPLE	G000737535	0.106938
SAMPLE	G001003065	0.212041
SAMPLE	G000712635	0.20712
SAMPLE	G000661955	0.12423
SAMPLE	G001306455	0.144739
SAMPLE	G000179575	0.183146
SAMPLE	G001627015	0.22326
SAMPLE	G000612665	0.145035
SAMPLE	G000015705	0.104669
SAMPLE	G001767275	0.0889254
SAMPLE	G001644645	0.154003
SAMPLE	G000192865	0.145579
SAMPLE	G000196515	0.119286
SAMPLE	G001435195	0.156005
SAMPLE	G001000705	0.214475
SAMPLE	G000286215	0.00369265
SAMPLE	G000331515	0.157789
SAMPLE	G900116415	0.168932
SAMPLE	G001431485	0.125586
SAMPLE	G001932955	0.144635
SAMPLE	G001318405	0.154845
SAMPLE	G001587505	0.146335
SAMPLE	G001814805	0.150814
SAMPLE	G000411555	0.131342
SAMPLE	G000014005	0.125738
SAMPLE	G000432875	0.21435
SAMPLE	G001904655	0.134766
SAMPLE	G001898225	0.210835
SAMPLE	G000990005	0.202854
SAMPLE	G001513255	0.180166
SAMPLE	G001801665	0.215382
SAMPLE	G000829435	0.128719
SAMPLE	G000225345	0.114172
SAMPLE	G000421485	0.143527
SAMPLE	G001536025	0.149051
SAMPLE	G000355765	0.119906
SAMPLE	G001459095	0.143194
SAMPLE	G000751075	0.140032
SAMPLE	G000576165	0.153067
SAMPLE	G000242835	0.165075
SAMPLE	G000702065	0.189542
SAMPLE	G001786055	0.213131
SAMPLE	G001632125	0.117805
SAMPLE	G000526715	0.140212
SAMPLE	G000024325	0.143717
SAMPLE	G000220175	0.217698
SAMPLE	G001447995	0.14229
SAMPLE	G000622325	0.143801
SAMPLE	G001704375	0.149882
SAMPLE	G000991815	0.210277
SAMPLE	G001432245	0.120411
SAMPLE	G000234805	0.179494
SAMPLE	G001790495	0.178254
SAMPLE	G000632495	0.220223
SAMPLE	G000336655	0.185273
SAMPLE	G000436215	0.179228
SAMPLE	G000620025	0.13443
SAMPLE	G000754505	0.212377
SAMPLE	G001613505	0.157108
SAMPLE	G000802305	0.120277
SAMPLE	G001687335	0.126299
SAMPLE	G000702585	0.111922
SAMPLE	G001919455	0.210877
SAMPLE	G000735365	0.200943
SAMPLE	G000565195	0.146731
SAMPLE	G001002405	0.170331
SAMPLE	G001560715	0.207303
SAMPLE	G000024085	0.154213
SAMPLE	G000714535	0.147587
SAMPLE	G000375645	0.189711
SAMPLE	G000509405	0.157371
SAMPLE	G000380225	0.225428
SAMPLE	G000153165	0.137725
SAMPLE	G900113595	0.176851
SAMPLE	G000526675	0.195689
SAMPLE	G000518485	0.162451
SAMPLE	G000775595	0.128954
SAMPLE	G001282725	0.133001
SAMPLE	G000378125	0.123444
SAMPLE	G001932855	0.149995
SAMPLE	G001766415	0.117916
SAMPLE	G002007725	0.13993
SAMPLE	G001816475	0.205285
SAMPLE	G000702545	0.125186
SAMPLE	G000384395	0.161772
SAMPLE	G001421565	0.129013
SAMPLE	G001898495	0.171449
SAMPLE	G001818495	0.142117
SAMPLE	G000245195	0.211014
SAMPLE	G000013445	0.197047
SAMPLE	G000993865	0.213585
SAMPLE	G001433995	0.164271
SAMPLE	G001774085	0.161069
SAMPLE	G000716595	0.136916
SAMPLE	G001421185	0.192426
SAMPLE	G000270185	0.14791
SAMPLE	G001784805	0.180264
SAMPLE	G000440115	0.154835
SAMPLE	G001771415	0.128165
SAMPLE	G000298515	0.139187
SAMPLE	G001792265	0.208749
SAMPLE	G001562845	0.154568
SAMPLE	G000379185	0.221374
SAMPLE	G000999675	0.145371
SAMPLE	G001626675	0.208111
SAMPLE	G900104295	0.191292
SAMPLE	G001613465	0.146069
SAMPLE	G000492175	0.124343
SAMPLE	G001039045	0.133
SAMPLE	G000007325	0.138861
SAMPLE	G000092425	0.122246
SAMPLE	G900107645	0.137783
SAMPLE	G001610775	0.147461
SAMPLE	G001604165	0.196949
SAMPLE	G000989765	0.207375
SAMPLE	G001871995	0.225244
SAMPLE	G001778275	0.205425
SAMPLE	G000306765	0.201039
SAMPLE	G001028625	0.130122
SAMPLE	G000337715	0.185987
SAMPLE	G900101645	0.207202
SAMPLE	G000444685	0.143062
SAMPLE	G001822615	0.19621
SAMPLE	G000424845	0.129908
SAMPLE	G000763805	0.146384
SAMPLE	G001184205	0.120358
SAMPLE	G001796515	0.219139
SAMPLE	G001576985	0.217192
SAMPLE	G001275395	0.15216
SAMPLE	G000990595	0.211545
SAMPLE	G001283065	0.131811
SAMPLE	G000991025	0.159349
SAMPLE	G001784695	0.164736
SAMPLE	G001821065	0.197908
SAMPLE	G001421805	0.130632
SAMPLE	G001869295	0.00211763
SAMPLE	G000381665	0.140893
SAMPLE	G000183135	0.148839
SAMPLE	G000437975	0.204585
SAMPLE	G001776535	0.221213
SAMPLE	G000212695	0.129155
SAMPLE	G000746585	0.142857
