#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290848//.mixture_reads-l6zv7j.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G001577215	0.158779
SAMPLE	G000432935	0.213705
SAMPLE	G000714705	0.169292
SAMPLE	G001792295	0.172292
SAMPLE	G000019705	0.165531
SAMPLE	G001375495	0.136043
SAMPLE	G001678905	0.139731
SAMPLE	G001776195	0.149181
SAMPLE	G000424525	0.141713
SAMPLE	G001560275	0.215957
SAMPLE	G001280865	0.161805
SAMPLE	G000187465	0.141833
SAMPLE	G000022265	0.140762
SAMPLE	G001587695	0.21085
SAMPLE	G900093775	0.135241
SAMPLE	G001064665	0.150384
SAMPLE	G000195275	0.146302
SAMPLE	G000379485	0.225126
SAMPLE	G000994325	0.173575
SAMPLE	G900100065	0.185793
SAMPLE	G000016825	0.134312
SAMPLE	G000702825	0.200652
SAMPLE	G900103505	0.194763
SAMPLE	G001805125	0.204885
SAMPLE	G000437655	0.217236
SAMPLE	G900110835	0.219856
SAMPLE	G000204925	0.212169
SAMPLE	G000156515	0.176882
SAMPLE	G001767315	0.169136
SAMPLE	G001421175	0.179183
SAMPLE	G000025005	0.143206
SAMPLE	G001786745	0.218833
SAMPLE	G001434835	0.149762
SAMPLE	G000222855	0.176474
SAMPLE	G001824645	0.213009
SAMPLE	G001003905	0.204645
SAMPLE	G000434115	0.212215
SAMPLE	G001683915	0.164182
SAMPLE	G000318135	0.142146
SAMPLE	G900115735	0.180722
SAMPLE	G000765215	0.124969
SAMPLE	G001917505	0.219686
SAMPLE	G000633415	0.146478
SAMPLE	G000567965	0.172642
SAMPLE	G000020985	0.166696
SAMPLE	G000878905	0.158319
SAMPLE	G001310395	0.153216
SAMPLE	G001774945	0.218766
SAMPLE	G000333235	0.16606
SAMPLE	G001801285	0.19624
SAMPLE	G000014285	0.127461
SAMPLE	G000046705	0.162694
SAMPLE	G000259485	0.165971
SAMPLE	G001714575	0.159798
SAMPLE	G000195315	0.137143
SAMPLE	G000177075	0.167878
SAMPLE	G001775155	0.146416
SAMPLE	G000334155	0.147722
SAMPLE	G000436475	0.219719
SAMPLE	G000184435	0.153114
SAMPLE	G000011305	0.136777
SAMPLE	G001679075	0.151042
SAMPLE	G000013945	0.151033
SAMPLE	G000438335	0.204339
SAMPLE	G000007625	0.131749
SAMPLE	G000374805	0.141567
SAMPLE	G001789955	0.186869
SAMPLE	G001872265	0.213401
SAMPLE	G001046955	0.149687
SAMPLE	G001434705	0.133756
SAMPLE	G001801315	0.217463
SAMPLE	G001821375	0.212292
SAMPLE	G001436865	0.156472
SAMPLE	G000347775	0.144464
SAMPLE	G000173795	0.151528
SAMPLE	G000430665	0.166057
SAMPLE	G001000625	0.186704
SAMPLE	G001770175	0.213902
SAMPLE	G900111825	0.176525
SAMPLE	G000302695	0.171876
SAMPLE	G000245795	0.131028
SAMPLE	G000283015	0.179889
SAMPLE	G001601575	0.142264
SAMPLE	G000756775	0.144231
SAMPLE	G001003525	0.184081
SAMPLE	G001584765	0.155341
SAMPLE	G000299365	0.210732
SAMPLE	G000972575	0.130391
SAMPLE	G000012865	0.151591
SAMPLE	G001872225	0.210281
SAMPLE	G001263355	0.172888
SAMPLE	G001776125	0.224957
SAMPLE	G000022725	0.164413
SAMPLE	G000225705	0.134487
SAMPLE	G000144695	0.14366
SAMPLE	G001038505	0.149834
SAMPLE	G001788685	0.160705
SAMPLE	G001591525	0.161785
SAMPLE	G000702085	0.191744
SAMPLE	G900100765	0.154664
SAMPLE	G000011185	0.193764
SAMPLE	G001713665	0.154087
SAMPLE	G000023585	0.135799
SAMPLE	G001816795	0.13784
SAMPLE	G000747095	0.193854
SAMPLE	G000772295	0.16476
SAMPLE	G000317635	0.149912
SAMPLE	G000478785	0.116626
SAMPLE	G000996965	0.193238
SAMPLE	G000434835	0.186797
SAMPLE	G001629445	0.219874
SAMPLE	G000996975	0.18151
SAMPLE	G001307765	0.151286
SAMPLE	G000404685	0.224971
SAMPLE	G000709875	0.147668
SAMPLE	G001316025	0.194671
SAMPLE	G002021025	0.150841
SAMPLE	G000014565	0.151631
SAMPLE	G001424665	0.145996
SAMPLE	G000299335	0.138001
SAMPLE	G000803625	0.16814
SAMPLE	G001038485	0.141501
SAMPLE	G000158095	0.14952
SAMPLE	G000520795	0.167022
SAMPLE	G000427425	0.12917
SAMPLE	G001077715	0.154139
SAMPLE	G001482385	0.152559
SAMPLE	G001274535	0.14789
SAMPLE	G001869945	0.00227209
SAMPLE	G000717335	0.156803
SAMPLE	G000990465	0.223324
SAMPLE	G001439115	0.20132
SAMPLE	G000334215	0.138639
SAMPLE	G001690435	0.175356
SAMPLE	G001428365	0.138504
SAMPLE	G000998635	0.172239
SAMPLE	G000265075	0.143715
SAMPLE	G000240075	0.149361
SAMPLE	G001627915	0.225259
SAMPLE	G000325745	0.150812
SAMPLE	G000006985	0.141694
SAMPLE	G000168975	0.147077
SAMPLE	G001653315	0.146459
SAMPLE	G000235405	0.143761
SAMPLE	G900061635	0.158591
SAMPLE	G001776815	0.203017
SAMPLE	G000434475	0.207527
SAMPLE	G000437235	0.21378
SAMPLE	G001623875	0.143355
SAMPLE	G000434255	0.223848
SAMPLE	G000265545	0.145288
SAMPLE	G900102435	0.206552
SAMPLE	G001619695	0.13402
SAMPLE	G001005305	0.168011
SAMPLE	G001814535	0.144895
SAMPLE	G000237865	0.200278
SAMPLE	G001001935	0.220361
SAMPLE	G000701625	0.208806
SAMPLE	G000832545	0.162819
SAMPLE	G001783375	0.199029
SAMPLE	G000709715	0.22506
SAMPLE	G001784875	0.155505
SAMPLE	G000989435	0.202398
SAMPLE	G001047695	0.112498
SAMPLE	G000496855	0.15576
SAMPLE	G000732325	0.150973
SAMPLE	G000007845	0.128797
SAMPLE	G000436135	0.217893
SAMPLE	G000412695	0.142473
SAMPLE	G000264625	0.156169
SAMPLE	G000430545	0.176625
SAMPLE	G000024925	0.134003
SAMPLE	G900102025	0.132256
SAMPLE	G001794605	0.196887
SAMPLE	G000711975	0.11718
SAMPLE	G001663495	0.145736
SAMPLE	G000272145	0.175043
SAMPLE	G001758225	0.14305
SAMPLE	G001818085	0.181004
SAMPLE	G001799025	0.223029
SAMPLE	G000191545	0.123614
SAMPLE	G001020585	0.13887
SAMPLE	G900156245	0.161325
SAMPLE	G000236035	0.15974
SAMPLE	G001897225	0.204797
SAMPLE	G001782045	0.216701
SAMPLE	G001437665	0.155159
SAMPLE	G000384115	0.140238
SAMPLE	G000972495	0.121225
SAMPLE	G900129375	0.139351
SAMPLE	G000187975	0.143632
SAMPLE	G900100245	0.158018
SAMPLE	G000991265	0.225392
SAMPLE	G000730445	0.146086
SAMPLE	G000330725	0.169098
SAMPLE	G900107765	0.162748
SAMPLE	G002018015	0.211218
SAMPLE	G000611675	0.169304
SAMPLE	G000430045	0.120378
SAMPLE	G000434435	0.151821
SAMPLE	G000701425	0.122698
SAMPLE	G001817505	0.187427
SAMPLE	G900089075	0.144617
SAMPLE	G000020145	0.171433
SAMPLE	G900110245	0.178435
SAMPLE	G000023125	0.137951
SAMPLE	G000424985	0.16154
SAMPLE	G000970285	0.205366
SAMPLE	G000420285	0.150645
SAMPLE	G001953175	0.157262
SAMPLE	G000341345	0.142437
SAMPLE	G000231035	0.134817
SAMPLE	G000008765	0.141282
SAMPLE	G900101395	0.170467
SAMPLE	G001875255	0.150483
SAMPLE	G900129465	0.180997
SAMPLE	G001803955	0.17155
SAMPLE	G000759865	0.162298
SAMPLE	G001627235	0.212414
SAMPLE	G000019745	0.145498
SAMPLE	G000463895	0.153662
SAMPLE	G000190635	0.129544
SAMPLE	G000568405	0.157822
SAMPLE	G000007085	0.130559
SAMPLE	G001626975	0.204625
SAMPLE	G000016665	0.158754
SAMPLE	G900111425	0.180829
SAMPLE	G000275785	0.193197
SAMPLE	G000245275	0.20788
SAMPLE	G000244895	0.134224
SAMPLE	G000635535	0.147992
SAMPLE	G000190555	0.118181
SAMPLE	G000403135	0.180697
SAMPLE	G002006795	0.214585
SAMPLE	G000686885	0.179814
SAMPLE	G001270745	0.145614
SAMPLE	G000018485	0.209609
SAMPLE	G000092565	0.151252
SAMPLE	G000176015	0.144208
SAMPLE	G000496215	0.197687
SAMPLE	G900107235	0.148957
SAMPLE	G000800475	0.163458
SAMPLE	G000415185	0.196265
SAMPLE	G000403215	0.131724
SAMPLE	G000735135	0.169229
SAMPLE	G000996685	0.167435
SAMPLE	G001796175	0.143428
SAMPLE	G000969925	0.203497
SAMPLE	G000763315	0.142512
SAMPLE	G001790445	0.186329
SAMPLE	G000498575	0.14677
SAMPLE	G000821105	0.141151
SAMPLE	G000318095	0.144789
SAMPLE	G001784435	0.169559
SAMPLE	G000526595	0.213158
SAMPLE	G000375485	0.225233
SAMPLE	G001603415	0.219233
SAMPLE	G000296715	0.140615
SAMPLE	G001788675	0.184367
SAMPLE	G000622405	0.160435
SAMPLE	G000309885	0.11467
SAMPLE	G000590865	0.13567
SAMPLE	G000178815	0.215191
SAMPLE	G001693775	0.162994
SAMPLE	G001792335	0.192244
SAMPLE	G900109685	0.192839
SAMPLE	G000431535	0.212438
SAMPLE	G001876115	0.147882
SAMPLE	G001825395	0.225325
SAMPLE	G001458375	0.1515
SAMPLE	G001802355	0.225006
SAMPLE	G001568365	0.160744
SAMPLE	G001788225	0.206038
SAMPLE	G000422345	0.139036
SAMPLE	G000806225	0.15241
SAMPLE	G000241345	0.154444
SAMPLE	G000324685	0.17204
SAMPLE	G001719125	0.216257
SAMPLE	G000469135	0.209878
SAMPLE	G001767595	0.208923
SAMPLE	G000252855	0.141781
SAMPLE	G001485475	0.149899
SAMPLE	G000620885	0.179992
SAMPLE	G900113405	0.140506
SAMPLE	G000069965	0.15928
SAMPLE	G001721645	0.163753
SAMPLE	G000501895	0.21823
SAMPLE	G001003855	0.175225
SAMPLE	G001773735	0.183195
SAMPLE	G001601155	0.16267
SAMPLE	G000994485	0.21499
SAMPLE	G000463525	0.146746
SAMPLE	G000433255	0.199315
SAMPLE	G001314975	0.159132
SAMPLE	G001792935	0.186093
SAMPLE	G001487125	0.149298
SAMPLE	G000013105	0.134229
SAMPLE	G002011165	0.208313
SAMPLE	G001579845	0.146556
SAMPLE	G000996505	0.199085
SAMPLE	G001601235	0.160329
SAMPLE	G000437675	0.217569
SAMPLE	G900113155	0.163808
SAMPLE	G001829965	0.211902
SAMPLE	G000402875	0.216196
SAMPLE	G001821055	0.185727
SAMPLE	G000243135	0.137306
SAMPLE	G000347635	0.144776
SAMPLE	G000999175	0.201662
SAMPLE	G000230225	0.204503
SAMPLE	G000597865	0.13218
SAMPLE	G001278075	0.134691
SAMPLE	G000441555	0.157012
SAMPLE	G000989825	0.225262
SAMPLE	G001636615	0.165434
SAMPLE	G000614025	0.16403
SAMPLE	G000224335	0.169036
SAMPLE	G000178875	0.147314
SAMPLE	G000169655	0.149085
SAMPLE	G900101295	0.179785
SAMPLE	G000525975	0.149744
SAMPLE	G000009745	0.161902
SAMPLE	G000007805	0.141672
SAMPLE	G000278295	0.15469
SAMPLE	G900109585	0.201243
SAMPLE	G000160695	0.14129
SAMPLE	G900107355	0.163928
SAMPLE	G001896655	0.216284
SAMPLE	G000374065	0.162675
SAMPLE	G001782895	0.164531
SAMPLE	G001829695	0.220385
SAMPLE	G000991935	0.201889
SAMPLE	G001316305	0.20822
SAMPLE	G000218765	0.151504
SAMPLE	G001785595	0.213438
SAMPLE	G000221145	0.155239
SAMPLE	G000210915	0.146128
SAMPLE	G001567185	0.150177
SAMPLE	G001295265	0.16366
SAMPLE	G001425785	0.124944
SAMPLE	G000312605	0.145047
SAMPLE	G000312185	0.118482
SAMPLE	G000501235	0.168798
SAMPLE	G001969485	0.158821
SAMPLE	G000245095	0.210781
SAMPLE	G000993335	0.20514
SAMPLE	G001292705	0.16073
SAMPLE	G001785895	0.201043
SAMPLE	G001598535	0.153941
SAMPLE	G001775915	0.199479
SAMPLE	G000411135	0.140274
SAMPLE	G000721265	0.149989
SAMPLE	G000689615	0.154682
SAMPLE	G900092645	0.132813
SAMPLE	G001886695	0.14136
SAMPLE	G000996985	0.225258
SAMPLE	G000024385	0.150929
SAMPLE	G000312325	0.216999
SAMPLE	G001868555	0.00223099
SAMPLE	G000021025	0.133832
SAMPLE	G000991325	0.218531
SAMPLE	G000166295	0.150815
SAMPLE	G900129775	0.198553
SAMPLE	G001781685	0.171721
SAMPLE	G000601485	0.137184
SAMPLE	G000155715	0.128807
SAMPLE	G001785695	0.208363
SAMPLE	G000145555	0.142209
SAMPLE	G000238775	0.2116
SAMPLE	G001412545	0.139946
SAMPLE	G000998555	0.221465
SAMPLE	G001799555	0.211198
SAMPLE	G000518985	0.131264
SAMPLE	G000746745	0.219738
SAMPLE	G000431135	0.219704
SAMPLE	G900047545	0.168073
SAMPLE	G001782115	0.165101
SAMPLE	G000970795	0.167614
SAMPLE	G001818015	0.221063
SAMPLE	G000818195	0.183237
SAMPLE	G000024785	0.150055
SAMPLE	G000069185	0.152797
SAMPLE	G001436225	0.145262
SAMPLE	G001269425	0.15876
SAMPLE	G001553605	0.146673
SAMPLE	G000235445	0.160639
SAMPLE	G001567355	0.163141
SAMPLE	G001000035	0.198502
SAMPLE	G001513385	0.178229
SAMPLE	G000757725	0.217635
SAMPLE	G000220505	0.154047
SAMPLE	G000470655	0.172167
SAMPLE	G000308295	0.215331
SAMPLE	G000381765	0.134378
SAMPLE	G001897185	0.203081
SAMPLE	G001787555	0.211855
SAMPLE	G900101965	0.144622
SAMPLE	G001897305	0.164731
SAMPLE	G000802205	0.200181
SAMPLE	G000436195	0.146134
SAMPLE	G000420465	0.161672
SAMPLE	G000173615	0.143593
SAMPLE	G000385115	0.146488
SAMPLE	G000496075	0.146343
SAMPLE	G001793855	0.192221
SAMPLE	G000344155	0.153369
SAMPLE	G000720925	0.139932
SAMPLE	G001047135	0.139076
SAMPLE	G000244955	0.146173
SAMPLE	G000439105	0.193463
SAMPLE	G000401215	0.21277
SAMPLE	G000319245	0.150038
SAMPLE	G000478825	0.148487
SAMPLE	G000220525	0.154447
SAMPLE	G000741695	0.159135
SAMPLE	G000347015	0.16863
SAMPLE	G001701025	0.139375
SAMPLE	G001593005	0.138872
SAMPLE	G001560375	0.215956
SAMPLE	G000245255	0.207882
SAMPLE	G001510135	0.221294
SAMPLE	G001824435	0.172636
SAMPLE	G900112445	0.152984
SAMPLE	G000375725	0.225002
SAMPLE	G000463075	0.162676
SAMPLE	G001304105	0.198668
SAMPLE	G000234805	0.164762
SAMPLE	G000813665	0.160709
SAMPLE	G001996115	0.17203
SAMPLE	G001787805	0.174659
SAMPLE	G001509345	0.183794
SAMPLE	G000284215	0.133191
SAMPLE	G000468475	0.154747
SAMPLE	G000160575	0.131159
SAMPLE	G002010385	0.163897
SAMPLE	G001653295	0.146023
SAMPLE	G000022425	0.207882
SAMPLE	G001782685	0.207603
SAMPLE	G000005825	0.146326
SAMPLE	G001280875	0.137864
SAMPLE	G000022905	0.135318
SAMPLE	G001818705	0.220511
SAMPLE	G000024065	0.135602
SAMPLE	G001794985	0.192536
SAMPLE	G000429305	0.199582
SAMPLE	G001824255	0.198301
SAMPLE	G000324485	0.162399
SAMPLE	G001750925	0.217784
SAMPLE	G000422425	0.218146
SAMPLE	G000312105	0.155377
SAMPLE	G000568815	0.156625
SAMPLE	G000991445	0.186289
SAMPLE	G000335715	0.138033
SAMPLE	G000970895	0.220229
SAMPLE	G000422565	0.155888
SAMPLE	G001783775	0.196349
SAMPLE	G000513115	0.159365
SAMPLE	G000384635	0.221938
SAMPLE	G000833575	0.138748
SAMPLE	G000763905	0.148916
SAMPLE	G001027285	0.135835
SAMPLE	G900107695	0.147797
SAMPLE	G001887595	0.127415
SAMPLE	G000469585	0.133106
SAMPLE	G001821135	0.214598
SAMPLE	G000298555	0.159702
SAMPLE	G001830325	0.20452
SAMPLE	G900143165	0.205464
SAMPLE	G000296445	0.130212
SAMPLE	G000175375	0.174946
SAMPLE	G001913845	0.142996
SAMPLE	G001311565	0.160104
SAMPLE	G001001655	0.219266
SAMPLE	G001784955	0.208559
SAMPLE	G001828345	0.224943
SAMPLE	G001779505	0.172129
SAMPLE	G001002485	0.178998
SAMPLE	G001021505	0.152869
SAMPLE	G001697225	0.128713
SAMPLE	G001932235	0.165484
SAMPLE	G001436115	0.154871
SAMPLE	G000768685	0.145176
SAMPLE	G001443455	0.128048
SAMPLE	G001868195	0.0022706
SAMPLE	G000162875	0.14248
SAMPLE	G900107265	0.150416
SAMPLE	G001729285	0.206978
SAMPLE	G001512825	0.183159
SAMPLE	G000014745	0.129318
SAMPLE	G000025485	0.133904
SAMPLE	G001304315	0.179958
SAMPLE	G000612685	0.127839
SAMPLE	G001003785	0.204818
SAMPLE	G000332095	0.129878
SAMPLE	G001435585	0.101204
SAMPLE	G001872685	0.176644
SAMPLE	G001870905	0.130309
SAMPLE	G000195205	0.144479
SAMPLE	G001577565	0.192354
SAMPLE	G001790985	0.157545
SAMPLE	G000998125	0.201476
SAMPLE	G000185925	0.154442
SAMPLE	G000759695	0.148967
SAMPLE	G000431295	0.210269
SAMPLE	G000258175	0.139596
SAMPLE	G000420625	0.135121
SAMPLE	G000308195	0.127997
SAMPLE	G001870005	0.00228615
SAMPLE	G000315095	0.183669
SAMPLE	G000635455	0.21862
SAMPLE	G000407365	0.146704
SAMPLE	G000505725	0.141601
SAMPLE	G000258425	0.204941
SAMPLE	G001281405	0.153544
SAMPLE	G000427665	0.145673
SAMPLE	G000314405	0.154806
SAMPLE	G001421785	0.130166
SAMPLE	G000378965	0.142772
SAMPLE	G000428585	0.162481
SAMPLE	G000372285	0.147484
SAMPLE	G000275605	0.207578
SAMPLE	G000425865	0.20078
SAMPLE	G001604625	0.225
SAMPLE	G001772215	0.139311
SAMPLE	G900106545	0.151503
SAMPLE	G001560305	0.225345
SAMPLE	G000229145	0.207029
SAMPLE	G000714815	0.149137
SAMPLE	G000436535	0.219455
SAMPLE	G000092365	0.143428
SAMPLE	G000709795	0.145089
SAMPLE	G000681495	0.170701
SAMPLE	G001295865	0.115647
SAMPLE	G000379425	0.128423
SAMPLE	G000725165	0.174441
SAMPLE	G000169235	0.130487
SAMPLE	G001311255	0.129728
SAMPLE	G000583675	0.155158
SAMPLE	G001543005	0.153599
SAMPLE	G000497445	0.136862
SAMPLE	G001748385	0.170205
SAMPLE	G000389715	0.154683
SAMPLE	G000422325	0.160525
