#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290731//.mixture_reads-NGZVZ8.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.224687
SAMPLE	G000619885	0.196346
SAMPLE	G001591825	0.20701
SAMPLE	G001598915	0.175072
SAMPLE	G000063525	0.196835
SAMPLE	G900061675	0.191198
SAMPLE	G900104675	0.18574
SAMPLE	G000428565	0.204478
SAMPLE	G001050835	0.211628
SAMPLE	G000328665	0.22531
SAMPLE	G001703975	0.167747
SAMPLE	G000745855	0.204257
SAMPLE	G001484685	0.219137
SAMPLE	G000485905	0.198768
SAMPLE	G001829715	0.222659
SAMPLE	G001750685	0.180676
SAMPLE	G001825065	0.213897
SAMPLE	G001889105	0.192329
SAMPLE	G001587475	0.194563
SAMPLE	G001587695	0.225203
SAMPLE	G000191925	0.132681
SAMPLE	G001424685	0.197432
SAMPLE	G001273495	0.170139
SAMPLE	G001263755	0.177067
SAMPLE	G001466415	0.141617
SAMPLE	G000018305	0.198932
SAMPLE	G000177235	0.165332
SAMPLE	G000309945	0.20047
SAMPLE	G001779055	0.225287
SAMPLE	G001918845	0.207935
SAMPLE	G001584645	0.172609
SAMPLE	G000429945	0.210097
SAMPLE	G000439105	0.148984
SAMPLE	G000718255	0.172196
SAMPLE	G000411375	0.179655
SAMPLE	G001437635	0.176411
SAMPLE	G001508535	0.214356
SAMPLE	G000463075	0.201155
SAMPLE	G000403035	0.195622
SAMPLE	G001508955	0.208506
SAMPLE	G000384935	0.159297
SAMPLE	G001653295	0.175072
SAMPLE	G002019735	0.19117
SAMPLE	G000376565	0.114712
SAMPLE	G000966265	0.211813
SAMPLE	G001781355	0.206668
SAMPLE	G001789695	0.177379
SAMPLE	G001685155	0.190761
SAMPLE	G001788195	0.21034
SAMPLE	G000424825	0.140991
SAMPLE	G001475935	0.197789
SAMPLE	G000568815	0.205624
SAMPLE	G000012565	0.176378
SAMPLE	G000703065	0.188855
SAMPLE	G900115855	0.209191
SAMPLE	G001791375	0.203464
