#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290783//.mixture_reads-EdTZCe.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.218342
SAMPLE	G000619885	0.192227
SAMPLE	G000485905	0.191284
SAMPLE	G001598915	0.184245
SAMPLE	G001591825	0.145761
SAMPLE	G900061675	0.136821
SAMPLE	G900104675	0.177408
SAMPLE	G000428565	0.207459
SAMPLE	G000515275	0.163381
SAMPLE	G000328665	0.205745
SAMPLE	G001703975	0.135346
SAMPLE	G000745855	0.205684
SAMPLE	G001017485	0.12129
SAMPLE	G000063525	0.18275
SAMPLE	G001825065	0.21591
SAMPLE	G001750685	0.12312
SAMPLE	G001829715	0.186138
SAMPLE	G001889105	0.194799
SAMPLE	G001587475	0.181671
SAMPLE	G001587695	0.221693
SAMPLE	G000191925	0.132417
SAMPLE	G001424685	0.200383
SAMPLE	G001273495	0.180307
SAMPLE	G001263755	0.169695
SAMPLE	G001466415	0.139487
SAMPLE	G001920395	0.225173
SAMPLE	G000018305	0.225074
SAMPLE	G000177235	0.122882
SAMPLE	G000309945	0.155112
SAMPLE	G001779055	0.204654
SAMPLE	G001918845	0.204722
SAMPLE	G001584645	0.136236
SAMPLE	G000992125	0.194389
SAMPLE	G000429945	0.169248
SAMPLE	G000439105	0.125421
SAMPLE	G000718255	0.176557
SAMPLE	G000411375	0.177919
SAMPLE	G001437635	0.199929
SAMPLE	G001508535	0.194627
SAMPLE	G000463075	0.160223
SAMPLE	G000403035	0.125018
SAMPLE	G001508955	0.21636
SAMPLE	G000384935	0.141125
SAMPLE	G001653295	0.148346
SAMPLE	G001789695	0.194394
SAMPLE	G000376565	0.124753
SAMPLE	G002019735	0.131843
SAMPLE	G001781355	0.210886
SAMPLE	G000966265	0.212448
SAMPLE	G001685155	0.161935
SAMPLE	G001788195	0.128403
SAMPLE	G000424825	0.148158
SAMPLE	G001475935	0.197028
SAMPLE	G000568815	0.147526
SAMPLE	G000012565	0.151565
SAMPLE	G000703065	0.169649
SAMPLE	G900115855	0.212845
SAMPLE	G001791375	0.211284
SAMPLE	G000989195	0.159643
SAMPLE	G001804605	0.198383
SAMPLE	G001917065	0.203547
SAMPLE	G001776415	0.211359
SAMPLE	G000997145	0.222701
SAMPLE	G001825445	0.192876
SAMPLE	G001830325	0.194025
SAMPLE	G001014615	0.19793
SAMPLE	G000688475	0.176089
SAMPLE	G000429645	0.203676
SAMPLE	G001457815	0.160386
SAMPLE	G000310185	0.203173
SAMPLE	G001697225	0.202859
SAMPLE	G000410815	0.162499
SAMPLE	G001578075	0.160634
SAMPLE	G001777575	0.205199
SAMPLE	G000509225	0.188476
SAMPLE	G000170875	0.198357
SAMPLE	G001603075	0.208536
SAMPLE	G000385055	0.149193
SAMPLE	G000478585	0.151178
SAMPLE	G001791715	0.213409
SAMPLE	G001790435	0.198775
SAMPLE	G001516665	0.208189
SAMPLE	G000998865	0.198703
SAMPLE	G000160775	0.176724
SAMPLE	G001582735	0.129715
SAMPLE	G000498355	0.121075
SAMPLE	G900106745	0.196926
SAMPLE	G000195835	0.185516
SAMPLE	G000980835	0.116493
SAMPLE	G000807255	0.124438
SAMPLE	G000576635	0.200462
SAMPLE	G000093085	0.155257
SAMPLE	G001783315	0.185081
SAMPLE	G000202835	0.202232
SAMPLE	G000381345	0.20523
SAMPLE	G000235565	0.216528
SAMPLE	G000152705	0.176476
SAMPLE	G900109715	0.131386
SAMPLE	G001769045	0.210876
SAMPLE	G001803365	0.221249
SAMPLE	G001483845	0.136328
SAMPLE	G900070165	0.13291
SAMPLE	G001774505	0.213499
SAMPLE	G000511135	0.179615
SAMPLE	G900113925	0.14674
SAMPLE	G000382385	0.213057
SAMPLE	G001536165	0.133906
SAMPLE	G900102185	0.195706
SAMPLE	G001746425	0.133844
SAMPLE	G000711795	0.169941
SAMPLE	G000429465	0.165982
SAMPLE	G000014465	0.136383
SAMPLE	G001780535	0.181867
SAMPLE	G001781175	0.211724
SAMPLE	G001281525	0.119085
SAMPLE	G000716675	0.13191
SAMPLE	G000434955	0.206067
SAMPLE	G001693475	0.142031
SAMPLE	G000702425	0.137446
SAMPLE	G900111615	0.124696
SAMPLE	G001457455	0.145653
SAMPLE	G000377705	0.211895
SAMPLE	G001189575	0.141245
SAMPLE	G000591035	0.218417
SAMPLE	G000725165	0.114819
SAMPLE	G001784555	0.168472
SAMPLE	G001654855	0.150045
SAMPLE	G001421285	0.208213
SAMPLE	G002007825	0.18374
SAMPLE	G001652465	0.17881
SAMPLE	G001656095	0.131225
SAMPLE	G900078795	0.149381
SAMPLE	G000406925	0.120595
SAMPLE	G001798155	0.193668
SAMPLE	G000389965	0.178406
SAMPLE	G001005825	0.195731
SAMPLE	G000294675	0.182663
SAMPLE	G001869815	0.148952
SAMPLE	G000812685	0.180249
SAMPLE	G000764205	0.157965
SAMPLE	G900095305	0.130974
SAMPLE	G000488255	0.150642
SAMPLE	G001787615	0.201732
SAMPLE	G000829515	0.138333
SAMPLE	G000190415	0.148701
SAMPLE	G001494635	0.190143
SAMPLE	G001821035	0.200769
SAMPLE	G001418575	0.154323
SAMPLE	G001576965	0.212925
SAMPLE	G900109475	0.204679
SAMPLE	G001704955	0.138233
SAMPLE	G000981545	0.18674
SAMPLE	G000970735	0.107106
SAMPLE	G001782645	0.154899
SAMPLE	G000153345	0.202265
SAMPLE	G000828915	0.200239
SAMPLE	G001897605	0.217879
SAMPLE	G001469005	0.202815
SAMPLE	G001302685	0.225762
SAMPLE	G000730285	0.212665
SAMPLE	G001542405	0.189912
SAMPLE	G000006865	0.125625
SAMPLE	G001781965	0.216465
SAMPLE	G001822415	0.196203
SAMPLE	G001821245	0.218737
SAMPLE	G001927245	0.204177
SAMPLE	G001316265	0.19251
SAMPLE	G001627075	0.208556
SAMPLE	G000698145	0.161003
SAMPLE	G000007765	0.172722
SAMPLE	G001437435	0.139142
SAMPLE	G000991735	0.1864
SAMPLE	G001574705	0.140878
SAMPLE	G000378005	0.169949
SAMPLE	G000751295	0.202028
SAMPLE	G000009025	0.185465
SAMPLE	G001606025	0.147143
SAMPLE	G001273775	0.204521
SAMPLE	G900089575	0.16312
SAMPLE	G000426725	0.164762
SAMPLE	G900111605	0.167572
SAMPLE	G000431355	0.20681
SAMPLE	G900114995	0.187523
SAMPLE	G001707835	0.202398
SAMPLE	G001439215	0.181066
SAMPLE	G000252765	0.12498
SAMPLE	G000612445	0.125277
SAMPLE	G000813845	0.180169
SAMPLE	G000152865	0.197628
SAMPLE	G000425205	0.169228
SAMPLE	G001180145	0.129425
SAMPLE	G000315445	0.156958
SAMPLE	G000992765	0.180072
SAMPLE	G000409815	0.222578
SAMPLE	G001713375	0.202984
SAMPLE	G000621465	0.151306
SAMPLE	G000298075	0.169388
SAMPLE	G000007865	0.181896
SAMPLE	G001435065	0.123763
SAMPLE	G000762875	0.14846
SAMPLE	G000269805	0.188395
SAMPLE	G001244495	0.195745
SAMPLE	G000017685	0.139726
SAMPLE	G001784615	0.122604
SAMPLE	G000493945	0.211588
SAMPLE	G001552935	0.128085
SAMPLE	G001420285	0.128108
SAMPLE	G000019205	0.132366
SAMPLE	G000833025	0.115755
SAMPLE	G900103145	0.177129
SAMPLE	G000179395	0.178459
SAMPLE	G000428465	0.204897
SAMPLE	G000741845	0.174882
SAMPLE	G000472905	0.217452
SAMPLE	G001802215	0.211428
SAMPLE	G001787915	0.183344
SAMPLE	G001773295	0.186758
SAMPLE	G001916165	0.211291
SAMPLE	G001789125	0.192551
SAMPLE	G001456935	0.207289
SAMPLE	G000384135	0.116079
SAMPLE	G000741705	0.181612
SAMPLE	G001898235	0.187863
SAMPLE	G001514435	0.112462
SAMPLE	G001295935	0.209334
SAMPLE	G001189495	0.124197
SAMPLE	G001047215	0.147388
SAMPLE	G000432615	0.203075
SAMPLE	G000691805	0.129012
SAMPLE	G000426885	0.142566
SAMPLE	G000295935	0.139467
SAMPLE	G900116865	0.141509
SAMPLE	G000265505	0.112927
SAMPLE	G000300695	0.152297
SAMPLE	G000012385	0.124551
SAMPLE	G000953395	0.132727
SAMPLE	G900116035	0.207467
SAMPLE	G000214155	0.186324
SAMPLE	G000814025	0.201945
SAMPLE	G001771505	0.127963
SAMPLE	G001188915	0.125074
SAMPLE	G001785545	0.218214
SAMPLE	G001467645	0.166204
SAMPLE	G001002205	0.183019
SAMPLE	G001314555	0.196665
SAMPLE	G001705695	0.174686
SAMPLE	G000702245	0.197483
SAMPLE	G001663375	0.223895
SAMPLE	G000312545	0.218176
SAMPLE	G001560725	0.225148
SAMPLE	G000403355	0.184603
SAMPLE	G001869885	0.134685
SAMPLE	G001274895	0.174408
SAMPLE	G000293805	0.164747
SAMPLE	G000007305	0.195772
SAMPLE	G900099745	0.140842
SAMPLE	G000425905	0.111674
SAMPLE	G002003665	0.1686
SAMPLE	G001820725	0.197975
SAMPLE	G900114545	0.180008
SAMPLE	G900114835	0.214899
SAMPLE	G000423145	0.119961
SAMPLE	G001803885	0.173742
SAMPLE	G000504285	0.170221
SAMPLE	G000411355	0.134508
SAMPLE	G000523535	0.159149
SAMPLE	G000981705	0.170681
SAMPLE	G000480315	0.1916
SAMPLE	G000170915	0.17969
SAMPLE	G000317065	0.131715
SAMPLE	G001868205	0.137547
SAMPLE	G000615845	0.102053
SAMPLE	G000428165	0.211548
SAMPLE	G000763765	0.171945
SAMPLE	G000959725	0.200251
SAMPLE	G001306995	0.201514
SAMPLE	G001656255	0.13773
SAMPLE	G000177635	0.171046
SAMPLE	G000325085	0.216368
SAMPLE	G000426325	0.146451
SAMPLE	G001798185	0.137694
SAMPLE	G001417955	0.189258
SAMPLE	G001776195	0.178035
SAMPLE	G001917235	0.213563
SAMPLE	G000989975	0.154376
SAMPLE	G001460955	0.176051
SAMPLE	G000317935	0.202979
SAMPLE	G001778455	0.212648
SAMPLE	G001064665	0.126185
SAMPLE	G002019865	0.138858
SAMPLE	G001865835	0.115922
SAMPLE	G000304395	0.195183
SAMPLE	G000830175	0.21167
SAMPLE	G000961955	0.196018
SAMPLE	G001773015	0.187318
SAMPLE	G000425625	0.200725
SAMPLE	G000746025	0.210919
SAMPLE	G001975465	0.157384
SAMPLE	G001642875	0.207087
SAMPLE	G000405945	0.209545
SAMPLE	G001868345	0.13671
SAMPLE	G001790035	0.18592
SAMPLE	G001829935	0.141587
SAMPLE	G001564135	0.213955
SAMPLE	G001683915	0.176196
SAMPLE	G001776145	0.115442
SAMPLE	G000522445	0.213571
SAMPLE	G000010085	0.191267
SAMPLE	G900143255	0.154518
SAMPLE	G000765215	0.19511
SAMPLE	G000422285	0.20218
SAMPLE	G000826525	0.178033
SAMPLE	G900115735	0.168672
SAMPLE	G001021065	0.181374
SAMPLE	G001785035	0.212094
SAMPLE	G000995965	0.191382
SAMPLE	G000737325	0.207809
SAMPLE	G000763385	0.196836
SAMPLE	G001769625	0.211423
SAMPLE	G001768205	0.222255
SAMPLE	G000333235	0.150085
SAMPLE	G000263195	0.149869
SAMPLE	G000761155	0.19353
SAMPLE	G000393955	0.129949
SAMPLE	G000743715	0.205358
SAMPLE	G001286805	0.1764
SAMPLE	G000967425	0.195729
SAMPLE	G000385135	0.184901
SAMPLE	G001642915	0.209392
SAMPLE	G001507915	0.129136
SAMPLE	G000464455	0.206622
SAMPLE	G900100655	0.201895
SAMPLE	G000372845	0.203225
SAMPLE	G000712635	0.20712
SAMPLE	G000175255	0.145949
SAMPLE	G000832305	0.200831
SAMPLE	G900112615	0.175636
SAMPLE	G000170715	0.161007
SAMPLE	G002011745	0.136621
SAMPLE	G000425005	0.164921
SAMPLE	G000786205	0.206026
SAMPLE	G000733585	0.115427
SAMPLE	G000155595	0.166006
SAMPLE	G001797045	0.211742
SAMPLE	G001822305	0.220385
SAMPLE	G001932955	0.126573
SAMPLE	G000411555	0.152383
SAMPLE	G001318405	0.124197
SAMPLE	G001601575	0.120723
SAMPLE	G000169395	0.161414
SAMPLE	G001626755	0.214069
SAMPLE	G900103215	0.147333
SAMPLE	G000025305	0.167122
SAMPLE	G000173355	0.125095
SAMPLE	G000938285	0.196476
SAMPLE	G000349585	0.185761
SAMPLE	G000432215	0.211014
SAMPLE	G000019805	0.215119
SAMPLE	G001816555	0.171694
SAMPLE	G900101525	0.147816
SAMPLE	G000990005	0.160824
SAMPLE	G000225345	0.169586
SAMPLE	G001876175	0.157664
SAMPLE	G001820775	0.175719
SAMPLE	G000072485	0.199261
SAMPLE	G001604445	0.190911
SAMPLE	G001536025	0.139597
SAMPLE	G000315055	0.163938
SAMPLE	G000420545	0.205079
SAMPLE	G000753945	0.153961
SAMPLE	G001630765	0.183306
SAMPLE	G000751075	0.132594
SAMPLE	G001003245	0.210762
SAMPLE	G001002795	0.204575
SAMPLE	G000385295	0.134642
SAMPLE	G000454725	0.138676
SAMPLE	G900142235	0.108851
SAMPLE	G000229545	0.214106
SAMPLE	G000828895	0.209342
SAMPLE	G000312365	0.14001
SAMPLE	G000597805	0.134777
SAMPLE	G900142915	0.161097
SAMPLE	G000526515	0.18006
