#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290874//.mixture_reads-WloNbY.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000761095	0.136154
SAMPLE	G000619885	0.156928
SAMPLE	G000515275	0.135562
SAMPLE	G001598915	0.150635
SAMPLE	G000426445	0.17138
SAMPLE	G900061675	0.141892
SAMPLE	G900104675	0.130514
SAMPLE	G000428565	0.205408
SAMPLE	G001050835	0.213714
SAMPLE	G000328665	0.194811
SAMPLE	G001703975	0.138882
SAMPLE	G000745855	0.122006
SAMPLE	G001017485	0.12109
SAMPLE	G000485905	0.138719
SAMPLE	G001829715	0.219226
SAMPLE	G001750685	0.130008
SAMPLE	G001825065	0.223128
SAMPLE	G001587475	0.130346
SAMPLE	G001889105	0.126667
SAMPLE	G001587695	0.207276
SAMPLE	G001273495	0.219059
SAMPLE	G001424685	0.135817
SAMPLE	G000191925	0.152032
SAMPLE	G001263755	0.142136
SAMPLE	G001466415	0.156235
SAMPLE	G001920395	0.225173
SAMPLE	G000018305	0.201119
SAMPLE	G001779055	0.200654
SAMPLE	G000309945	0.126803
SAMPLE	G000177235	0.127229
SAMPLE	G001584645	0.144876
SAMPLE	G000992125	0.20942
SAMPLE	G001918845	0.225045
SAMPLE	G000429945	0.142469
SAMPLE	G000439105	0.174553
SAMPLE	G000718255	0.155154
SAMPLE	G000411375	0.139473
SAMPLE	G001437635	0.201433
SAMPLE	G001508535	0.179793
SAMPLE	G000463075	0.138267
SAMPLE	G000403035	0.133163
SAMPLE	G001508955	0.211892
SAMPLE	G000384935	0.155113
SAMPLE	G001653295	0.148662
SAMPLE	G002019735	0.132421
SAMPLE	G000376565	0.147236
SAMPLE	G000966265	0.204482
SAMPLE	G001789695	0.159904
SAMPLE	G001781355	0.195377
SAMPLE	G001685155	0.138768
SAMPLE	G001788195	0.138925
SAMPLE	G000424825	0.168858
SAMPLE	G001475935	0.133472
SAMPLE	G000568815	0.147744
SAMPLE	G000012565	0.15417
SAMPLE	G000703065	0.120327
SAMPLE	G900115855	0.163637
SAMPLE	G000989195	0.162052
SAMPLE	G001791375	0.219283
SAMPLE	G001804605	0.225461
SAMPLE	G001917065	0.197303
SAMPLE	G001776415	0.186485
SAMPLE	G000997145	0.223034
SAMPLE	G001825445	0.193091
SAMPLE	G001830325	0.203114
SAMPLE	G001014615	0.136782
SAMPLE	G000688475	0.146753
SAMPLE	G001457815	0.131483
SAMPLE	G000429645	0.131742
SAMPLE	G000310185	0.129387
SAMPLE	G001697225	0.116467
SAMPLE	G000410815	0.149839
SAMPLE	G001578075	0.121877
SAMPLE	G001777575	0.1705
SAMPLE	G000509225	0.140548
SAMPLE	G000170875	0.143665
SAMPLE	G001603075	0.164076
SAMPLE	G000385055	0.159681
SAMPLE	G000478585	0.142893
SAMPLE	G001791715	0.19232
SAMPLE	G001790435	0.194002
SAMPLE	G001516665	0.179113
SAMPLE	G000498355	0.156293
SAMPLE	G001582735	0.144557
SAMPLE	G000998865	0.173835
SAMPLE	G000160775	0.145683
SAMPLE	G900106745	0.131524
SAMPLE	G000980835	0.148738
SAMPLE	G000807255	0.127822
SAMPLE	G000195835	0.14897
SAMPLE	G000576635	0.149663
SAMPLE	G000093085	0.126416
SAMPLE	G001783315	0.178225
SAMPLE	G001769045	0.215772
SAMPLE	G000202835	0.12989
SAMPLE	G000381345	0.114501
SAMPLE	G900109715	0.125553
SAMPLE	G001483845	0.13845
SAMPLE	G000235565	0.195478
SAMPLE	G900070165	0.145248
SAMPLE	G001803365	0.213718
SAMPLE	G000152705	0.135318
SAMPLE	G000511135	0.194782
SAMPLE	G900113925	0.129755
SAMPLE	G000382385	0.167794
SAMPLE	G001536165	0.141421
SAMPLE	G000711795	0.208946
SAMPLE	G900102185	0.137305
SAMPLE	G001746425	0.136563
SAMPLE	G000429465	0.151545
SAMPLE	G000634435	0.216671
SAMPLE	G000014465	0.0591746
SAMPLE	G001780535	0.164057
SAMPLE	G001781175	0.220944
SAMPLE	G001281525	0.124044
SAMPLE	G001773425	0.211862
SAMPLE	G000434955	0.18968
SAMPLE	G000702425	0.133052
SAMPLE	G001693475	0.158652
SAMPLE	G000716675	0.137408
SAMPLE	G900111615	0.127902
SAMPLE	G001457455	0.147323
SAMPLE	G001189575	0.137664
SAMPLE	G000377705	0.200287
SAMPLE	G000725165	0.16126
SAMPLE	G000591035	0.172161
SAMPLE	G001654855	0.169514
SAMPLE	G001784555	0.193807
SAMPLE	G001421285	0.156256
SAMPLE	G002007825	0.163067
SAMPLE	G001652465	0.128816
SAMPLE	G001656095	0.155378
SAMPLE	G900078795	0.146971
SAMPLE	G000406925	0.132793
SAMPLE	G001798155	0.216918
SAMPLE	G001005825	0.132288
SAMPLE	G000389965	0.141027
SAMPLE	G001869815	0.00249539
SAMPLE	G000294675	0.137236
SAMPLE	G000812685	0.158813
SAMPLE	G000764205	0.149924
SAMPLE	G900095305	0.147768
SAMPLE	G000488255	0.141529
SAMPLE	G000829515	0.130067
SAMPLE	G000190415	0.140051
SAMPLE	G001787615	0.157128
SAMPLE	G001772535	0.212356
SAMPLE	G001494635	0.141231
SAMPLE	G001821035	0.184591
SAMPLE	G001418575	0.13862
SAMPLE	G001576965	0.212664
SAMPLE	G900109475	0.1847
SAMPLE	G001704955	0.125676
SAMPLE	G000970735	0.142987
SAMPLE	G000981545	0.135789
SAMPLE	G001782645	0.150611
SAMPLE	G000153345	0.167844
SAMPLE	G001897605	0.201613
SAMPLE	G000828915	0.125223
SAMPLE	G001469005	0.21402
SAMPLE	G000730285	0.187952
SAMPLE	G001542405	0.131582
SAMPLE	G000006865	0.134804
SAMPLE	G001781965	0.200524
SAMPLE	G001822415	0.184829
SAMPLE	G001821245	0.178392
SAMPLE	G001627075	0.206539
SAMPLE	G001927245	0.142068
SAMPLE	G001316265	0.177406
SAMPLE	G000698145	0.139208
SAMPLE	G000007765	0.146139
SAMPLE	G001437435	0.0801333
SAMPLE	G000991735	0.178543
SAMPLE	G001574705	0.139664
SAMPLE	G000378005	0.169991
SAMPLE	G000426725	0.160968
SAMPLE	G900089575	0.164395
SAMPLE	G000009025	0.168656
SAMPLE	G001606025	0.1455
SAMPLE	G001273775	0.135047
SAMPLE	G000751295	0.151854
SAMPLE	G900111605	0.125271
SAMPLE	G000431355	0.211571
SAMPLE	G900114995	0.168823
SAMPLE	G001707835	0.181833
SAMPLE	G001439215	0.212041
SAMPLE	G000252765	0.124754
SAMPLE	G000612445	0.144697
SAMPLE	G000152865	0.133474
SAMPLE	G000425205	0.154037
SAMPLE	G001180145	0.139954
SAMPLE	G000813845	0.150797
SAMPLE	G000315445	0.129812
SAMPLE	G000409815	0.164977
SAMPLE	G000992765	0.174112
SAMPLE	G001713375	0.125026
SAMPLE	G000298075	0.128065
SAMPLE	G000621465	0.142528
SAMPLE	G000762875	0.143448
SAMPLE	G001435065	0.132994
SAMPLE	G001784615	0.146588
SAMPLE	G001244495	0.136513
SAMPLE	G000269805	0.136269
SAMPLE	G000017685	0.142522
SAMPLE	G000007865	0.153348
SAMPLE	G000493945	0.224649
SAMPLE	G001552935	0.135637
SAMPLE	G001420285	0.15856
SAMPLE	G000019205	0.141354
SAMPLE	G000833025	0.147722
SAMPLE	G900103145	0.124044
SAMPLE	G000179395	0.141056
SAMPLE	G000428465	0.135138
SAMPLE	G000741845	0.170197
SAMPLE	G000426885	0.152665
SAMPLE	G001916165	0.20732
SAMPLE	G001787915	0.161445
SAMPLE	G001189495	0.130006
SAMPLE	G000300695	0.139405
SAMPLE	G001456935	0.194901
SAMPLE	G000295935	0.15865
SAMPLE	G000384135	0.147009
SAMPLE	G001514435	0.125308
SAMPLE	G000012385	0.145812
SAMPLE	G000691805	0.137218
SAMPLE	G001898235	0.218717
SAMPLE	G001295935	0.130589
SAMPLE	G001047215	0.146092
SAMPLE	G000432615	0.187553
SAMPLE	G001789125	0.141456
SAMPLE	G000741705	0.145682
SAMPLE	G001773295	0.220414
SAMPLE	G000265505	0.171169
SAMPLE	G900116865	0.118252
SAMPLE	G000472905	0.223758
SAMPLE	G000953395	0.159717
SAMPLE	G900116035	0.191273
SAMPLE	G000814025	0.145726
SAMPLE	G001771505	0.155701
SAMPLE	G000214155	0.149548
SAMPLE	G001188915	0.120562
SAMPLE	G001785545	0.208702
SAMPLE	G001467645	0.145885
SAMPLE	G001002205	0.169056
SAMPLE	G001314555	0.217815
SAMPLE	G001705695	0.131894
SAMPLE	G000702245	0.142028
SAMPLE	G001663375	0.203474
SAMPLE	G000312545	0.209708
SAMPLE	G001560725	0.170455
SAMPLE	G001869885	0.00241996
SAMPLE	G000403355	0.127267
SAMPLE	G000293805	0.125457
SAMPLE	G001274895	0.150557
SAMPLE	G000007305	0.204522
SAMPLE	G900099745	0.158077
SAMPLE	G000425905	0.136466
SAMPLE	G900114545	0.203812
SAMPLE	G002003665	0.130923
SAMPLE	G900114835	0.183924
SAMPLE	G001820725	0.181074
SAMPLE	G000423145	0.137682
SAMPLE	G001803885	0.211699
SAMPLE	G000504285	0.134813
SAMPLE	G000411355	0.131116
SAMPLE	G000523535	0.148857
SAMPLE	G000981705	0.147892
SAMPLE	G000480315	0.137447
SAMPLE	G000317065	0.128912
SAMPLE	G000170915	0.132512
SAMPLE	G001868205	0.00237593
SAMPLE	G000615845	0.13454
SAMPLE	G000428165	0.211737
SAMPLE	G000763765	0.136913
SAMPLE	G000959725	0.125306
SAMPLE	G001306995	0.132634
SAMPLE	G001656255	0.152073
SAMPLE	G000177635	0.139071
SAMPLE	G000325085	0.217044
SAMPLE	G001798185	0.15075
SAMPLE	G000989975	0.163813
SAMPLE	G001417955	0.157222
SAMPLE	G000426325	0.159737
SAMPLE	G001917235	0.197968
SAMPLE	G001776195	0.146367
SAMPLE	G001460955	0.17655
SAMPLE	G000317935	0.132411
SAMPLE	G001064665	0.142736
SAMPLE	G001778455	0.225212
SAMPLE	G002019865	0.143517
SAMPLE	G001865835	0.152509
SAMPLE	G000304395	0.14752
SAMPLE	G000830175	0.214765
SAMPLE	G001868345	0.00235187
SAMPLE	G000746025	0.188959
SAMPLE	G001773015	0.181606
SAMPLE	G000425625	0.144272
SAMPLE	G001642875	0.171926
SAMPLE	G001829935	0.158211
SAMPLE	G001790035	0.165668
SAMPLE	G001975465	0.145336
SAMPLE	G000961955	0.1314
SAMPLE	G000405945	0.203545
SAMPLE	G001564135	0.189532
SAMPLE	G001683915	0.15562
SAMPLE	G001776145	0.197193
SAMPLE	G000724145	0.20525
SAMPLE	G000010085	0.147949
SAMPLE	G900115735	0.159518
SAMPLE	G900143255	0.161262
SAMPLE	G000422285	0.135987
SAMPLE	G000522445	0.194809
SAMPLE	G000826525	0.137139
SAMPLE	G000765215	0.117415
SAMPLE	G001021065	0.132648
SAMPLE	G000995965	0.158839
SAMPLE	G000737325	0.137717
SAMPLE	G000263195	0.157942
SAMPLE	G000763385	0.130599
SAMPLE	G001768205	0.225347
SAMPLE	G000333235	0.160211
SAMPLE	G001791655	0.196819
SAMPLE	G000393955	0.129275
SAMPLE	G000761155	0.132152
SAMPLE	G000743715	0.13694
SAMPLE	G001769625	0.159667
SAMPLE	G001286805	0.137107
SAMPLE	G000385135	0.141025
SAMPLE	G000967425	0.127201
SAMPLE	G001642915	0.16766
SAMPLE	G001507915	0.155834
SAMPLE	G000464455	0.21386
SAMPLE	G900100655	0.127436
SAMPLE	G000372845	0.194609
SAMPLE	G000712635	0.204037
SAMPLE	G000175255	0.152457
SAMPLE	G000832305	0.126886
SAMPLE	G900112615	0.166315
SAMPLE	G000170715	0.149604
SAMPLE	G002011745	0.144004
SAMPLE	G000425005	0.15938
SAMPLE	G000786205	0.150465
SAMPLE	G000733585	0.12865
SAMPLE	G000155595	0.131631
SAMPLE	G001797045	0.198373
SAMPLE	G001822305	0.214689
SAMPLE	G001318405	0.141161
SAMPLE	G000411555	0.140849
SAMPLE	G001601575	0.130352
SAMPLE	G000173355	0.140712
SAMPLE	G000169395	0.161322
SAMPLE	G900103215	0.153117
SAMPLE	G001932955	0.132748
SAMPLE	G000025305	0.135198
SAMPLE	G001626755	0.210411
SAMPLE	G000349585	0.149561
SAMPLE	G000938285	0.149245
SAMPLE	G000019805	0.157231
SAMPLE	G000432215	0.209417
SAMPLE	G001816555	0.156905
SAMPLE	G900101525	0.160926
SAMPLE	G000990005	0.211976
SAMPLE	G000225345	0.117916
SAMPLE	G001876175	0.15782
SAMPLE	G001820775	0.200491
SAMPLE	G000072485	0.131311
SAMPLE	G001604445	0.159229
SAMPLE	G001536025	0.147188
SAMPLE	G000315055	0.152511
SAMPLE	G000420545	0.129268
SAMPLE	G000753945	0.133146
SAMPLE	G001630765	0.15433
SAMPLE	G000751075	0.153116
SAMPLE	G000229545	0.190563
SAMPLE	G900142235	0.144883
SAMPLE	G000385295	0.143266
SAMPLE	G000454725	0.15849
SAMPLE	G001002795	0.205028
SAMPLE	G001003245	0.20414
SAMPLE	G000597805	0.137573
SAMPLE	G000312365	0.139163
SAMPLE	G900142915	0.157531
SAMPLE	G000526515	0.140684
SAMPLE	G000828895	0.212655
SAMPLE	G000009965	0.202706
SAMPLE	G000431875	0.210737
SAMPLE	G001586755	0.12286
SAMPLE	G000745425	0.143672
SAMPLE	G000015045	0.129752
SAMPLE	G000698785	0.187533
SAMPLE	G000425365	0.117897
SAMPLE	G001794635	0.198226
SAMPLE	G000436215	0.16358
SAMPLE	G001543265	0.141892
SAMPLE	G001613505	0.154901
SAMPLE	G000614355	0.143947
SAMPLE	G000802305	0.126437
SAMPLE	G001687335	0.136125
SAMPLE	G000022425	0.191905
SAMPLE	G000508165	0.122132
SAMPLE	G900115435	0.196296
SAMPLE	G000622365	0.159478
