#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290730//.mixture_reads-2JkxQo.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.211158
SAMPLE	G000619885	0.192766
SAMPLE	G001591825	0.19224
SAMPLE	G001598915	0.178309
SAMPLE	G000063525	0.192454
SAMPLE	G900061675	0.171396
SAMPLE	G900104675	0.185683
SAMPLE	G000428565	0.206193
SAMPLE	G001050835	0.217145
SAMPLE	G000328665	0.222498
SAMPLE	G001703975	0.13895
SAMPLE	G000745855	0.204559
SAMPLE	G001484685	0.213508
SAMPLE	G000485905	0.197113
SAMPLE	G001829715	0.214913
SAMPLE	G001750685	0.157993
SAMPLE	G001825065	0.213349
SAMPLE	G001889105	0.190237
SAMPLE	G001587475	0.190613
SAMPLE	G001587695	0.220541
SAMPLE	G000191925	0.153044
SAMPLE	G001424685	0.195684
SAMPLE	G001273495	0.173022
SAMPLE	G001263755	0.174953
SAMPLE	G001466415	0.144237
SAMPLE	G001920395	0.20269
SAMPLE	G000018305	0.198932
SAMPLE	G000177235	0.139738
SAMPLE	G000309945	0.183201
SAMPLE	G001779055	0.203567
SAMPLE	G001918845	0.207055
SAMPLE	G001584645	0.152477
SAMPLE	G000992125	0.151473
SAMPLE	G000429945	0.208299
SAMPLE	G000439105	0.123816
SAMPLE	G000718255	0.172931
SAMPLE	G000411375	0.179093
SAMPLE	G001437635	0.177393
SAMPLE	G001508535	0.215018
SAMPLE	G000463075	0.183641
SAMPLE	G000403035	0.144144
SAMPLE	G001508955	0.210547
SAMPLE	G000384935	0.139205
SAMPLE	G001653295	0.169242
SAMPLE	G002019735	0.168651
SAMPLE	G000376565	0.117458
SAMPLE	G000966265	0.20741
SAMPLE	G001781355	0.208906
SAMPLE	G001789695	0.170268
SAMPLE	G001685155	0.18697
SAMPLE	G001788195	0.210457
SAMPLE	G000424825	0.144176
SAMPLE	G001475935	0.195068
SAMPLE	G000568815	0.191425
SAMPLE	G000012565	0.175501
SAMPLE	G000703065	0.182847
SAMPLE	G900115855	0.209657
SAMPLE	G001791375	0.202867
SAMPLE	G000989195	0.188119
SAMPLE	G001804605	0.211862
SAMPLE	G001917065	0.204719
SAMPLE	G000997145	0.203561
SAMPLE	G001825445	0.204106
SAMPLE	G001830325	0.204272
SAMPLE	G001014615	0.19864
SAMPLE	G000688475	0.172523
SAMPLE	G000429645	0.202571
SAMPLE	G001457815	0.198149
SAMPLE	G000310185	0.199375
SAMPLE	G001697225	0.20147
SAMPLE	G000410815	0.181351
SAMPLE	G001578075	0.187289
SAMPLE	G001777575	0.197891
SAMPLE	G000509225	0.198659
SAMPLE	G000170875	0.203555
SAMPLE	G001603075	0.207504
SAMPLE	G000385055	0.13267
SAMPLE	G000478585	0.180859
SAMPLE	G001791715	0.209454
SAMPLE	G001790435	0.198545
SAMPLE	G001516665	0.21697
SAMPLE	G000498355	0.175974
SAMPLE	G000160775	0.17687
SAMPLE	G001582735	0.167738
SAMPLE	G000998865	0.224106
SAMPLE	G900106745	0.207126
SAMPLE	G000195835	0.184679
SAMPLE	G000980835	0.157261
SAMPLE	G000807255	0.140067
SAMPLE	G000576635	0.198001
SAMPLE	G000093085	0.179099
SAMPLE	G001783315	0.176893
SAMPLE	G000202835	0.206234
SAMPLE	G000381345	0.204426
SAMPLE	G000235565	0.213657
SAMPLE	G000152705	0.171164
SAMPLE	G900109715	0.173427
SAMPLE	G001769045	0.200509
SAMPLE	G900070165	0.170651
SAMPLE	G001803365	0.213044
SAMPLE	G001483845	0.175388
SAMPLE	G001774505	0.197512
SAMPLE	G000511135	0.178062
SAMPLE	G900113925	0.17449
SAMPLE	G000382385	0.209178
SAMPLE	G001536165	0.138205
SAMPLE	G900102185	0.190893
SAMPLE	G001746425	0.133872
SAMPLE	G000711795	0.217477
SAMPLE	G000429465	0.178141
SAMPLE	G000014465	0.165106
SAMPLE	G001780535	0.183783
SAMPLE	G001781175	0.205521
SAMPLE	G001281525	0.157243
SAMPLE	G000716675	0.12783
SAMPLE	G000434955	0.210907
SAMPLE	G001693475	0.155412
SAMPLE	G000702425	0.167861
SAMPLE	G900111615	0.14912
SAMPLE	G001457455	0.172739
SAMPLE	G001189575	0.16113
SAMPLE	G000377705	0.19843
SAMPLE	G000725165	0.158269
SAMPLE	G000591035	0.212941
SAMPLE	G001654855	0.163277
SAMPLE	G001784555	0.187185
SAMPLE	G001421285	0.205064
SAMPLE	G002007825	0.19167
SAMPLE	G001652465	0.174829
SAMPLE	G001656095	0.163452
SAMPLE	G900078795	0.188742
SAMPLE	G000406925	0.141292
SAMPLE	G001798155	0.216459
SAMPLE	G000389965	0.177779
SAMPLE	G001005825	0.190983
SAMPLE	G000294675	0.196559
SAMPLE	G001869815	0.133274
SAMPLE	G000812685	0.200233
SAMPLE	G000764205	0.180576
SAMPLE	G900095305	0.169996
SAMPLE	G001787615	0.204331
SAMPLE	G000488255	0.16836
SAMPLE	G000829515	0.158263
SAMPLE	G000190415	0.128683
SAMPLE	G001494635	0.188328
SAMPLE	G001821035	0.171075
SAMPLE	G001418575	0.149518
SAMPLE	G001576965	0.219442
SAMPLE	G900109475	0.198553
SAMPLE	G001704955	0.179115
SAMPLE	G000981545	0.199795
SAMPLE	G000970735	0.126616
SAMPLE	G001782645	0.131752
SAMPLE	G000153345	0.192431
SAMPLE	G000828915	0.203519
SAMPLE	G001897605	0.225108
SAMPLE	G001469005	0.225122
SAMPLE	G001302685	0.224523
SAMPLE	G000730285	0.19996
SAMPLE	G001542405	0.191065
SAMPLE	G000006865	0.143208
SAMPLE	G001822415	0.195711
SAMPLE	G001821245	0.211274
SAMPLE	G001927245	0.203761
SAMPLE	G001627075	0.185426
SAMPLE	G001316265	0.215574
SAMPLE	G000698145	0.159187
SAMPLE	G000007765	0.192445
SAMPLE	G001437435	0.188395
SAMPLE	G000991735	0.202449
SAMPLE	G001574705	0.160157
SAMPLE	G000378005	0.20334
SAMPLE	G000751295	0.202551
SAMPLE	G000009025	0.194934
SAMPLE	G001606025	0.167877
SAMPLE	G001273775	0.20573
SAMPLE	G000426725	0.161917
SAMPLE	G900089575	0.189157
SAMPLE	G900111605	0.197175
SAMPLE	G000431355	0.219975
SAMPLE	G001707835	0.199198
SAMPLE	G900114995	0.192443
SAMPLE	G001439215	0.186475
SAMPLE	G000252765	0.135237
SAMPLE	G000612445	0.160049
SAMPLE	G000813845	0.174734
SAMPLE	G000152865	0.200528
SAMPLE	G000425205	0.19717
SAMPLE	G001180145	0.181298
SAMPLE	G000315445	0.165796
SAMPLE	G000409815	0.222431
SAMPLE	G000992765	0.17564
SAMPLE	G001713375	0.198902
SAMPLE	G000621465	0.210708
SAMPLE	G000298075	0.177567
SAMPLE	G000007865	0.181725
SAMPLE	G001435065	0.168513
SAMPLE	G001784615	0.14083
SAMPLE	G000269805	0.181078
SAMPLE	G001244495	0.190449
SAMPLE	G000017685	0.169965
SAMPLE	G000762875	0.164945
SAMPLE	G000493945	0.211669
SAMPLE	G001552935	0.165669
SAMPLE	G001420285	0.13249
SAMPLE	G000019205	0.153767
SAMPLE	G000833025	0.119396
SAMPLE	G900103145	0.204049
SAMPLE	G000179395	0.179975
SAMPLE	G000428465	0.204528
SAMPLE	G001802215	0.214602
SAMPLE	G001916165	0.207231
SAMPLE	G000426885	0.19114
SAMPLE	G000741845	0.182246
SAMPLE	G001189495	0.17195
SAMPLE	G000472905	0.20959
SAMPLE	G001789125	0.198708
SAMPLE	G001456935	0.203072
SAMPLE	G000384135	0.171546
SAMPLE	G001514435	0.137563
SAMPLE	G000741705	0.182999
SAMPLE	G000691805	0.163196
SAMPLE	G001295935	0.210035
SAMPLE	G001898235	0.218415
SAMPLE	G001047215	0.168741
SAMPLE	G000432615	0.206916
SAMPLE	G000012385	0.163006
SAMPLE	G000300695	0.15183
SAMPLE	G000295935	0.189044
SAMPLE	G900116865	0.186371
SAMPLE	G000265505	0.170242
SAMPLE	G001773295	0.225378
SAMPLE	G001787915	0.154338
SAMPLE	G000953395	0.128713
SAMPLE	G001785545	0.225399
SAMPLE	G000214155	0.182165
SAMPLE	G000814025	0.201702
SAMPLE	G900116035	0.213158
SAMPLE	G001771505	0.178171
SAMPLE	G001188915	0.159242
SAMPLE	G001467645	0.18846
SAMPLE	G001002205	0.20595
SAMPLE	G001314555	0.206769
SAMPLE	G001705695	0.195704
SAMPLE	G000702245	0.193133
SAMPLE	G001663375	0.221975
SAMPLE	G001560725	0.225081
SAMPLE	G000403355	0.19255
SAMPLE	G001869885	0.14123
SAMPLE	G001274895	0.174001
SAMPLE	G000293805	0.191055
SAMPLE	G000007305	0.205249
SAMPLE	G900099745	0.194794
SAMPLE	G900114835	0.220398
SAMPLE	G002003665	0.192776
SAMPLE	G001820725	0.196781
SAMPLE	G900114545	0.187526
SAMPLE	G000425905	0.145532
SAMPLE	G000423145	0.167712
SAMPLE	G000504285	0.167333
SAMPLE	G000411355	0.171418
SAMPLE	G000523535	0.150751
SAMPLE	G000981705	0.188992
SAMPLE	G000480315	0.189205
SAMPLE	G000170915	0.209042
SAMPLE	G000317065	0.171373
SAMPLE	G001868205	0.169301
SAMPLE	G000615845	0.153088
SAMPLE	G000428165	0.225137
SAMPLE	G001306995	0.203139
SAMPLE	G000959725	0.203502
SAMPLE	G000763765	0.174195
SAMPLE	G001656255	0.165908
SAMPLE	G000177635	0.192092
SAMPLE	G000325085	0.20215
SAMPLE	G000426325	0.142378
SAMPLE	G001798185	0.144202
SAMPLE	G001417955	0.181392
SAMPLE	G000989975	0.180339
SAMPLE	G001917235	0.22351
SAMPLE	G001776195	0.194893
SAMPLE	G001460955	0.18928
SAMPLE	G000317935	0.204309
SAMPLE	G001064665	0.156866
SAMPLE	G001778455	0.199822
SAMPLE	G002019865	0.177469
SAMPLE	G001865835	0.121002
SAMPLE	G000304395	0.194862
SAMPLE	G000830175	0.225063
SAMPLE	G001868345	0.140598
SAMPLE	G000961955	0.205666
SAMPLE	G000425625	0.203
SAMPLE	G001642875	0.209325
SAMPLE	G000746025	0.211138
SAMPLE	G000405945	0.201059
SAMPLE	G001975465	0.190011
SAMPLE	G001773015	0.181456
SAMPLE	G001829935	0.184006
SAMPLE	G001790035	0.206186
SAMPLE	G001564135	0.208757
SAMPLE	G001683915	0.185981
SAMPLE	G001776145	0.200412
SAMPLE	G000724145	0.225251
SAMPLE	G000765215	0.196141
SAMPLE	G900115735	0.193411
SAMPLE	G000826525	0.171287
SAMPLE	G000010085	0.191861
SAMPLE	G000422285	0.197923
SAMPLE	G900143255	0.165678
SAMPLE	G000522445	0.206547
SAMPLE	G001021065	0.175113
SAMPLE	G001785035	0.203
SAMPLE	G000995965	0.192408
SAMPLE	G000737325	0.208802
SAMPLE	G000763385	0.198964
SAMPLE	G000263195	0.17968
SAMPLE	G001769625	0.204723
SAMPLE	G000333235	0.183953
SAMPLE	G001768205	0.210815
SAMPLE	G000761155	0.199879
SAMPLE	G000393955	0.166643
SAMPLE	G000743715	0.20643
SAMPLE	G001286805	0.201885
SAMPLE	G000967425	0.193097
SAMPLE	G000385135	0.182402
SAMPLE	G001642915	0.21064
SAMPLE	G001507915	0.168702
SAMPLE	G000464455	0.210245
SAMPLE	G900100655	0.20202
SAMPLE	G000372845	0.208512
SAMPLE	G000712635	0.212469
SAMPLE	G000175255	0.202302
SAMPLE	G000832305	0.202469
SAMPLE	G900112615	0.186758
SAMPLE	G000170715	0.159276
SAMPLE	G002011745	0.149039
SAMPLE	G000425005	0.196164
SAMPLE	G000786205	0.204126
SAMPLE	G000733585	0.179834
SAMPLE	G000155595	0.191434
SAMPLE	G001797045	0.213469
SAMPLE	G001822305	0.211414
SAMPLE	G001318405	0.156428
SAMPLE	G000411555	0.183477
SAMPLE	G000169395	0.185136
SAMPLE	G001932955	0.155987
SAMPLE	G001601575	0.185318
SAMPLE	G001626755	0.209581
SAMPLE	G900103215	0.175401
SAMPLE	G000025305	0.189542
SAMPLE	G000173355	0.161579
SAMPLE	G000938285	0.20061
SAMPLE	G000432215	0.217234
SAMPLE	G000349585	0.179687
SAMPLE	G000019805	0.216384
SAMPLE	G001816555	0.134413
SAMPLE	G900101525	0.159939
SAMPLE	G000990005	0.180324
SAMPLE	G000225345	0.191337
SAMPLE	G001876175	0.172545
SAMPLE	G001820775	0.19361
SAMPLE	G000072485	0.201747
SAMPLE	G001604445	0.186595
SAMPLE	G001536025	0.156266
SAMPLE	G000315055	0.184576
SAMPLE	G000420545	0.201533
SAMPLE	G000753945	0.179396
SAMPLE	G001630765	0.177502
SAMPLE	G000751075	0.160608
SAMPLE	G001003245	0.200505
SAMPLE	G000229545	0.213898
SAMPLE	G001002795	0.207692
SAMPLE	G000454725	0.174454
SAMPLE	G000385295	0.184544
SAMPLE	G900142235	0.110971
SAMPLE	G000828895	0.204052
SAMPLE	G000312365	0.176352
SAMPLE	G000597805	0.166685
SAMPLE	G900142915	0.182797
SAMPLE	G000526515	0.178246
SAMPLE	G000379825	0.17297
SAMPLE	G000009965	0.196471
SAMPLE	G000425365	0.210156
SAMPLE	G000431875	0.197664
SAMPLE	G000745425	0.201628
SAMPLE	G000015045	0.198038
SAMPLE	G001586755	0.160787
SAMPLE	G000698785	0.201867
SAMPLE	G000168735	0.166249
SAMPLE	G000436215	0.204816
SAMPLE	G001794635	0.2018
SAMPLE	G001543265	0.192252
SAMPLE	G001613505	0.180276
SAMPLE	G000614355	0.186118
SAMPLE	G000802305	0.180131
SAMPLE	G000767165	0.173106
SAMPLE	G001687335	0.165586
SAMPLE	G000508165	0.180231
SAMPLE	G900115435	0.208933
SAMPLE	G001486165	0.203474
SAMPLE	G000622365	0.201005
SAMPLE	G001513545	0.198499
SAMPLE	G000702585	0.194947
SAMPLE	G000284375	0.195789
SAMPLE	G000317655	0.158441
SAMPLE	G000803625	0.190644
SAMPLE	G001778055	0.219003
SAMPLE	G001070095	0.173082
SAMPLE	G001535965	0.153356
SAMPLE	G001482385	0.172469
SAMPLE	G000520795	0.195168
SAMPLE	G000467065	0.201898
SAMPLE	G000022425	0.220728
SAMPLE	G001824295	0.179901
SAMPLE	G000430485	0.211645
SAMPLE	G000017585	0.170734
SAMPLE	G000196435	0.140455
SAMPLE	G000613805	0.187117
SAMPLE	G001534725	0.159401
SAMPLE	G000250735	0.188262
SAMPLE	G000429825	0.200651
SAMPLE	G900109065	0.213347
SAMPLE	G002010075	0.223804
SAMPLE	G002006815	0.199998
SAMPLE	G000265075	0.180515
SAMPLE	G001781935	0.200229
SAMPLE	G000384395	0.193197
SAMPLE	G000404705	0.17525
SAMPLE	G000020005	0.136464
SAMPLE	G000153845	0.203398
SAMPLE	G000219275	0.157826
SAMPLE	G001816475	0.173293
SAMPLE	G001000955	0.194078
SAMPLE	G000379925	0.18071
SAMPLE	G001818495	0.188385
SAMPLE	G000245195	0.220725
SAMPLE	G001512435	0.206802
SAMPLE	G000383735	0.216027
SAMPLE	G001005305	0.142704
SAMPLE	G000158215	0.1686
SAMPLE	G001918395	0.214044
SAMPLE	G900142125	0.195726
SAMPLE	G001817735	0.21683
SAMPLE	G000174415	0.149164
SAMPLE	G000444565	0.178373
SAMPLE	G001708485	0.20223
SAMPLE	G000526415	0.201114
SAMPLE	G001562845	0.153658
SAMPLE	G001002325	0.208025
SAMPLE	G001801885	0.20343
SAMPLE	G001791275	0.199339
SAMPLE	G001786355	0.209154
SAMPLE	G001729285	0.206065
SAMPLE	G000435655	0.209746
SAMPLE	G001626675	0.193381
SAMPLE	G000341755	0.163055
SAMPLE	G000436135	0.219085
SAMPLE	G001920815	0.204516
SAMPLE	G000407165	0.149687
SAMPLE	G000753795	0.182259
SAMPLE	G001818085	0.218623
SAMPLE	G001418035	0.199816
SAMPLE	G001438925	0.165604
SAMPLE	G001517865	0.11455
SAMPLE	G000252485	0.225278
SAMPLE	G001577775	0.200172
SAMPLE	G000972805	0.169315
SAMPLE	G001872005	0.21988
SAMPLE	G000212375	0.203179
SAMPLE	G001303045	0.206815
SAMPLE	G001685165	0.183744
SAMPLE	G000282775	0.194073
SAMPLE	G001725215	0.205294
SAMPLE	G000331025	0.164506
SAMPLE	G001769505	0.135001
SAMPLE	G000688835	0.180144
SAMPLE	G001776535	0.225123
SAMPLE	G001438385	0.212195
SAMPLE	G000469345	0.160376
SAMPLE	G000257395	0.161361
SAMPLE	G001439355	0.161181
SAMPLE	G000212695	0.177396
SAMPLE	G000614585	0.166927
SAMPLE	G000705555	0.194659
SAMPLE	G000999255	0.195964
SAMPLE	G000723565	0.185779
SAMPLE	G001822295	0.194217
SAMPLE	G000155775	0.172899
SAMPLE	G001748385	0.196408
SAMPLE	G000196535	0.172887
SAMPLE	G000758965	0.176446
SAMPLE	G000685235	0.196495
SAMPLE	G000335475	0.201151
SAMPLE	G000428845	0.20303
SAMPLE	G000203855	0.153107
SAMPLE	G000190635	0.169243
SAMPLE	G001787965	0.192514
SAMPLE	G000415005	0.139986
SAMPLE	G000756795	0.198406
SAMPLE	G001424525	0.202714
SAMPLE	G000526635	0.211401
SAMPLE	G001429255	0.176093
SAMPLE	G001868545	0.173894
SAMPLE	G002005305	0.173077
SAMPLE	G000526495	0.164731
SAMPLE	G000161775	0.201117
SAMPLE	G001793975	0.188746
SAMPLE	G000162755	0.207419
SAMPLE	G000007005	0.225168
SAMPLE	G000155635	0.202377
SAMPLE	G001438015	0.212094
SAMPLE	G000007785	0.147663
SAMPLE	G000403135	0.15917
SAMPLE	G000018365	0.201991
SAMPLE	G000092905	0.196087
SAMPLE	G000620425	0.189735
SAMPLE	G001307545	0.174091
SAMPLE	G000327285	0.190611
SAMPLE	G000496175	0.212701
SAMPLE	G002020875	0.192745
SAMPLE	G002005365	0.185769
SAMPLE	G000743705	0.20111
SAMPLE	G001438655	0.161312
SAMPLE	G000309865	0.194819
SAMPLE	G001790365	0.200991
SAMPLE	G000583135	0.205736
SAMPLE	G001509335	0.182928
SAMPLE	G000431955	0.201426
SAMPLE	G000426805	0.19638
SAMPLE	G000828815	0.142504
SAMPLE	G001457795	0.196653
SAMPLE	G001771345	0.197215
SAMPLE	G001567175	0.176358
SAMPLE	G001899145	0.183859
SAMPLE	G900119185	0.182409
SAMPLE	G001783215	0.189976
SAMPLE	G001512695	0.190175
SAMPLE	G000971295	0.196891
SAMPLE	G001427985	0.16706
SAMPLE	G000023145	0.17699
SAMPLE	G001932775	0.161384
SAMPLE	G900109425	0.199593
SAMPLE	G000155495	0.181123
SAMPLE	G001773315	0.214088
SAMPLE	G001823825	0.21892
SAMPLE	G001829155	0.167911
SAMPLE	G001412425	0.175496
SAMPLE	G001902585	0.149853
SAMPLE	G000428905	0.163707
SAMPLE	G000941055	0.162554
SAMPLE	G000011125	0.215675
SAMPLE	G001870665	0.197111
SAMPLE	G001916635	0.205084
SAMPLE	G000518745	0.184288
SAMPLE	G000687955	0.124094
SAMPLE	G001003605	0.210848
SAMPLE	G001617355	0.202491
SAMPLE	G000435355	0.210081
SAMPLE	G000166275	0.157025
SAMPLE	G000472285	0.199724
SAMPLE	G001797785	0.205797
SAMPLE	G000332075	0.18332
SAMPLE	G001040865	0.17465
SAMPLE	G900101435	0.19402
SAMPLE	G001042715	0.12932
SAMPLE	G000469135	0.202735
SAMPLE	G000786005	0.136292
SAMPLE	G001953785	0.166135
SAMPLE	G000968435	0.225148
SAMPLE	G002021195	0.198672
SAMPLE	G000300135	0.162186
SAMPLE	G000953275	0.125695
SAMPLE	G001780865	0.193761
SAMPLE	G001458595	0.124685
SAMPLE	G000069945	0.172369
SAMPLE	G000093025	0.183067
SAMPLE	G000994485	0.205197
SAMPLE	G001873115	0.221905
SAMPLE	G000017845	0.171905
SAMPLE	G900111095	0.198425
SAMPLE	G001316245	0.185221
SAMPLE	G900142855	0.207325
SAMPLE	G000224475	0.208943
SAMPLE	G001483965	0.141021
SAMPLE	G000374005	0.218948
SAMPLE	G900130065	0.19925
SAMPLE	G000255355	0.179575
SAMPLE	G000243135	0.175781
SAMPLE	G001701045	0.198865
SAMPLE	G001456065	0.116447
SAMPLE	G001871895	0.216788
SAMPLE	G001757105	0.178719
SAMPLE	G001723855	0.20934
SAMPLE	G001317315	0.160367
SAMPLE	G001429025	0.198006
SAMPLE	G001636615	0.200306
SAMPLE	G000024965	0.175065
SAMPLE	G001591585	0.15557
SAMPLE	G000169655	0.175508
SAMPLE	G000215705	0.201786
SAMPLE	G900011245	0.198309
SAMPLE	G001748365	0.141112
SAMPLE	G001627675	0.217134
SAMPLE	G000152265	0.225139
SAMPLE	G000582705	0.174978
SAMPLE	G900109585	0.214519
SAMPLE	G000312425	0.196309
SAMPLE	G001816995	0.200586
SAMPLE	G000270145	0.155332
SAMPLE	G000430585	0.186711
SAMPLE	G001433395	0.201714
SAMPLE	G900096565	0.194105
SAMPLE	G001786905	0.190165
SAMPLE	G001816425	0.13423
SAMPLE	G001780955	0.213003
SAMPLE	G000023845	0.166779
SAMPLE	G000237145	0.178152
SAMPLE	G000017105	0.184431
SAMPLE	G000298115	0.157775
SAMPLE	G000017045	0.154225
SAMPLE	G000518805	0.206852
SAMPLE	G001873515	0.220685
SAMPLE	G001592435	0.195722
SAMPLE	G000285915	0.178016
SAMPLE	G001897475	0.194051
SAMPLE	G000374645	0.204157
SAMPLE	G000158195	0.164218
SAMPLE	G000620125	0.150274
SAMPLE	G001029445	0.187033
SAMPLE	G000024005	0.195627
SAMPLE	G001002455	0.212803
SAMPLE	G000433015	0.211612
SAMPLE	G000473205	0.193236
SAMPLE	G001975685	0.168736
SAMPLE	G001438225	0.190683
SAMPLE	G000626675	0.179354
SAMPLE	G000620945	0.194998
SAMPLE	G001267945	0.171882
SAMPLE	G000473305	0.179237
SAMPLE	G900114655	0.159481
SAMPLE	G000093165	0.145369
SAMPLE	G000661895	0.196043
SAMPLE	G000319575	0.19558
SAMPLE	G000723405	0.202149
SAMPLE	G001676785	0.173569
SAMPLE	G000284295	0.177746
SAMPLE	G000011745	0.162382
SAMPLE	G000444545	0.167216
SAMPLE	G000755265	0.168286
SAMPLE	G000420065	0.177356
SAMPLE	G900110915	0.192259
SAMPLE	G000262405	0.19187
SAMPLE	G000429265	0.188505
SAMPLE	G000421585	0.179821
