#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290885//.mixture_reads-q1RpIK.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G001940655	0.189846
SAMPLE	G000619885	0.135241
SAMPLE	G000485905	0.119594
SAMPLE	G001598915	0.135554
SAMPLE	G000063525	0.139326
SAMPLE	G900061675	0.15174
SAMPLE	G900104675	0.141757
SAMPLE	G000428565	0.209422
SAMPLE	G000515275	0.154305
SAMPLE	G000328665	0.183331
SAMPLE	G001703975	0.148772
SAMPLE	G000745855	0.129208
SAMPLE	G000761095	0.186244
SAMPLE	G001591825	0.165061
SAMPLE	G001829715	0.198636
SAMPLE	G001750685	0.161411
SAMPLE	G001825065	0.212452
SAMPLE	G001587475	0.153839
SAMPLE	G001889105	0.114085
SAMPLE	G001587695	0.208113
SAMPLE	G001273495	0.195983
SAMPLE	G001424685	0.122812
SAMPLE	G000191925	0.170233
SAMPLE	G001263755	0.136477
SAMPLE	G001466415	0.170287
SAMPLE	G001920395	0.22517
SAMPLE	G000018305	0.187445
SAMPLE	G000177235	0.167527
SAMPLE	G000309945	0.16094
SAMPLE	G001779055	0.216314
SAMPLE	G001584645	0.146823
SAMPLE	G000992125	0.20181
SAMPLE	G001918845	0.223354
SAMPLE	G000429945	0.166236
SAMPLE	G000439105	0.203103
SAMPLE	G000718255	0.151067
SAMPLE	G000411375	0.139345
SAMPLE	G001437635	0.195578
SAMPLE	G001508535	0.17235
SAMPLE	G000463075	0.155685
SAMPLE	G000403035	0.147525
SAMPLE	G001508955	0.218498
SAMPLE	G000384935	0.160635
SAMPLE	G001653295	0.147004
SAMPLE	G002019735	0.163085
SAMPLE	G000376565	0.144518
SAMPLE	G000966265	0.197647
SAMPLE	G001781355	0.202436
SAMPLE	G001789695	0.196017
SAMPLE	G001685155	0.155243
SAMPLE	G001788195	0.206554
SAMPLE	G000424825	0.163499
SAMPLE	G001475935	0.124601
SAMPLE	G000568815	0.160936
SAMPLE	G000012565	0.184643
SAMPLE	G000703065	0.121693
SAMPLE	G900115855	0.175267
