#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290891//.mixture_reads-tJLWhO.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000063525	0.192098
SAMPLE	G000619885	0.17778
SAMPLE	G001783635	0.210446
SAMPLE	G000428565	0.212025
SAMPLE	G001405615	0.210952
SAMPLE	G900061675	0.193543
SAMPLE	G900104675	0.135111
SAMPLE	G000515275	0.212761
SAMPLE	G001591825	0.201802
SAMPLE	G000328665	0.217218
SAMPLE	G001703975	0.214214
SAMPLE	G000745855	0.186548
SAMPLE	G001829715	0.20698
SAMPLE	G001750685	0.217858
SAMPLE	G001587475	0.211276
SAMPLE	G001889105	0.178969
SAMPLE	G001587695	0.221538
SAMPLE	G000191925	0.210304
SAMPLE	G001273495	0.188886
SAMPLE	G001424685	0.182119
SAMPLE	G001263755	0.213474
SAMPLE	G001466415	0.225014
SAMPLE	G001920395	0.22517
SAMPLE	G000018305	0.18937
SAMPLE	G000177235	0.207369
SAMPLE	G000309945	0.198158
SAMPLE	G001779055	0.218767
SAMPLE	G001584645	0.201405
SAMPLE	G000992125	0.203368
SAMPLE	G001918845	0.224963
SAMPLE	G000429945	0.194053
SAMPLE	G000439105	0.215073
SAMPLE	G000411375	0.205007
SAMPLE	G001437635	0.193517
SAMPLE	G001508535	0.110504
SAMPLE	G000463075	0.198484
SAMPLE	G000403035	0.224875
SAMPLE	G001508955	0.21307
SAMPLE	G000384935	0.199262
SAMPLE	G001653295	0.187158
SAMPLE	G002019735	0.207438
SAMPLE	G000376565	0.202408
SAMPLE	G000966265	0.199177
SAMPLE	G001781355	0.225005
SAMPLE	G001789695	0.225025
SAMPLE	G001685155	0.208949
SAMPLE	G001788195	0.223485
SAMPLE	G000424825	0.187652
SAMPLE	G001475935	0.161933
SAMPLE	G000568815	0.198421
SAMPLE	G000012565	0.212545
SAMPLE	G000703065	0.195829
SAMPLE	G900115855	0.17247
SAMPLE	G000989195	0.221378
SAMPLE	G001804605	0.223925
SAMPLE	G001917065	0.213166
SAMPLE	G001776415	0.217035
SAMPLE	G000997145	0.225369
SAMPLE	G001825445	0.21448
SAMPLE	G001830325	0.190785
SAMPLE	G001014615	0.173751
SAMPLE	G001457815	0.188288
SAMPLE	G000429645	0.183226
SAMPLE	G000310185	0.168815
SAMPLE	G001697225	0.122036
SAMPLE	G001777575	0.212348
SAMPLE	G001578075	0.208939
SAMPLE	G000410815	0.201998
SAMPLE	G000509225	0.20707
SAMPLE	G000170875	0.153458
SAMPLE	G000385055	0.198107
SAMPLE	G000478585	0.195663
SAMPLE	G001791715	0.194021
SAMPLE	G001790435	0.219568
SAMPLE	G001516665	0.212511
SAMPLE	G000498355	0.208868
SAMPLE	G001582735	0.196571
SAMPLE	G000998865	0.210357
SAMPLE	G000160775	0.185878
SAMPLE	G900106745	0.197385
SAMPLE	G000980835	0.210032
SAMPLE	G000807255	0.207734
SAMPLE	G000576635	0.197756
SAMPLE	G000093085	0.209099
SAMPLE	G001783315	0.221124
SAMPLE	G001769045	0.216601
SAMPLE	G000202835	0.166551
SAMPLE	G000381345	0.211376
SAMPLE	G900109715	0.202188
SAMPLE	G001483845	0.213603
SAMPLE	G000152705	0.177378
SAMPLE	G900070165	0.196827
SAMPLE	G001803365	0.219601
SAMPLE	G000235565	0.225059
SAMPLE	G900113925	0.197361
SAMPLE	G000382385	0.219249
SAMPLE	G001536165	0.206671
SAMPLE	G000711795	0.191773
SAMPLE	G001746425	0.202467
SAMPLE	G900102185	0.200348
SAMPLE	G000634435	0.216375
SAMPLE	G000429465	0.197279
SAMPLE	G000014465	0.183438
SAMPLE	G001780535	0.169362
SAMPLE	G001781175	0.225071
SAMPLE	G001281525	0.188106
SAMPLE	G000434955	0.225122
SAMPLE	G000702425	0.199029
SAMPLE	G001693475	0.207218
SAMPLE	G000716675	0.186644
SAMPLE	G900111615	0.210365
SAMPLE	G001457455	0.200171
SAMPLE	G001189575	0.205507
SAMPLE	G000377705	0.208247
SAMPLE	G000725165	0.19003
SAMPLE	G001654855	0.1983
SAMPLE	G001784555	0.220589
SAMPLE	G001421285	0.161202
SAMPLE	G002007825	0.175087
SAMPLE	G001652465	0.224947
SAMPLE	G001656095	0.206195
SAMPLE	G900078795	0.194875
SAMPLE	G000406925	0.207023
SAMPLE	G001798155	0.215658
SAMPLE	G001005825	0.193443
SAMPLE	G000389965	0.211337
SAMPLE	G000294675	0.176824
SAMPLE	G001869815	0.210026
SAMPLE	G000812685	0.201886
SAMPLE	G000764205	0.204061
SAMPLE	G900095305	0.21464
SAMPLE	G000488255	0.199911
SAMPLE	G000190415	0.20282
SAMPLE	G000829515	0.177129
SAMPLE	G001787615	0.204847
SAMPLE	G001772535	0.198826
SAMPLE	G001494635	0.0884372
SAMPLE	G001821035	0.225073
SAMPLE	G001418575	0.144233
SAMPLE	G001576965	0.214094
SAMPLE	G900109475	0.205644
SAMPLE	G001704955	0.20981
SAMPLE	G000981545	0.162393
SAMPLE	G000970735	0.196774
SAMPLE	G001782645	0.225137
SAMPLE	G000153345	0.186183
SAMPLE	G001897605	0.212427
SAMPLE	G000828915	0.225067
SAMPLE	G000730285	0.219639
SAMPLE	G001542405	0.178265
SAMPLE	G000006865	0.196464
SAMPLE	G001821245	0.224935
SAMPLE	G001927245	0.187907
SAMPLE	G001316265	0.212338
SAMPLE	G001627075	0.208829
SAMPLE	G000698145	0.200176
SAMPLE	G000007765	0.207784
SAMPLE	G001437435	0.194029
SAMPLE	G000991735	0.219793
SAMPLE	G001574705	0.00239662
SAMPLE	G000378005	0.216882
SAMPLE	G001606025	0.192755
SAMPLE	G900089575	0.209189
SAMPLE	G000426725	0.203177
SAMPLE	G001273775	0.179603
SAMPLE	G000751295	0.195408
SAMPLE	G000009025	0.132164
SAMPLE	G900111605	0.207546
SAMPLE	G000431355	0.219846
SAMPLE	G900114995	0.192906
SAMPLE	G001707835	0.197052
SAMPLE	G001439215	0.210268
SAMPLE	G000252765	0.210817
SAMPLE	G000612445	0.184095
SAMPLE	G000152865	0.213693
SAMPLE	G000425205	0.191919
SAMPLE	G001180145	0.200815
SAMPLE	G000813845	0.198942
SAMPLE	G000315445	0.169583
SAMPLE	G000992765	0.213979
SAMPLE	G000409815	0.204535
SAMPLE	G001713375	0.203433
SAMPLE	G000298075	0.199404
SAMPLE	G000621465	0.204052
SAMPLE	G000762875	0.217353
SAMPLE	G001435065	0.192383
SAMPLE	G001784615	0.209818
SAMPLE	G000493945	0.220249
SAMPLE	G001244495	0.194244
SAMPLE	G000017685	0.20353
SAMPLE	G000269805	0.211347
SAMPLE	G001552935	0.168063
SAMPLE	G001420285	0.213142
SAMPLE	G000019205	0.212296
SAMPLE	G000833025	0.209926
SAMPLE	G900103145	0.186075
SAMPLE	G000179395	0.195793
SAMPLE	G000428465	0.164616
SAMPLE	G001916165	0.193108
SAMPLE	G000426885	0.194396
SAMPLE	G000741845	0.193991
SAMPLE	G001787915	0.217614
SAMPLE	G000300695	0.191345
SAMPLE	G000384135	0.197662
SAMPLE	G001456935	0.163489
SAMPLE	G001773295	0.223156
SAMPLE	G001789125	0.225137
SAMPLE	G001898235	0.192049
SAMPLE	G000012385	0.206864
SAMPLE	G000691805	0.189795
SAMPLE	G001514435	0.195033
SAMPLE	G001295935	0.21886
SAMPLE	G001047215	0.19296
SAMPLE	G000432615	0.188405
SAMPLE	G001189495	0.194846
SAMPLE	G001802215	0.225195
SAMPLE	G000265505	0.202935
SAMPLE	G900116865	0.209104
SAMPLE	G000953395	0.206744
SAMPLE	G900116035	0.199368
SAMPLE	G001785545	0.213905
SAMPLE	G001771505	0.216009
SAMPLE	G000814025	0.157322
SAMPLE	G001188915	0.201792
SAMPLE	G001467645	0.182317
SAMPLE	G001002205	0.211698
SAMPLE	G001314555	0.197827
SAMPLE	G001705695	0.173581
SAMPLE	G000702245	0.19843
SAMPLE	G001560725	0.224929
SAMPLE	G001663375	0.225152
SAMPLE	G000312545	0.196972
SAMPLE	G001869885	0.210036
SAMPLE	G000403355	0.185628
SAMPLE	G000293805	0.166033
SAMPLE	G001274895	0.211997
SAMPLE	G000007305	0.222373
SAMPLE	G900099745	0.207747
SAMPLE	G000425905	0.205065
SAMPLE	G900114545	0.214378
SAMPLE	G002003665	0.20371
SAMPLE	G900114835	0.214719
SAMPLE	G000423145	0.202668
SAMPLE	G001803885	0.224363
SAMPLE	G000504285	0.211543
SAMPLE	G000411355	0.184565
SAMPLE	G000523535	0.212045
SAMPLE	G000981705	0.205751
SAMPLE	G000480315	0.187206
SAMPLE	G000170915	0.182949
SAMPLE	G000317065	0.193959
SAMPLE	G000615845	0.191875
SAMPLE	G001868205	0.210005
SAMPLE	G000428165	0.202469
SAMPLE	G001306995	0.139228
SAMPLE	G000959725	0.149751
SAMPLE	G000763765	0.217494
SAMPLE	G001656255	0.202383
SAMPLE	G000177635	0.16422
SAMPLE	G000325085	0.211172
SAMPLE	G001798185	0.186086
SAMPLE	G000989975	0.215237
SAMPLE	G000426325	0.209895
SAMPLE	G001417955	0.220044
SAMPLE	G001917235	0.191438
SAMPLE	G001776195	0.225147
SAMPLE	G001460955	0.153675
SAMPLE	G000317935	0.138807
SAMPLE	G001064665	0.198711
SAMPLE	G002019865	0.20643
SAMPLE	G001865835	0.210639
SAMPLE	G000304395	0.173725
SAMPLE	G000830175	0.202769
SAMPLE	G001868345	0.21001
SAMPLE	G000425625	0.174548
SAMPLE	G000746025	0.190886
SAMPLE	G001790035	0.206932
SAMPLE	G001829935	0.199219
SAMPLE	G001975465	0.215993
SAMPLE	G001642875	0.213951
SAMPLE	G000961955	0.169309
SAMPLE	G001773015	0.210758
SAMPLE	G000405945	0.13789
SAMPLE	G001795365	0.225001
SAMPLE	G001564135	0.225242
SAMPLE	G001683915	0.205258
SAMPLE	G001776145	0.21659
SAMPLE	G000522445	0.211164
SAMPLE	G900115735	0.203627
SAMPLE	G900143255	0.185501
SAMPLE	G000010085	0.166488
SAMPLE	G000422285	0.184681
SAMPLE	G000826525	0.194883
SAMPLE	G000724145	0.220283
SAMPLE	G000765215	0.209167
SAMPLE	G001021065	0.217421
SAMPLE	G001785035	0.224904
SAMPLE	G000995965	0.22264
SAMPLE	G000737325	0.118961
SAMPLE	G000263195	0.210832
SAMPLE	G001769625	0.214781
SAMPLE	G000763385	0.172502
SAMPLE	G000333235	0.197656
SAMPLE	G001768205	0.208561
SAMPLE	G000393955	0.215645
SAMPLE	G000761155	0.166605
SAMPLE	G000743715	0.140332
SAMPLE	G001286805	0.206449
SAMPLE	G000967425	0.181712
SAMPLE	G000385135	0.211345
SAMPLE	G001791655	0.225423
SAMPLE	G001642915	0.21921
SAMPLE	G001507915	0.185086
SAMPLE	G000464455	0.211926
SAMPLE	G900100655	0.179586
SAMPLE	G000372845	0.225081
SAMPLE	G000712635	0.18556
SAMPLE	G000175255	0.199292
SAMPLE	G000832305	0.144242
SAMPLE	G900112615	0.210888
SAMPLE	G000170715	0.192922
SAMPLE	G002011745	0.198702
SAMPLE	G000425005	0.21086
SAMPLE	G000786205	0.215702
SAMPLE	G000733585	0.200527
SAMPLE	G000155595	0.188304
SAMPLE	G001822305	0.211728
SAMPLE	G001932955	0.196653
SAMPLE	G001318405	0.197775
SAMPLE	G000169395	0.196391
SAMPLE	G000173355	0.203002
SAMPLE	G001601575	0.208439
SAMPLE	G900103215	0.209682
SAMPLE	G001626755	0.193611
SAMPLE	G000025305	0.19396
SAMPLE	G000411555	0.170836
SAMPLE	G000938285	0.176799
SAMPLE	G000349585	0.198874
SAMPLE	G000432215	0.183879
SAMPLE	G000990005	0.2097
SAMPLE	G001816555	0.225357
SAMPLE	G900101525	0.221726
SAMPLE	G001820775	0.209529
SAMPLE	G001876175	0.197723
SAMPLE	G000225345	0.190773
SAMPLE	G000072485	0.174449
SAMPLE	G001536025	0.19981
SAMPLE	G000315055	0.197187
SAMPLE	G000420545	0.169932
SAMPLE	G000753945	0.19617
SAMPLE	G001630765	0.225026
SAMPLE	G000751075	0.200109
SAMPLE	G900142235	0.214632
SAMPLE	G000229545	0.19125
SAMPLE	G000385295	0.220459
SAMPLE	G000454725	0.192709
SAMPLE	G001003245	0.212028
SAMPLE	G000597805	0.211884
SAMPLE	G000828895	0.22519
SAMPLE	G000312365	0.218016
SAMPLE	G900142915	0.207295
SAMPLE	G000526515	0.211431
SAMPLE	G001002795	0.225372
SAMPLE	G000009965	0.200513
SAMPLE	G000431875	0.19943
SAMPLE	G001586755	0.208344
SAMPLE	G000745425	0.199317
SAMPLE	G000015045	0.165668
SAMPLE	G000425365	0.211422
SAMPLE	G001794635	0.209315
SAMPLE	G000436215	0.204467
SAMPLE	G001543265	0.195776
SAMPLE	G001613505	0.193508
SAMPLE	G000614355	0.223098
SAMPLE	G001687335	0.182455
SAMPLE	G000767165	0.211417
SAMPLE	G001513545	0.205791
SAMPLE	G000317655	0.209895
SAMPLE	G000508165	0.204845
SAMPLE	G900115435	0.219016
SAMPLE	G001486165	0.168308
SAMPLE	G000802305	0.217035
SAMPLE	G000022425	0.21952
SAMPLE	G000622365	0.169001
SAMPLE	G001873405	0.220999
SAMPLE	G001535965	0.196385
SAMPLE	G000284375	0.187617
SAMPLE	G001070095	0.19861
SAMPLE	G000702585	0.142273
SAMPLE	G001482385	0.194633
SAMPLE	G000520795	0.184206
SAMPLE	G000803625	0.194108
SAMPLE	G001778055	0.225053
SAMPLE	G000017585	0.20973
SAMPLE	G001824295	0.212151
SAMPLE	G000196435	0.207148
SAMPLE	G000467065	0.175028
SAMPLE	G000613805	0.201925
SAMPLE	G001534725	0.197773
SAMPLE	G000250735	0.206694
SAMPLE	G000429825	0.181673
SAMPLE	G002010075	0.217575
SAMPLE	G000430485	0.219563
SAMPLE	G002006815	0.186426
SAMPLE	G000265075	0.215415
SAMPLE	G001816475	0.224943
SAMPLE	G000384395	0.202241
SAMPLE	G001781935	0.180624
SAMPLE	G000020005	0.198232
SAMPLE	G000153845	0.00263472
SAMPLE	G000219275	0.202013
SAMPLE	G000404705	0.225428
SAMPLE	G001000955	0.225065
SAMPLE	G000379925	0.193252
SAMPLE	G000245195	0.219556
SAMPLE	G001818495	0.205395
SAMPLE	G001512435	0.208737
SAMPLE	G000383735	0.195383
SAMPLE	G001005305	0.213275
SAMPLE	G000158215	0.21673
SAMPLE	G001918395	0.149272
SAMPLE	G900142125	0.203041
SAMPLE	G000174415	0.199228
SAMPLE	G000444565	0.172859
SAMPLE	G001708485	0.16758
SAMPLE	G001562845	0.185547
SAMPLE	G000526415	0.17472
SAMPLE	G001729285	0.217293
SAMPLE	G001801885	0.214161
SAMPLE	G000436135	0.219989
SAMPLE	G001626675	0.201552
SAMPLE	G000341755	0.207816
SAMPLE	G001786355	0.225242
SAMPLE	G000435655	0.223451
SAMPLE	G000407165	0.194368
SAMPLE	G000753795	0.203878
SAMPLE	G001517865	0.213693
SAMPLE	G001818085	0.22521
SAMPLE	G001438925	0.189247
SAMPLE	G001418035	0.155056
SAMPLE	G000252485	0.225688
SAMPLE	G001577775	0.204258
SAMPLE	G000972805	0.190142
SAMPLE	G000212375	0.211621
SAMPLE	G001303045	0.194069
SAMPLE	G000331025	0.184313
SAMPLE	G000282775	0.186668
SAMPLE	G001685165	0.209021
SAMPLE	G001769505	0.213083
SAMPLE	G001776535	0.225175
SAMPLE	G000688835	0.190563
SAMPLE	G001725215	0.211651
SAMPLE	G001438385	0.188324
SAMPLE	G000469345	0.192336
SAMPLE	G000257395	0.200587
SAMPLE	G001439355	0.212403
SAMPLE	G000614585	0.217011
SAMPLE	G000212695	0.211386
SAMPLE	G000705555	0.18236
SAMPLE	G001748385	0.217661
SAMPLE	G000723565	0.169483
SAMPLE	G000155775	0.194449
SAMPLE	G000999255	0.212405
SAMPLE	G001560305	0.225171
SAMPLE	G000685235	0.178208
SAMPLE	G000203855	0.20075
SAMPLE	G000415005	0.191019
SAMPLE	G000196535	0.188846
SAMPLE	G000428845	0.220823
SAMPLE	G000758965	0.159143
SAMPLE	G000190635	0.210839
SAMPLE	G000335475	0.133703
SAMPLE	G000756795	0.186188
SAMPLE	G001424525	0.161769
SAMPLE	G000162755	0.201584
SAMPLE	G000526495	0.193163
SAMPLE	G002005305	0.194898
SAMPLE	G001868545	0.210033
SAMPLE	G000007005	0.223167
SAMPLE	G000161775	0.189509
SAMPLE	G001429255	0.211339
SAMPLE	G001793975	0.22503
SAMPLE	G000403135	0.216936
SAMPLE	G000007785	0.195047
SAMPLE	G000155635	0.147616
SAMPLE	G001438015	0.200608
SAMPLE	G000018365	0.170383
SAMPLE	G000620425	0.18754
SAMPLE	G000092905	0.163914
SAMPLE	G001307545	0.217638
SAMPLE	G000327285	0.170919
SAMPLE	G002020875	0.193128
SAMPLE	G002005365	0.203924
SAMPLE	G001803715	0.194993
SAMPLE	G000743705	0.171691
SAMPLE	G001438655	0.197728
SAMPLE	G000309865	0.225016
SAMPLE	G001509335	0.219567
SAMPLE	G000583135	0.196855
SAMPLE	G001790365	0.216859
SAMPLE	G000426805	0.194961
SAMPLE	G000431955	0.150081
SAMPLE	G000828815	0.202784
SAMPLE	G001457795	0.187292
SAMPLE	G001771345	0.186462
SAMPLE	G001567175	0.21663
SAMPLE	G001899145	0.191547
SAMPLE	G001932775	0.19673
SAMPLE	G001783215	0.225408
SAMPLE	G001512695	0.213317
SAMPLE	G000971295	0.20661
SAMPLE	G000023145	0.225036
SAMPLE	G001427985	0.177664
SAMPLE	G900119185	0.205323
SAMPLE	G900109425	0.185734
SAMPLE	G000155495	0.210528
SAMPLE	G001902585	0.205172
SAMPLE	G001773315	0.22534
SAMPLE	G001829155	0.221028
SAMPLE	G001412425	0.215384
SAMPLE	G001823825	0.208315
SAMPLE	G000428905	0.202192
SAMPLE	G000433995	0.215812
SAMPLE	G000941055	0.207801
SAMPLE	G001870665	0.188615
SAMPLE	G001916635	0.224976
SAMPLE	G000518745	0.193824
SAMPLE	G000687955	0.21939
SAMPLE	G001003605	0.225062
SAMPLE	G000786005	0.211889
SAMPLE	G000332075	0.213158
SAMPLE	G000166275	0.204425
SAMPLE	G000472285	0.138471
