#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290831//.mixture_reads-ICqsKl.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000428565	0.208305
SAMPLE	G000619885	0.1956
SAMPLE	G000063525	0.205173
SAMPLE	G001598915	0.180333
SAMPLE	G001017485	0.220617
SAMPLE	G900061675	0.153352
SAMPLE	G900104675	0.199052
SAMPLE	G001405615	0.216678
SAMPLE	G000328665	0.225171
SAMPLE	G001703975	0.183729
SAMPLE	G000745855	0.202099
SAMPLE	G001829715	0.167112
SAMPLE	G001750685	0.220206
SAMPLE	G001825065	0.212864
SAMPLE	G001889105	0.191807
SAMPLE	G001587475	0.213663
SAMPLE	G001587695	0.225283
SAMPLE	G001424685	0.201306
SAMPLE	G001263755	0.181952
SAMPLE	G001466415	0.22229
SAMPLE	G000177235	0.2242
SAMPLE	G000309945	0.219626
SAMPLE	G001779055	0.225133
SAMPLE	G001918845	0.203935
SAMPLE	G000992125	0.215027
SAMPLE	G001584645	0.21003
SAMPLE	G000429945	0.218539
SAMPLE	G000439105	0.187437
SAMPLE	G000718255	0.171038
SAMPLE	G000411375	0.186558
SAMPLE	G001437635	0.20759
SAMPLE	G001508535	0.225302
SAMPLE	G000463075	0.21996
SAMPLE	G000403035	0.215329
SAMPLE	G001508955	0.225095
SAMPLE	G001653295	0.194345
SAMPLE	G002019735	0.206215
SAMPLE	G000376565	0.111613
SAMPLE	G000966265	0.216185
SAMPLE	G001781355	0.207425
SAMPLE	G001789695	0.199578
SAMPLE	G001685155	0.200578
SAMPLE	G001788195	0.225185
SAMPLE	G000424825	0.147574
SAMPLE	G001475935	0.19721
SAMPLE	G000568815	0.220546
SAMPLE	G000012565	0.183294
SAMPLE	G000703065	0.198651
SAMPLE	G900115855	0.210869
SAMPLE	G001791375	0.201531
SAMPLE	G000989195	0.211589
SAMPLE	G001917065	0.208398
SAMPLE	G000997145	0.219173
SAMPLE	G001830325	0.20714
SAMPLE	G001014615	0.19482
SAMPLE	G000688475	0.173513
SAMPLE	G000429645	0.201317
SAMPLE	G001457815	0.209418
SAMPLE	G000310185	0.200051
SAMPLE	G001697225	0.202675
SAMPLE	G000410815	0.222599
SAMPLE	G001578075	0.22279
SAMPLE	G001777575	0.197316
SAMPLE	G000509225	0.213611
SAMPLE	G000170875	0.201963
SAMPLE	G001603075	0.208248
SAMPLE	G000385055	0.225307
SAMPLE	G000478585	0.20211
SAMPLE	G001791715	0.216137
SAMPLE	G001790435	0.199145
SAMPLE	G001516665	0.218424
SAMPLE	G000998865	0.21295
SAMPLE	G000160775	0.17633
SAMPLE	G001582735	0.20007
SAMPLE	G000498355	0.193901
SAMPLE	G900106745	0.213364
SAMPLE	G000195835	0.186446
SAMPLE	G000980835	0.202211
SAMPLE	G000807255	0.212653
SAMPLE	G000576635	0.196833
SAMPLE	G000093085	0.202938
SAMPLE	G001783315	0.215857
SAMPLE	G000202835	0.201522
SAMPLE	G000381345	0.199015
SAMPLE	G000235565	0.200608
SAMPLE	G000152705	0.170845
SAMPLE	G900109715	0.223263
SAMPLE	G001769045	0.214992
SAMPLE	G001803365	0.218672
SAMPLE	G001483845	0.19919
SAMPLE	G900070165	0.167543
SAMPLE	G001774505	0.21845
SAMPLE	G000511135	0.171587
SAMPLE	G900113925	0.219217
SAMPLE	G000382385	0.204052
SAMPLE	G001536165	0.225225
SAMPLE	G900102185	0.199793
SAMPLE	G001746425	0.132481
SAMPLE	G000711795	0.20768
SAMPLE	G000429465	0.206268
SAMPLE	G000014465	0.211444
SAMPLE	G001780535	0.224783
SAMPLE	G001781175	0.199931
