#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290827//.mixture_reads-HvjYs7.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.211474
SAMPLE	G000619885	0.194572
SAMPLE	G000515275	0.1708
SAMPLE	G001598915	0.183068
SAMPLE	G000428565	0.209326
SAMPLE	G900061675	0.161281
SAMPLE	G900104675	0.193777
SAMPLE	G001591825	0.172233
SAMPLE	G001017485	0.133617
SAMPLE	G000328665	0.22155
SAMPLE	G001703975	0.129721
SAMPLE	G000745855	0.204117
SAMPLE	G001484685	0.220429
SAMPLE	G001829715	0.194901
SAMPLE	G001750685	0.132131
SAMPLE	G001825065	0.211716
SAMPLE	G001889105	0.198242
SAMPLE	G001587475	0.186555
SAMPLE	G001587695	0.224028
SAMPLE	G000191925	0.157728
SAMPLE	G001424685	0.205315
SAMPLE	G001273495	0.180307
SAMPLE	G001263755	0.178701
SAMPLE	G001466415	0.132162
SAMPLE	G001920395	0.199979
SAMPLE	G000018305	0.225074
SAMPLE	G000177235	0.145161
SAMPLE	G000309945	0.167827
SAMPLE	G001779055	0.172316
SAMPLE	G001918845	0.203689
SAMPLE	G001584645	0.14786
SAMPLE	G000992125	0.166991
SAMPLE	G000429945	0.20524
SAMPLE	G000439105	0.164072
SAMPLE	G000718255	0.180558
SAMPLE	G000411375	0.179368
SAMPLE	G001437635	0.207266
SAMPLE	G001508535	0.196239
SAMPLE	G000463075	0.168079
SAMPLE	G000403035	0.124524
SAMPLE	G001508955	0.21865
SAMPLE	G000384935	0.163513
SAMPLE	G001653295	0.162825
SAMPLE	G002019735	0.140954
SAMPLE	G000376565	0.132731
SAMPLE	G000966265	0.218161
SAMPLE	G001781355	0.213883
SAMPLE	G001789695	0.198887
SAMPLE	G001685155	0.175262
SAMPLE	G001788195	0.155596
SAMPLE	G000424825	0.154054
SAMPLE	G001475935	0.201411
SAMPLE	G000568815	0.168611
SAMPLE	G000012565	0.13238
SAMPLE	G000703065	0.183918
SAMPLE	G900115855	0.21901
SAMPLE	G001791375	0.197956
SAMPLE	G000989195	0.173626
SAMPLE	G001804605	0.213769
SAMPLE	G001917065	0.201016
SAMPLE	G001776415	0.198065
SAMPLE	G000997145	0.224166
SAMPLE	G001825445	0.188331
SAMPLE	G001830325	0.190643
SAMPLE	G001014615	0.198441
SAMPLE	G000688475	0.181438
SAMPLE	G000429645	0.203804
SAMPLE	G001457815	0.18416
SAMPLE	G000310185	0.199996
SAMPLE	G001697225	0.201625
SAMPLE	G000410815	0.15254
SAMPLE	G001777575	0.21088
SAMPLE	G001578075	0.17424
SAMPLE	G000509225	0.190713
SAMPLE	G001603075	0.209168
SAMPLE	G000170875	0.198238
SAMPLE	G000385055	0.146995
SAMPLE	G000478585	0.172112
SAMPLE	G001791715	0.192129
SAMPLE	G001790435	0.212898
SAMPLE	G001516665	0.219312
SAMPLE	G000498355	0.14881
SAMPLE	G000160775	0.182585
SAMPLE	G001582735	0.150446
SAMPLE	G000998865	0.180996
SAMPLE	G900106745	0.200296
SAMPLE	G000195835	0.189224
SAMPLE	G000980835	0.132326
SAMPLE	G000807255	0.150356
SAMPLE	G000576635	0.200334
SAMPLE	G000093085	0.178741
SAMPLE	G001783315	0.199462
SAMPLE	G000202835	0.199219
SAMPLE	G000381345	0.20555
SAMPLE	G000235565	0.206686
SAMPLE	G000152705	0.176937
SAMPLE	G900109715	0.173557
SAMPLE	G001483845	0.157011
SAMPLE	G900070165	0.147781
SAMPLE	G001769045	0.215308
SAMPLE	G001803365	0.218289
SAMPLE	G001774505	0.202805
SAMPLE	G000511135	0.179579
SAMPLE	G900113925	0.165176
SAMPLE	G000382385	0.211274
SAMPLE	G001536165	0.142216
SAMPLE	G900102185	0.198443
SAMPLE	G001746425	0.108202
SAMPLE	G000711795	0.207444
SAMPLE	G000429465	0.174993
SAMPLE	G000014465	0.158098
