#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290755//.mixture_reads-WRkcKb.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.224835
SAMPLE	G000619885	0.172106
SAMPLE	G000426445	0.176554
SAMPLE	G001598915	0.168366
SAMPLE	G000515275	0.140464
SAMPLE	G900061675	0.115119
SAMPLE	G900104675	0.147042
SAMPLE	G001405615	0.130765
SAMPLE	G000063525	0.147004
SAMPLE	G000328665	0.213755
SAMPLE	G001703975	0.133938
SAMPLE	G000745855	0.200978
SAMPLE	G001591825	0.113012
SAMPLE	G001017485	0.0990877
SAMPLE	G001829715	0.184668
SAMPLE	G001750685	0.108283
SAMPLE	G001825065	0.213943
SAMPLE	G000485905	0.171962
SAMPLE	G001587475	0.141838
SAMPLE	G001889105	0.17909
SAMPLE	G001587695	0.217044
SAMPLE	G000191925	0.148936
SAMPLE	G001424685	0.196146
SAMPLE	G001273495	0.200472
SAMPLE	G001263755	0.123116
SAMPLE	G001466415	0.150092
SAMPLE	G000018305	0.217157
SAMPLE	G000177235	0.109949
SAMPLE	G001779055	0.180651
SAMPLE	G000309945	0.120051
SAMPLE	G001918845	0.203222
SAMPLE	G000992125	0.155669
SAMPLE	G001584645	0.119251
SAMPLE	G000429945	0.144285
SAMPLE	G000439105	0.107391
SAMPLE	G000718255	0.175389
SAMPLE	G000411375	0.140965
SAMPLE	G001437635	0.186394
SAMPLE	G001508535	0.172027
SAMPLE	G000463075	0.120442
SAMPLE	G000403035	0.12309
SAMPLE	G001508955	0.135066
SAMPLE	G000384935	0.122535
SAMPLE	G001653295	0.092317
SAMPLE	G002019735	0.111919
SAMPLE	G000376565	0.122434
SAMPLE	G000966265	0.209372
SAMPLE	G001781355	0.205244
SAMPLE	G001789695	0.192767
SAMPLE	G001685155	0.130299
SAMPLE	G001788195	0.155181
SAMPLE	G000424825	0.147709
SAMPLE	G001475935	0.192542
SAMPLE	G000568815	0.128921
SAMPLE	G000012565	0.135419
SAMPLE	G000703065	0.142711
SAMPLE	G900115855	0.201299
SAMPLE	G001791375	0.194081
SAMPLE	G000989195	0.149269
SAMPLE	G001804605	0.211762
SAMPLE	G001917065	0.207365
SAMPLE	G001776415	0.189057
SAMPLE	G000997145	0.202395
SAMPLE	G001825445	0.189137
SAMPLE	G001830325	0.118744
SAMPLE	G001014615	0.189544
SAMPLE	G000688475	0.166093
SAMPLE	G000429645	0.201811
SAMPLE	G001457815	0.130358
SAMPLE	G000310185	0.192725
SAMPLE	G001697225	0.192285
SAMPLE	G000410815	0.143917
SAMPLE	G001578075	0.123084
SAMPLE	G001777575	0.16976
SAMPLE	G000509225	0.144697
SAMPLE	G000170875	0.172678
SAMPLE	G001603075	0.199755
SAMPLE	G000385055	0.12347
SAMPLE	G000478585	0.114584
SAMPLE	G001791715	0.195143
SAMPLE	G001790435	0.166206
SAMPLE	G001516665	0.21878
SAMPLE	G000498355	0.113151
SAMPLE	G000160775	0.169572
SAMPLE	G001582735	0.111182
SAMPLE	G000998865	0.183215
SAMPLE	G900106745	0.187944
SAMPLE	G000195835	0.170314
SAMPLE	G000980835	0.0821706
SAMPLE	G000807255	0.109851
SAMPLE	G000576635	0.195676
SAMPLE	G000093085	0.116439
SAMPLE	G001783315	0.163021
SAMPLE	G000202835	0.196597
SAMPLE	G000381345	0.191916
SAMPLE	G000235565	0.212403
SAMPLE	G000152705	0.161292
SAMPLE	G001483845	0.13436
SAMPLE	G900109715	0.10524
SAMPLE	G900070165	0.110709
SAMPLE	G001803365	0.223897
SAMPLE	G001769045	0.212178
SAMPLE	G001774505	0.21434
SAMPLE	G000511135	0.180587
SAMPLE	G900113925	0.135783
SAMPLE	G000382385	0.192024
SAMPLE	G001536165	0.130634
SAMPLE	G900102185	0.15972
SAMPLE	G001746425	0.133776
SAMPLE	G000711795	0.192486
SAMPLE	G000429465	0.152537
SAMPLE	G000634435	0.200947
SAMPLE	G000014465	0.122889
SAMPLE	G001780535	0.197362
SAMPLE	G001781175	0.208039
SAMPLE	G001281525	0.103523
SAMPLE	G000716675	0.131764
SAMPLE	G000434955	0.205404
SAMPLE	G000702425	0.133376
SAMPLE	G001693475	0.123126
SAMPLE	G900111615	0.115465
SAMPLE	G001457455	0.101561
SAMPLE	G000377705	0.192282
SAMPLE	G001189575	0.1143
SAMPLE	G000591035	0.214715
SAMPLE	G000725165	0.112841
SAMPLE	G001654855	0.115239
SAMPLE	G001784555	0.0935872
SAMPLE	G001421285	0.195956
SAMPLE	G002007825	0.150837
SAMPLE	G001652465	0.158024
SAMPLE	G001656095	0.116034
SAMPLE	G900078795	0.172873
SAMPLE	G000406925	0.112207
SAMPLE	G001798155	0.212643
SAMPLE	G001005825	0.183211
SAMPLE	G000389965	0.170819
SAMPLE	G000294675	0.138234
SAMPLE	G001869815	0.144851
SAMPLE	G000812685	0.14792
SAMPLE	G000764205	0.111533
SAMPLE	G900095305	0.107637
SAMPLE	G000829515	0.118803
SAMPLE	G000190415	0.125533
SAMPLE	G000488255	0.124861
SAMPLE	G001787615	0.186701
SAMPLE	G001494635	0.16394
SAMPLE	G001821035	0.186503
SAMPLE	G001418575	0.153153
SAMPLE	G001576965	0.215361
SAMPLE	G900109475	0.184058
