#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290778//.mixture_reads-zj1SMt.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.224502
SAMPLE	G000619885	0.195797
SAMPLE	G000515275	0.176987
SAMPLE	G001598915	0.1845
SAMPLE	G001591825	0.127358
SAMPLE	G900061675	0.147658
SAMPLE	G900104675	0.179235
SAMPLE	G001940655	0.189882
SAMPLE	G000428565	0.21233
SAMPLE	G000328665	0.214124
SAMPLE	G001703975	0.13477
SAMPLE	G000745855	0.20461
SAMPLE	G001405615	0.159724
SAMPLE	G001484685	0.190505
SAMPLE	G001829715	0.21965
SAMPLE	G001750685	0.125821
SAMPLE	G001825065	0.225478
SAMPLE	G001017485	0.115041
SAMPLE	G001889105	0.191528
SAMPLE	G001587475	0.173743
SAMPLE	G001587695	0.21682
SAMPLE	G000191925	0.133203
SAMPLE	G001424685	0.20045
SAMPLE	G001273495	0.168423
SAMPLE	G001263755	0.158235
SAMPLE	G001466415	0.13023
SAMPLE	G001920395	0.199049
SAMPLE	G000018305	0.220406
SAMPLE	G000177235	0.117282
SAMPLE	G000309945	0.148476
SAMPLE	G001779055	0.186433
SAMPLE	G001918845	0.20278
SAMPLE	G001584645	0.132644
SAMPLE	G000992125	0.159089
SAMPLE	G000429945	0.170954
SAMPLE	G000439105	0.127735
SAMPLE	G000718255	0.181534
SAMPLE	G000411375	0.171117
SAMPLE	G001437635	0.164433
SAMPLE	G001508535	0.182619
SAMPLE	G000463075	0.123253
SAMPLE	G000403035	0.126768
SAMPLE	G001508955	0.195072
SAMPLE	G000384935	0.134084
SAMPLE	G001653295	0.123265
SAMPLE	G002019735	0.134279
SAMPLE	G000376565	0.131649
SAMPLE	G000966265	0.208259
SAMPLE	G001781355	0.20827
SAMPLE	G001789695	0.188636
SAMPLE	G001685155	0.155912
SAMPLE	G001788195	0.153698
SAMPLE	G000424825	0.149623
SAMPLE	G001475935	0.200349
SAMPLE	G000568815	0.1449
SAMPLE	G000012565	0.148738
SAMPLE	G000703065	0.1673
SAMPLE	G900115855	0.213133
SAMPLE	G001791375	0.209941
SAMPLE	G000989195	0.157892
SAMPLE	G001804605	0.217045
SAMPLE	G001917065	0.196926
SAMPLE	G001776415	0.175229
SAMPLE	G000997145	0.225053
SAMPLE	G001825445	0.194165
SAMPLE	G001830325	0.191011
SAMPLE	G001014615	0.198985
SAMPLE	G000688475	0.177392
SAMPLE	G000429645	0.206235
SAMPLE	G001457815	0.173836
SAMPLE	G000310185	0.203659
SAMPLE	G001697225	0.203253
SAMPLE	G001777575	0.182323
SAMPLE	G001578075	0.146742
SAMPLE	G000410815	0.159921
SAMPLE	G000509225	0.174605
SAMPLE	G001603075	0.209746
SAMPLE	G000170875	0.197571
SAMPLE	G000385055	0.134184
SAMPLE	G000478585	0.13897
SAMPLE	G001791715	0.207637
SAMPLE	G001790435	0.180736
SAMPLE	G001516665	0.216644
SAMPLE	G000998865	0.190224
SAMPLE	G000160775	0.180086
SAMPLE	G000498355	0.14086
SAMPLE	G001582735	0.14177
SAMPLE	G900106745	0.183885
SAMPLE	G000195835	0.186426
SAMPLE	G000980835	0.0950862
SAMPLE	G000807255	0.122276
SAMPLE	G000576635	0.196752
SAMPLE	G000093085	0.153814
SAMPLE	G001783315	0.151821
SAMPLE	G000202835	0.204365
SAMPLE	G000381345	0.202123
SAMPLE	G000235565	0.213127
SAMPLE	G000152705	0.174911
SAMPLE	G001483845	0.14269
SAMPLE	G900109715	0.112012
SAMPLE	G900070165	0.137608
SAMPLE	G001803365	0.221672
SAMPLE	G001769045	0.211691
SAMPLE	G001774505	0.20658
SAMPLE	G000511135	0.184592
SAMPLE	G900113925	0.162594
SAMPLE	G000382385	0.194534
SAMPLE	G001536165	0.131145
SAMPLE	G000711795	0.20463
SAMPLE	G001746425	0.140214
SAMPLE	G900102185	0.179487
SAMPLE	G000429465	0.159907
SAMPLE	G000014465	0.132561
SAMPLE	G001780535	0.188756
SAMPLE	G001781175	0.214438
SAMPLE	G001281525	0.114189
SAMPLE	G000716675	0.0538496
SAMPLE	G000434955	0.219749
SAMPLE	G000702425	0.14613
SAMPLE	G001693475	0.136244
SAMPLE	G900111615	0.11426
SAMPLE	G001457455	0.135557
SAMPLE	G000377705	0.195654
SAMPLE	G001189575	0.120293
SAMPLE	G000591035	0.214701
SAMPLE	G000725165	0.116786
SAMPLE	G001654855	0.155139
SAMPLE	G001784555	0.106147
SAMPLE	G001421285	0.210915
SAMPLE	G002007825	0.181947
SAMPLE	G001652465	0.175503
SAMPLE	G001656095	0.138298
SAMPLE	G900078795	0.169691
SAMPLE	G000406925	0.125038
