#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290834//.mixture_reads-QjAMfg.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.215239
SAMPLE	G000619885	0.213095
SAMPLE	G001017485	0.22511
SAMPLE	G001598915	0.203451
SAMPLE	G000063525	0.219269
SAMPLE	G900104675	0.216331
SAMPLE	G000328665	0.225215
SAMPLE	G000745855	0.208081
SAMPLE	G001750685	0.214403
SAMPLE	G001889105	0.204117
SAMPLE	G001587475	0.197647
SAMPLE	G001424685	0.209398
SAMPLE	G001263755	0.208637
SAMPLE	G001466415	0.211264
SAMPLE	G000309945	0.18606
SAMPLE	G001918845	0.214536
SAMPLE	G001584645	0.225236
SAMPLE	G000992125	0.17507
SAMPLE	G000429945	0.222706
SAMPLE	G000718255	0.195022
SAMPLE	G000411375	0.20187
SAMPLE	G001437635	0.225144
SAMPLE	G000463075	0.216696
SAMPLE	G001653295	0.203366
SAMPLE	G001789695	0.183273
SAMPLE	G000376565	0.16226
SAMPLE	G000966265	0.213871
SAMPLE	G001781355	0.214115
SAMPLE	G002019735	0.169987
SAMPLE	G001685155	0.216058
SAMPLE	G000424825	0.17838
SAMPLE	G001475935	0.205524
SAMPLE	G000568815	0.225245
SAMPLE	G000703065	0.215494
SAMPLE	G900115855	0.215878
SAMPLE	G001791375	0.225356
SAMPLE	G000997145	0.225273
SAMPLE	G001830325	0.225147
SAMPLE	G001014615	0.20515
SAMPLE	G000688475	0.201703
SAMPLE	G000429645	0.209447
SAMPLE	G001457815	0.206628
SAMPLE	G000310185	0.198167
SAMPLE	G001697225	0.206552
SAMPLE	G001777575	0.225183
SAMPLE	G001578075	0.151194
SAMPLE	G000410815	0.218642
SAMPLE	G000509225	0.222526
SAMPLE	G000170875	0.205611
SAMPLE	G001603075	0.212167
SAMPLE	G000385055	0.225152
SAMPLE	G000478585	0.211727
SAMPLE	G001791715	0.211407
SAMPLE	G001790435	0.225134
SAMPLE	G001516665	0.216855
SAMPLE	G000160775	0.206325
SAMPLE	G900106745	0.217922
SAMPLE	G000195835	0.207062
SAMPLE	G000980835	0.225111
SAMPLE	G000576635	0.206553
SAMPLE	G000093085	0.19625
SAMPLE	G001783315	0.225238
SAMPLE	G000202835	0.209316
SAMPLE	G000381345	0.209941
SAMPLE	G000235565	0.217893
SAMPLE	G000152705	0.201757
SAMPLE	G900070165	0.225326
SAMPLE	G001774505	0.215018
SAMPLE	G000511135	0.179343
SAMPLE	G900113925	0.153439
SAMPLE	G000382385	0.215817
SAMPLE	G000711795	0.222635
SAMPLE	G001746425	0.174801
SAMPLE	G900102185	0.212386
SAMPLE	G000429465	0.190014
SAMPLE	G001781175	0.225119
SAMPLE	G001281525	0.225225
SAMPLE	G000716675	0.173692
SAMPLE	G000434955	0.218189
SAMPLE	G001457455	0.202002
SAMPLE	G000377705	0.207473
SAMPLE	G001189575	0.225049
SAMPLE	G000591035	0.218797
SAMPLE	G001421285	0.216943
SAMPLE	G002007825	0.221556
SAMPLE	G001652465	0.206203
SAMPLE	G001656095	0.225212
SAMPLE	G900078795	0.224005
SAMPLE	G001798155	0.211565
SAMPLE	G000389965	0.190967
SAMPLE	G001005825	0.205687
SAMPLE	G000294675	0.215935
SAMPLE	G000812685	0.211532
SAMPLE	G000764205	0.208651
SAMPLE	G900095305	0.215787
SAMPLE	G001787615	0.21103
SAMPLE	G000829515	0.178092
SAMPLE	G000488255	0.205221
SAMPLE	G000190415	0.2251
SAMPLE	G001494635	0.215925
SAMPLE	G001418575	0.17312
SAMPLE	G001576965	0.213545
SAMPLE	G900109475	0.209669
SAMPLE	G000981545	0.206908
SAMPLE	G001782645	0.22526
SAMPLE	G000153345	0.223525
SAMPLE	G000828915	0.197636
SAMPLE	G001469005	0.19921
SAMPLE	G000730285	0.219741
SAMPLE	G001542405	0.20435
SAMPLE	G001822415	0.225109
SAMPLE	G001821245	0.21427
SAMPLE	G001927245	0.208872
SAMPLE	G000698145	0.223598
SAMPLE	G000378005	0.225072
SAMPLE	G000751295	0.20781
SAMPLE	G000426725	0.222825
SAMPLE	G000009025	0.22508
SAMPLE	G001273775	0.216453
SAMPLE	G001606025	0.154967
SAMPLE	G900111605	0.225102
SAMPLE	G000431355	0.216544
SAMPLE	G900114995	0.22067
SAMPLE	G001707835	0.213947
SAMPLE	G000813845	0.200178
SAMPLE	G000152865	0.21719
SAMPLE	G000425205	0.225156
SAMPLE	G000315445	0.216686
SAMPLE	G000409815	0.225179
SAMPLE	G000992765	0.225258
SAMPLE	G001713375	0.208225
SAMPLE	G000298075	0.225346
SAMPLE	G000007865	0.202598
SAMPLE	G000762875	0.225288
SAMPLE	G000269805	0.207731
SAMPLE	G001244495	0.216463
SAMPLE	G001552935	0.199053
SAMPLE	G900103145	0.215939
SAMPLE	G000179395	0.20335
SAMPLE	G000428465	0.208176
SAMPLE	G001802215	0.216696
SAMPLE	G000472905	0.220605
SAMPLE	G001456935	0.210521
SAMPLE	G001789125	0.198631
SAMPLE	G000741705	0.20714
SAMPLE	G001898235	0.225187
SAMPLE	G001295935	0.21601
SAMPLE	G001047215	0.204553
SAMPLE	G000432615	0.210946
SAMPLE	G900116035	0.213884
SAMPLE	G000814025	0.212126
SAMPLE	G000214155	0.203099
SAMPLE	G001467645	0.222086
SAMPLE	G001314555	0.211542
SAMPLE	G001705695	0.216126
SAMPLE	G000702245	0.225194
SAMPLE	G001663375	0.225164
SAMPLE	G000403355	0.218897
SAMPLE	G001274895	0.192426
SAMPLE	G000293805	0.205496
SAMPLE	G000007305	0.225069
SAMPLE	G900099745	0.208534
SAMPLE	G900114835	0.225156
SAMPLE	G002003665	0.219593
