#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290819//.mixture_reads-3MEPwC.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G001790825	0.207133
SAMPLE	G000264455	0.202303
SAMPLE	G001004965	0.221728
SAMPLE	G000744895	0.204286
SAMPLE	G000012605	0.22171
SAMPLE	G000231445	0.208812
SAMPLE	G000236145	0.217027
SAMPLE	G000237805	0.202915
SAMPLE	G001484965	0.176902
SAMPLE	G000513475	0.211734
SAMPLE	G000832085	0.193549
SAMPLE	G001772415	0.195988
SAMPLE	G000948185	0.188035
SAMPLE	G000427965	0.222311
SAMPLE	G001918315	0.225131
SAMPLE	G001657315	0.208259
SAMPLE	G000525655	0.183571
SAMPLE	G900142785	0.210213
SAMPLE	G900101815	0.220371
SAMPLE	G001818625	0.205834
SAMPLE	G000011225	0.200897
SAMPLE	G001012745	0.22286
SAMPLE	G000701965	0.217693
SAMPLE	G000191145	0.210671
SAMPLE	G001549985	0.209549
SAMPLE	G900114305	0.220533
SAMPLE	G000376885	0.206486
SAMPLE	G000270445	0.225169
SAMPLE	G000378925	0.212435
SAMPLE	G000565175	0.225592
SAMPLE	G001830045	0.211696
SAMPLE	G000429425	0.202541
SAMPLE	G000724485	0.224001
SAMPLE	G001793755	0.21634
SAMPLE	G000750515	0.222065
SAMPLE	G001823165	0.224924
SAMPLE	G000230895	0.185159
SAMPLE	G001003805	0.225077
SAMPLE	G001008755	0.218403
SAMPLE	G000286335	0.211613
SAMPLE	G900102515	0.225181
SAMPLE	G000160555	0.196822
SAMPLE	G000154285	0.219675
SAMPLE	G001458535	0.195891
SAMPLE	G001898405	0.21071
SAMPLE	G000189535	0.184864
SAMPLE	G001942005	0.194216
SAMPLE	G001001055	0.20537
SAMPLE	G001643775	0.20065
SAMPLE	G001050235	0.201534
SAMPLE	G000183545	0.202297
SAMPLE	G000447675	0.225199
SAMPLE	G900129075	0.197337
SAMPLE	G900142245	0.210644
SAMPLE	G000995155	0.225298
SAMPLE	G001939485	0.219543
SAMPLE	G000315485	0.203906
SAMPLE	G000372065	0.220386
SAMPLE	G000821265	0.211409
SAMPLE	G900061725	0.190719
SAMPLE	G001625425	0.129641
SAMPLE	G001308005	0.208431
SAMPLE	G001720165	0.214264
SAMPLE	G900142675	0.196912
SAMPLE	G000217715	0.207551
SAMPLE	G000179055	0.200028
SAMPLE	G000242435	0.210721
SAMPLE	G000189575	0.224967
SAMPLE	G000253295	0.199325
SAMPLE	G001917705	0.201839
SAMPLE	G001952065	0.218422
SAMPLE	G001436315	0.216242
SAMPLE	G900107535	0.21242
SAMPLE	G001021555	0.198716
SAMPLE	G001746835	0.199452
SAMPLE	G000008165	0.217618
SAMPLE	G000485775	0.207504
SAMPLE	G000144735	0.186492
SAMPLE	G000735695	0.214869
SAMPLE	G000144935	0.198756
SAMPLE	G001483865	0.204905
SAMPLE	G900116105	0.207481
SAMPLE	G000152265	0.225184
SAMPLE	G000991965	0.200447
SAMPLE	G001889405	0.201215
SAMPLE	G900102835	0.181993
SAMPLE	G001782415	0.225309
SAMPLE	G001642655	0.178341
SAMPLE	G001969465	0.198776
SAMPLE	G001779615	0.197902
SAMPLE	G900115065	0.201487
SAMPLE	G001679005	0.207353
SAMPLE	G000311905	0.19896
SAMPLE	G001516045	0.193556
SAMPLE	G000585155	0.211679
SAMPLE	G001785465	0.210156
SAMPLE	G001434815	0.204233
SAMPLE	G000429965	0.206289
SAMPLE	G900063805	0.169545
SAMPLE	G001611675	0.195108
SAMPLE	G000464595	0.200959
SAMPLE	G001886395	0.211531
SAMPLE	G000154445	0.208472
SAMPLE	G001784045	0.225348
SAMPLE	G000388115	0.203852
SAMPLE	G000238255	0.223415
SAMPLE	G000294775	0.204919
SAMPLE	G000300045	0.211946
SAMPLE	G000612125	0.1978
SAMPLE	G001950395	0.199377
SAMPLE	G001508935	0.218129
SAMPLE	G900112985	0.215144
SAMPLE	G000298495	0.225116
SAMPLE	G000568715	0.211685
SAMPLE	G000007525	0.184337
SAMPLE	G001791885	0.195155
SAMPLE	G001869735	0.2196
SAMPLE	G000372125	0.22558
SAMPLE	G000435955	0.212058
SAMPLE	G000993875	0.225104
SAMPLE	G000013745	0.197281
SAMPLE	G000383875	0.208923
SAMPLE	G900111295	0.194994
SAMPLE	G000336755	0.208629
SAMPLE	G001544015	0.206694
SAMPLE	G000701305	0.204907
SAMPLE	G000156275	0.106487
SAMPLE	G000281085	0.192287
SAMPLE	G000381365	0.191963
SAMPLE	G900061645	0.171974
SAMPLE	G000485495	0.209641
SAMPLE	G000829555	0.213587
SAMPLE	G001918455	0.201487
SAMPLE	G000011385	0.20175
SAMPLE	G000967805	0.211783
SAMPLE	G000510425	0.194304
SAMPLE	G001005145	0.184939
SAMPLE	G000337215	0.212047
SAMPLE	G001789085	0.207535
SAMPLE	G000511775	0.205695
SAMPLE	G001481715	0.195916
SAMPLE	G000614105	0.189675
SAMPLE	G001884305	0.21201
SAMPLE	G000058485	0.192163
SAMPLE	G000430505	0.222111
SAMPLE	G000307285	0.199334
SAMPLE	G000435075	0.20996
SAMPLE	G001601815	0.218463
SAMPLE	G000754095	0.201552
SAMPLE	G000310145	0.193878
SAMPLE	G000733925	0.201639
SAMPLE	G001673105	0.181037
SAMPLE	G001280505	0.139854
SAMPLE	G000426485	0.195902
SAMPLE	G002011735	0.218141
SAMPLE	G000444605	0.181173
SAMPLE	G000023885	0.197528
SAMPLE	G000559025	0.20205
SAMPLE	G000024265	0.202343
SAMPLE	G000950575	0.191163
SAMPLE	G000816495	0.209518
SAMPLE	G001796475	0.210795
SAMPLE	G000471045	0.179264
SAMPLE	G001002205	0.225107
SAMPLE	G001517185	0.218189
SAMPLE	G000318135	0.197085
SAMPLE	G001656125	0.199244
SAMPLE	G001785035	0.201598
SAMPLE	G900129785	0.207298
SAMPLE	G001571405	0.215915
SAMPLE	G001437355	0.225172
SAMPLE	G001854655	0.188738
SAMPLE	G001244545	0.212925
SAMPLE	G001552295	0.202734
SAMPLE	G001945525	0.221565
SAMPLE	G000257745	0.187713
SAMPLE	G000179555	0.202693
SAMPLE	G001594015	0.194803
SAMPLE	G001464165	0.211959
SAMPLE	G000145295	0.222611
SAMPLE	G001932225	0.129808
SAMPLE	G001693295	0.214062
SAMPLE	G002020995	0.203142
SAMPLE	G000321165	0.197931
SAMPLE	G001063475	0.204499
SAMPLE	G000379805	0.222533
SAMPLE	G001046955	0.198985
SAMPLE	G001508895	0.0833606
SAMPLE	G000020965	0.198325
SAMPLE	G001773145	0.21134
SAMPLE	G000164865	0.202194
SAMPLE	G000155595	0.221524
SAMPLE	G001277995	0.197555
SAMPLE	G900047545	0.210044
SAMPLE	G000746875	0.204997
SAMPLE	G000433875	0.18989
