#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290905//.mixture_reads-wiIq11.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G001940655	0.191623
SAMPLE	G000619885	0.149369
SAMPLE	G000485905	0.133962
SAMPLE	G001598915	0.147776
SAMPLE	G000063525	0.151593
SAMPLE	G900061675	0.162746
SAMPLE	G900104675	0.151028
SAMPLE	G000428565	0.21123
SAMPLE	G000515275	0.167609
SAMPLE	G000328665	0.185443
SAMPLE	G001703975	0.157399
SAMPLE	G000745855	0.133999
SAMPLE	G000761095	0.199215
SAMPLE	G001591825	0.167061
SAMPLE	G001829715	0.190798
SAMPLE	G001750685	0.17787
SAMPLE	G001825065	0.213384
SAMPLE	G001587475	0.163251
SAMPLE	G001889105	0.112678
SAMPLE	G001587695	0.209877
SAMPLE	G001273495	0.212298
SAMPLE	G001424685	0.131339
SAMPLE	G000191925	0.180441
SAMPLE	G001263755	0.140675
SAMPLE	G001466415	0.180342
SAMPLE	G001920395	0.221499
SAMPLE	G000018305	0.194394
SAMPLE	G000177235	0.180809
SAMPLE	G000309945	0.175588
SAMPLE	G001779055	0.219504
SAMPLE	G001584645	0.157374
SAMPLE	G000992125	0.202514
SAMPLE	G001918845	0.220661
SAMPLE	G000429945	0.184803
SAMPLE	G000439105	0.207047
SAMPLE	G000718255	0.1514
SAMPLE	G000411375	0.142763
SAMPLE	G001437635	0.21373
SAMPLE	G001508535	0.157138
SAMPLE	G000463075	0.158913
SAMPLE	G000403035	0.155905
SAMPLE	G001508955	0.217475
SAMPLE	G000384935	0.168567
SAMPLE	G001653295	0.151425
SAMPLE	G002019735	0.173533
SAMPLE	G000376565	0.154021
SAMPLE	G001789695	0.209311
SAMPLE	G001781355	0.20999
SAMPLE	G000966265	0.19744
SAMPLE	G001685155	0.147428
SAMPLE	G001788195	0.21347
SAMPLE	G000424825	0.169765
SAMPLE	G001475935	0.127222
SAMPLE	G000568815	0.175498
SAMPLE	G000012565	0.195861
SAMPLE	G000703065	0.135013
SAMPLE	G900115855	0.200272
SAMPLE	G000989195	0.191114
SAMPLE	G001791375	0.224315
SAMPLE	G001804605	0.22212
SAMPLE	G001917065	0.210781
SAMPLE	G001776415	0.219152
SAMPLE	G000997145	0.21842
SAMPLE	G001825445	0.212857
SAMPLE	G001830325	0.19399
SAMPLE	G001014615	0.129906
SAMPLE	G000688475	0.146846
SAMPLE	G001457815	0.143625
SAMPLE	G000429645	0.141971
SAMPLE	G000310185	0.125219
SAMPLE	G001697225	0.122714
SAMPLE	G000410815	0.169654
SAMPLE	G001578075	0.178501
SAMPLE	G001777575	0.162897
SAMPLE	G000509225	0.14713
SAMPLE	G000170875	0.130215
SAMPLE	G001603075	0.149388
SAMPLE	G000385055	0.168242
SAMPLE	G000478585	0.167719
