#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290734//.mixture_reads-IhkA1F.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G001446935	0.185644
SAMPLE	G002005305	0.140552
SAMPLE	G000234825	0.129113
SAMPLE	G900107335	0.152684
SAMPLE	G001786805	0.218843
SAMPLE	G000997615	0.213362
SAMPLE	G000243215	0.147502
SAMPLE	G000979745	0.205251
SAMPLE	G000424265	0.129339
SAMPLE	G000496175	0.217136
SAMPLE	G001772355	0.144538
SAMPLE	G000013345	0.173092
SAMPLE	G001915895	0.187268
SAMPLE	G001803715	0.216061
SAMPLE	G000521505	0.170859
SAMPLE	G000744935	0.119903
SAMPLE	G000193435	0.124408
SAMPLE	G000332175	0.139206
SAMPLE	G001028645	0.127657
SAMPLE	G900107025	0.185877
SAMPLE	G000016745	0.166722
SAMPLE	G000155895	0.151054
SAMPLE	G000495535	0.154252
SAMPLE	G000431955	0.209511
SAMPLE	G000426805	0.173834
SAMPLE	G001797585	0.148545
SAMPLE	G000737945	0.136813
SAMPLE	G000423845	0.153135
SAMPLE	G900156885	0.146852
SAMPLE	G000971295	0.185704
SAMPLE	G001777855	0.200006
SAMPLE	G000374545	0.172706
SAMPLE	G000241305	0.171106
SAMPLE	G000518685	0.128227
SAMPLE	G000828125	0.127623
SAMPLE	G000416085	0.216955
SAMPLE	G001423695	0.177801
SAMPLE	G000745185	0.128615
SAMPLE	G000433915	0.212909
SAMPLE	G000770795	0.191536
SAMPLE	G000019785	0.202556
SAMPLE	G000174395	0.11997
SAMPLE	G000011705	0.201709
SAMPLE	G000688115	0.182554
SAMPLE	G000146345	0.130547
SAMPLE	G000233915	0.196447
SAMPLE	G000312705	0.122864
SAMPLE	G000379845	0.209419
SAMPLE	G001800205	0.155901
SAMPLE	G001187845	0.167496
SAMPLE	G000179635	0.129674
SAMPLE	G001402795	0.13644
SAMPLE	G001774075	0.183917
SAMPLE	G000442275	0.189806
SAMPLE	G000691685	0.123871
SAMPLE	G001432305	0.19051
SAMPLE	G000093025	0.151078
SAMPLE	G001746755	0.170225
SAMPLE	G000092045	0.185631
SAMPLE	G001002655	0.1235
SAMPLE	G001310815	0.180635
SAMPLE	G001803565	0.222306
SAMPLE	G000332195	0.133266
SAMPLE	G000374005	0.208185
SAMPLE	G001779345	0.219167
SAMPLE	G000619945	0.139109
SAMPLE	G000068585	0.132436
SAMPLE	G001679345	0.123066
SAMPLE	G000759475	0.167924
SAMPLE	G000314575	0.177959
SAMPLE	G000525955	0.126508
SAMPLE	G000742835	0.14143
SAMPLE	G001783045	0.167992
SAMPLE	G001786885	0.212364
SAMPLE	G000007105	0.14623
SAMPLE	G001801635	0.145245
SAMPLE	G001824155	0.200447
SAMPLE	G900114165	0.147677
SAMPLE	G000367205	0.152919
SAMPLE	G000747345	0.115534
SAMPLE	G001482365	0.183728
SAMPLE	G000934755	0.154014
SAMPLE	G001293525	0.205745
SAMPLE	G001794125	0.196684
SAMPLE	G001729375	0.208268
SAMPLE	G000802385	0.198071
SAMPLE	G001818655	0.209564
SAMPLE	G001404335	0.157116
SAMPLE	G001982025	0.118508
SAMPLE	G000008865	0.161964
SAMPLE	G000332975	0.17523
SAMPLE	G000500935	0.135031
SAMPLE	G001001645	0.157907
SAMPLE	G000294515	0.16836
SAMPLE	G000308395	0.124831
SAMPLE	G000429765	0.196597
SAMPLE	G001940985	0.195268
SAMPLE	G000430585	0.198319
SAMPLE	G000379505	0.185369
SAMPLE	G000830985	0.178735
SAMPLE	G001868525	0.130394
SAMPLE	G001428645	0.205866
SAMPLE	G000384355	0.144777
SAMPLE	G000742095	0.13783
SAMPLE	G001428485	0.179512
SAMPLE	G001820175	0.215091
SAMPLE	G001273385	0.198969
SAMPLE	G001632305	0.14801
SAMPLE	G001775915	0.203569
SAMPLE	G000022005	0.200249
SAMPLE	G000317615	0.121692
SAMPLE	G000518805	0.213733
SAMPLE	G000721265	0.145814
SAMPLE	G001611555	0.139531
SAMPLE	G001785895	0.204667
SAMPLE	G000151105	0.19781
SAMPLE	G001705425	0.193756
SAMPLE	G001786095	0.194797
SAMPLE	G001542775	0.174092
SAMPLE	G001795045	0.216788
SAMPLE	G001275645	0.147316
SAMPLE	G001797335	0.140963
SAMPLE	G001438605	0.147822
SAMPLE	G000996985	0.217327
SAMPLE	G001425835	0.197462
SAMPLE	G001420855	0.116812
SAMPLE	G000278155	0.120599
SAMPLE	G000991325	0.201558
SAMPLE	G001422445	0.20244
SAMPLE	G001795825	0.214304
SAMPLE	G001587695	0.217419
SAMPLE	G000145555	0.164479
SAMPLE	G001820095	0.204045
SAMPLE	G000998845	0.200851
SAMPLE	G000429265	0.182352
SAMPLE	G001469535	0.138667
SAMPLE	G000421585	0.144262
SAMPLE	G000439085	0.199287
SAMPLE	G000312525	0.163044
SAMPLE	G000196235	0.161319
SAMPLE	G001952075	0.138755
SAMPLE	G000410635	0.199454
SAMPLE	G001790785	0.194999
SAMPLE	G000196255	0.118845
SAMPLE	G000381525	0.13988
SAMPLE	G001804975	0.188106
SAMPLE	G001548115	0.129177
SAMPLE	G001000035	0.210457
SAMPLE	G000418365	0.173211
SAMPLE	G000813185	0.198332
SAMPLE	G001714585	0.130766
SAMPLE	G000007025	0.128313
SAMPLE	G000018285	0.139567
SAMPLE	G001002095	0.159979
SAMPLE	G000270265	0.142054
SAMPLE	G000316665	0.130339
SAMPLE	G000436195	0.166906
SAMPLE	G000420045	0.192238
SAMPLE	G000702305	0.197155
SAMPLE	G001792005	0.151573
SAMPLE	G000424365	0.183728
SAMPLE	G000173615	0.126734
SAMPLE	G001798535	0.145238
SAMPLE	G000324005	0.154349
SAMPLE	G001793855	0.202029
SAMPLE	G000155205	0.119266
SAMPLE	G000319245	0.131805
