#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290736//.mixture_reads-LRvW2N.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G001579945	0.175788
SAMPLE	G000196615	0.155334
SAMPLE	G000407505	0.118557
SAMPLE	G000760695	0.150751
SAMPLE	G000388175	0.142089
SAMPLE	G000990515	0.201931
SAMPLE	G000424265	0.132494
SAMPLE	G000143705	0.0862875
SAMPLE	G000153485	0.138244
SAMPLE	G000019685	0.153403
SAMPLE	G001780385	0.135867
SAMPLE	G001654455	0.165398
SAMPLE	G001793945	0.176432
SAMPLE	G001803715	0.20099
SAMPLE	G000521505	0.152234
SAMPLE	G000091765	0.105228
SAMPLE	G001438655	0.118117
SAMPLE	G900095865	0.125673
SAMPLE	G001792545	0.189573
SAMPLE	G001438305	0.137679
SAMPLE	G001047095	0.131032
SAMPLE	G000155895	0.149092
SAMPLE	G001509335	0.121026
SAMPLE	G001656415	0.12207
SAMPLE	G000488275	0.12394
SAMPLE	G001430705	0.117758
SAMPLE	G001797585	0.128599
SAMPLE	G001567175	0.125274
SAMPLE	G001508875	0.151318
SAMPLE	G000999595	0.200701
SAMPLE	G900156885	0.132343
SAMPLE	G001932775	0.12737
SAMPLE	G001482405	0.198158
SAMPLE	G000484635	0.193503
SAMPLE	G001295365	0.116047
SAMPLE	G000023145	0.114834
SAMPLE	G001512665	0.116266
SAMPLE	G001821165	0.179315
SAMPLE	G001781275	0.206906
SAMPLE	G000620985	0.11655
SAMPLE	G000313385	0.139263
SAMPLE	G001187615	0.127115
SAMPLE	G900103375	0.199163
SAMPLE	G001916635	0.208497
SAMPLE	G900101785	0.155584
SAMPLE	G000688115	0.170148
SAMPLE	G000166275	0.146432
SAMPLE	G000424385	0.184939
SAMPLE	G000379845	0.176359
SAMPLE	G000435355	0.204293
SAMPLE	G001820225	0.189482
SAMPLE	G000753855	0.123738
SAMPLE	G000691605	0.137654
SAMPLE	G001402795	0.124727
SAMPLE	G000438215	0.213942
SAMPLE	G000010425	0.139334
SAMPLE	G002021195	0.143264
SAMPLE	G000300135	0.131596
SAMPLE	G000346615	0.144879
SAMPLE	G000426505	0.177494
SAMPLE	G000381625	0.150536
SAMPLE	G000156335	0.16826
SAMPLE	G001458595	0.103743
SAMPLE	G000381025	0.162056
SAMPLE	G000093025	0.135974
SAMPLE	G000092045	0.173409
SAMPLE	G001769315	0.190857
SAMPLE	G001315015	0.189499
SAMPLE	G001431725	0.159143
SAMPLE	G001438395	0.163618
SAMPLE	G000477955	0.0922145
SAMPLE	G000169415	0.187942
SAMPLE	G000332195	0.127522
SAMPLE	G000402075	0.200221
SAMPLE	G001640045	0.145403
SAMPLE	G000010325	0.134209
SAMPLE	G002020935	0.137056
SAMPLE	G000346295	0.18544
SAMPLE	G001871895	0.198778
SAMPLE	G000255355	0.124385
SAMPLE	G000419585	0.204597
SAMPLE	G000186945	0.137252
SAMPLE	G000757785	0.173455
SAMPLE	G001824155	0.2108
SAMPLE	G001373415	0.12242
SAMPLE	G000739555	0.214877
SAMPLE	G001508335	0.148904
SAMPLE	G001438485	0.129832
SAMPLE	G000015685	0.118012
SAMPLE	G001273835	0.164791
SAMPLE	G000431455	0.144431
SAMPLE	G000215705	0.196601
SAMPLE	G000238615	0.170873
SAMPLE	G900094785	0.115035
SAMPLE	G001404335	0.131463
SAMPLE	G001818655	0.217792
SAMPLE	G001748365	0.11825
SAMPLE	G900048035	0.12417
SAMPLE	G000398305	0.225468
SAMPLE	G000582705	0.157484
SAMPLE	G000380965	0.206498
SAMPLE	G001001645	0.158062
SAMPLE	G000373745	0.197315
SAMPLE	G000963885	0.174817
SAMPLE	G000429225	0.180739
SAMPLE	G001780955	0.176223
SAMPLE	G000324305	0.141617
SAMPLE	G000017105	0.143842
SAMPLE	G001797745	0.196633
SAMPLE	G001434915	0.123128
SAMPLE	G000183325	0.170046
SAMPLE	G000439065	0.21079
SAMPLE	G000518805	0.223089
SAMPLE	G000721265	0.141485
SAMPLE	G001187785	0.180503
SAMPLE	G000285915	0.125761
SAMPLE	G001655195	0.200292
SAMPLE	G001705425	0.186571
SAMPLE	G001629395	0.113752
SAMPLE	G001542775	0.15996
SAMPLE	G900092645	0.165219
SAMPLE	G001512945	0.160105
SAMPLE	G000228845	0.216921
SAMPLE	G000746015	0.186771
SAMPLE	G000447755	0.210139
SAMPLE	G000312325	0.218215
SAMPLE	G000946815	0.121245
SAMPLE	G000381965	0.184892
SAMPLE	G000375465	0.151798
SAMPLE	G001795825	0.21501
SAMPLE	G001587695	0.221001
SAMPLE	G000238775	0.225038
SAMPLE	G001677115	0.1232
SAMPLE	G001469535	0.144324
SAMPLE	G000429265	0.1641
SAMPLE	G000215505	0.143542
SAMPLE	G000421585	0.131533
SAMPLE	G000431135	0.214209
SAMPLE	G000158915	0.144852
SAMPLE	G000515275	0.149055
SAMPLE	G001405615	0.126105
SAMPLE	G000016285	0.161251
SAMPLE	G001436225	0.142255
SAMPLE	G001820985	0.208713
SAMPLE	G001780215	0.152422
SAMPLE	G000014425	0.113239
SAMPLE	G001782355	0.159744
SAMPLE	G000619905	0.150819
SAMPLE	G000438455	0.131299
SAMPLE	G001714585	0.133391
SAMPLE	G000007025	0.124601
SAMPLE	G001002095	0.163624
SAMPLE	G000381765	0.16066
SAMPLE	G000169155	0.128635
SAMPLE	G001829425	0.206378
SAMPLE	G001698225	0.148561
SAMPLE	G000424545	0.153763
SAMPLE	G001047375	0.111185
SAMPLE	G001577715	0.130589
SAMPLE	G000253395	0.111549
SAMPLE	G000997405	0.225195
SAMPLE	G000218785	0.136503
SAMPLE	G000374485	0.141764
SAMPLE	G000980765	0.181914
SAMPLE	G000385115	0.131362
SAMPLE	G001771815	0.133296
SAMPLE	G001421175	0.198441
SAMPLE	G000204925	0.205036
SAMPLE	G000012345	0.133029
SAMPLE	G001795735	0.197832
SAMPLE	G001918335	0.214913
SAMPLE	G001817685	0.208398
SAMPLE	G001481675	0.0856859
SAMPLE	G001434475	0.12843
SAMPLE	G001580015	0.181693
SAMPLE	G001552375	0.173551
SAMPLE	G000014445	0.131593
SAMPLE	G000475335	0.129442
SAMPLE	G001580615	0.153635
SAMPLE	G000415085	0.130739
SAMPLE	G001304105	0.194085
SAMPLE	G001457015	0.159385
SAMPLE	G000009065	0.137791
SAMPLE	G001308895	0.15867
SAMPLE	G000429665	0.189157
SAMPLE	G000317305	0.162344
SAMPLE	G000011405	0.139302
SAMPLE	G900115365	0.105014
SAMPLE	G001509345	0.160705
SAMPLE	G000758925	0.15535
SAMPLE	G001563305	0.217265
SAMPLE	G000784335	0.215686
SAMPLE	G000999585	0.218166
SAMPLE	G000189415	0.118086
SAMPLE	G000733475	0.125
SAMPLE	G000317535	0.118158
SAMPLE	G000368625	0.121778
SAMPLE	G900061575	0.126612
SAMPLE	G000007385	0.175257
SAMPLE	G000738435	0.1533
SAMPLE	G000689395	0.156042
SAMPLE	G000429305	0.150741
SAMPLE	G001770125	0.216717
SAMPLE	G000335715	0.176992
SAMPLE	G000991445	0.173629
SAMPLE	G001820405	0.199948
SAMPLE	G900102905	0.189242
SAMPLE	G001872775	0.2217
SAMPLE	G000426605	0.171899
SAMPLE	G000833575	0.117364
SAMPLE	G001796415	0.225199
SAMPLE	G001821135	0.166462
SAMPLE	G001828345	0.185902
SAMPLE	G001747105	0.143259
SAMPLE	G001467825	0.115782
SAMPLE	G000688475	0.157021
SAMPLE	G000685395	0.198207
SAMPLE	G000682755	0.162291
SAMPLE	G000829235	0.126728
SAMPLE	G001010245	0.124396
SAMPLE	G001056295	0.16248
SAMPLE	G000768685	0.154918
SAMPLE	G000621865	0.101638
SAMPLE	G001436115	0.13345
SAMPLE	G001932235	0.124089
SAMPLE	G000934705	0.153581
SAMPLE	G000283555	0.118893
SAMPLE	G001945605	0.148144
SAMPLE	G000308275	0.136911
SAMPLE	G001304315	0.112055
SAMPLE	G000377505	0.19426
SAMPLE	G900116895	0.130225
SAMPLE	G000219725	0.141032
SAMPLE	G001829035	0.203159
SAMPLE	G001780565	0.174487
SAMPLE	G000493735	0.119545
SAMPLE	G000767055	0.13644
SAMPLE	G001790985	0.177107
SAMPLE	G001464665	0.169283
SAMPLE	G000686625	0.214577
SAMPLE	G000964305	0.151359
SAMPLE	G000270405	0.148088
SAMPLE	G000179615	0.13907
SAMPLE	G000733915	0.196468
SAMPLE	G000436055	0.205331
SAMPLE	G900102185	0.158068
SAMPLE	G000380065	0.18457
SAMPLE	G000260115	0.126493
SAMPLE	G001314905	0.214392
SAMPLE	G000013625	0.168905
SAMPLE	G000436675	0.209989
SAMPLE	G000971275	0.174046
SAMPLE	G000513975	0.204441
SAMPLE	G000425645	0.126749
SAMPLE	G001182745	0.175186
SAMPLE	G000436535	0.214217
SAMPLE	G000768875	0.145573
SAMPLE	G900106545	0.132097
SAMPLE	G000185845	0.213301
SAMPLE	G000226875	0.167039
SAMPLE	G000337695	0.217084
SAMPLE	G000709795	0.122069
SAMPLE	G001408335	0.15276
SAMPLE	G000332335	0.148836
SAMPLE	G000719025	0.166465
SAMPLE	G000233655	0.155651
SAMPLE	G001513425	0.209115
SAMPLE	G001825005	0.174794
