#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290784//.mixture_reads-43txH3.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000980895	0.168887
SAMPLE	G001789635	0.195095
SAMPLE	G000436855	0.216872
SAMPLE	G900142085	0.135291
SAMPLE	G000164985	0.135924
SAMPLE	G001423135	0.156641
SAMPLE	G001591905	0.139141
SAMPLE	G000420945	0.162773
SAMPLE	G001769835	0.220276
SAMPLE	G001823695	0.159049
SAMPLE	G001791745	0.162379
SAMPLE	G001785615	0.170549
SAMPLE	G001292585	0.123451
SAMPLE	G000073005	0.152829
SAMPLE	G000447675	0.131906
SAMPLE	G000789415	0.209278
SAMPLE	G001000475	0.1846
SAMPLE	G000994625	0.176285
SAMPLE	G000247545	0.215211
SAMPLE	G000996555	0.162832
SAMPLE	G001779955	0.193998
SAMPLE	G000423305	0.114756
SAMPLE	G001803505	0.154843
SAMPLE	G900107125	0.124771
SAMPLE	G000092305	0.152198
SAMPLE	G001404695	0.139415
SAMPLE	G001787335	0.133841
SAMPLE	G000797495	0.129958
SAMPLE	G001829875	0.209772
SAMPLE	G001559035	0.127179
SAMPLE	G001919105	0.217347
SAMPLE	G000025965	0.163212
SAMPLE	G000488195	0.145936
SAMPLE	G000161895	0.125412
SAMPLE	G000219585	0.130789
SAMPLE	G000191725	0.125773
SAMPLE	G001872925	0.163675
SAMPLE	G002011815	0.110144
SAMPLE	G001548455	0.133813
SAMPLE	G001434935	0.139347
SAMPLE	G000175835	0.211581
SAMPLE	G000735695	0.129948
SAMPLE	G000813145	0.133219
SAMPLE	G001708975	0.133821
SAMPLE	G000009765	0.0990147
SAMPLE	G000248015	0.150818
SAMPLE	G000523275	0.141065
SAMPLE	G000996975	0.188319
SAMPLE	G001823375	0.201677
SAMPLE	G000025345	0.135297
SAMPLE	G000498295	0.115614
SAMPLE	G001789805	0.19752
SAMPLE	G001414235	0.124986
SAMPLE	G000518105	0.121313
SAMPLE	G001778315	0.225161
SAMPLE	G001894865	0.14862
SAMPLE	G000297395	0.168143
SAMPLE	G001868105	0.142367
SAMPLE	G900142455	0.129825
SAMPLE	G000484505	0.131784
SAMPLE	G000993595	0.155891
SAMPLE	G900141875	0.14474
SAMPLE	G001518815	0.166505
SAMPLE	G001773225	0.176644
SAMPLE	G001788095	0.166684
SAMPLE	G000179235	0.209813
SAMPLE	G001683355	0.127267
SAMPLE	G000760375	0.126339
SAMPLE	G000999945	0.172553
SAMPLE	G001790155	0.156899
SAMPLE	G000435955	0.146548
SAMPLE	G000710465	0.138756
SAMPLE	G001508795	0.164464
SAMPLE	G000383875	0.160781
SAMPLE	G000298175	0.117189
SAMPLE	G000424465	0.165777
SAMPLE	G900101065	0.136962
SAMPLE	G900053355	0.122874
SAMPLE	G000281085	0.131095
SAMPLE	G001771625	0.153643
SAMPLE	G001916865	0.125683
SAMPLE	G000213295	0.225168
SAMPLE	G001465875	0.123752
SAMPLE	G000157355	0.129092
SAMPLE	G000743525	0.153742
SAMPLE	G001779145	0.187418
SAMPLE	G000307245	0.193343
SAMPLE	G000973005	0.107703
SAMPLE	G001262035	0.13236
SAMPLE	G000154225	0.103332
SAMPLE	G001187435	0.103791
SAMPLE	G001799575	0.199679
SAMPLE	G000614105	0.128139
SAMPLE	G001812065	0.0943503
SAMPLE	G001039275	0.13502
SAMPLE	G000238055	0.129449
SAMPLE	G000620065	0.140052
SAMPLE	G000973625	0.138369
SAMPLE	G001805135	0.121449
SAMPLE	G001776275	0.210288
SAMPLE	G000252955	0.133842
SAMPLE	G001536105	0.146949
SAMPLE	G000325285	0.153607
SAMPLE	G001044495	0.132581
SAMPLE	G000310145	0.17126
SAMPLE	G000368585	0.137378
SAMPLE	G001601815	0.154448
SAMPLE	G001433915	0.118156
SAMPLE	G000196035	0.123035
SAMPLE	G000378405	0.149564
SAMPLE	G000686145	0.13479
SAMPLE	G001781725	0.19607
SAMPLE	G000992905	0.201351
SAMPLE	G000260835	0.121987
SAMPLE	G000154805	0.134881
SAMPLE	G001436215	0.119905
SAMPLE	G001868185	0.147929
SAMPLE	G900115595	0.187605
SAMPLE	G000009305	0.148872
SAMPLE	G002021315	0.128549
SAMPLE	G001690445	0.122175
SAMPLE	G001428565	0.15186
SAMPLE	G001516655	0.213163
SAMPLE	G000344805	0.174943
SAMPLE	G000789395	0.136041
SAMPLE	G001430885	0.170646
