#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290726//.mixture_reads-lkHWnA.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G001007605	0.168071
SAMPLE	G000191045	0.177016
SAMPLE	G001436095	0.171896
SAMPLE	G001182045	0.134916
SAMPLE	G001001045	0.159957
SAMPLE	G001823505	0.192597
SAMPLE	G000291825	0.203765
SAMPLE	G000189535	0.156417
SAMPLE	G000422205	0.130935
SAMPLE	G001587575	0.213819
SAMPLE	G000423465	0.153918
SAMPLE	G001829785	0.196662
SAMPLE	G001292585	0.190305
SAMPLE	G900142245	0.210676
SAMPLE	G000420945	0.205481
SAMPLE	G000996715	0.179159
SAMPLE	G001423135	0.157378
SAMPLE	G001823695	0.201517
SAMPLE	G000025885	0.162874
SAMPLE	G000253275	0.174115
SAMPLE	G000372085	0.166939
SAMPLE	G001932935	0.141809
SAMPLE	G000996555	0.172698
SAMPLE	G000341205	0.154328
SAMPLE	G001790815	0.188411
SAMPLE	G000996635	0.200483
SAMPLE	G000012985	0.119567
SAMPLE	G001940705	0.215078
SAMPLE	G000797495	0.163066
SAMPLE	G000014245	0.13376
SAMPLE	G000741765	0.160942
SAMPLE	G001469865	0.141056
SAMPLE	G001786125	0.186699
SAMPLE	G000423905	0.150785
SAMPLE	G001316435	0.194053
SAMPLE	G001425405	0.138351
SAMPLE	G000204255	0.177337
SAMPLE	G000816085	0.169252
SAMPLE	G000218895	0.160093
SAMPLE	G001627815	0.205613
SAMPLE	G001872925	0.200756
SAMPLE	G002011815	0.178525
SAMPLE	G001508975	0.209646
SAMPLE	G000383535	0.174973
SAMPLE	G000473225	0.144992
SAMPLE	G000699505	0.172088
SAMPLE	G000711735	0.154149
SAMPLE	G000383975	0.102936
SAMPLE	G000159115	0.149675
SAMPLE	G000317495	0.180304
SAMPLE	G001414235	0.162325
SAMPLE	G000744755	0.160843
SAMPLE	G001787565	0.210231
SAMPLE	G900104755	0.135874
SAMPLE	G001794025	0.210976
SAMPLE	G000018545	0.127194
SAMPLE	G001314225	0.141135
SAMPLE	G900103135	0.162446
SAMPLE	G000404025	0.189458
SAMPLE	G001779615	0.204032
SAMPLE	G001894865	0.154814
SAMPLE	G001822455	0.187396
SAMPLE	G000015665	0.191968
SAMPLE	G001774865	0.223093
SAMPLE	G001785465	0.192956
SAMPLE	G000447315	0.187069
SAMPLE	G900078695	0.136224
SAMPLE	G000337815	0.128944
SAMPLE	G000337515	0.170849
SAMPLE	G000247475	0.224023
SAMPLE	G001773815	0.187509
SAMPLE	G001559335	0.131169
SAMPLE	G000220585	0.181466
SAMPLE	G000746845	0.168546
SAMPLE	G000060345	0.165438
SAMPLE	G000432395	0.210409
SAMPLE	G000378165	0.148973
SAMPLE	G000770635	0.181084
SAMPLE	G001263175	0.132042
SAMPLE	G000297115	0.188036
SAMPLE	G000982825	0.130275
SAMPLE	G000147715	0.161619
SAMPLE	G000179235	0.172262
SAMPLE	G001772545	0.171206
SAMPLE	G001003675	0.1798
SAMPLE	G000007525	0.156394
SAMPLE	G000999945	0.186842
SAMPLE	G000711215	0.146539
SAMPLE	G001311075	0.160807
SAMPLE	G000383375	0.15333
SAMPLE	G000424465	0.20102
SAMPLE	G000801295	0.110696
SAMPLE	G000402455	0.215874
SAMPLE	G000298175	0.160014
SAMPLE	G000719115	0.143199
SAMPLE	G000701305	0.18377
SAMPLE	G001823945	0.213188
SAMPLE	G000364605	0.155618
SAMPLE	G002011165	0.200082
SAMPLE	G000171235	0.149587
SAMPLE	G001995405	0.149926
SAMPLE	G900061645	0.152984
SAMPLE	G000382705	0.149023
SAMPLE	G000159435	0.16047
SAMPLE	G000157355	0.161915
SAMPLE	G001434065	0.169554
SAMPLE	G001871865	0.177044
SAMPLE	G000154225	0.14949
SAMPLE	G000510425	0.174298
SAMPLE	G001571305	0.1457
SAMPLE	G000012585	0.172856
SAMPLE	G001789085	0.162901
SAMPLE	G000233455	0.222349
SAMPLE	G001187435	0.142612
SAMPLE	G001771615	0.192644
SAMPLE	G000585235	0.151374
SAMPLE	G000283575	0.171206
SAMPLE	G001296005	0.141292
SAMPLE	G000806415	0.119418
SAMPLE	G900104395	0.196221
SAMPLE	G000368585	0.150379
SAMPLE	G000369145	0.149666
SAMPLE	G000381545	0.17792
SAMPLE	G000173075	0.137415
SAMPLE	G000754095	0.106082
SAMPLE	G000834055	0.167778
SAMPLE	G001433915	0.165173
SAMPLE	G000310145	0.128622
SAMPLE	G000508225	0.18535
SAMPLE	G002011735	0.187063
SAMPLE	G900142805	0.159464
SAMPLE	G000018465	0.22029
SAMPLE	G000009305	0.162063
SAMPLE	G002021315	0.130759
SAMPLE	G000731985	0.169371
SAMPLE	G001406595	0.166862
SAMPLE	G000238275	0.166418
SAMPLE	G000314975	0.167358
SAMPLE	G000950575	0.164818
SAMPLE	G001899315	0.178793
SAMPLE	G000021945	0.169973
SAMPLE	G000344805	0.128298
SAMPLE	G000997135	0.197415
SAMPLE	G001003645	0.204913
SAMPLE	G001582555	0.164147
SAMPLE	G000023285	0.162361
SAMPLE	G000242875	0.14598
SAMPLE	G000708885	0.147253
SAMPLE	G001824235	0.194219
SAMPLE	G001516655	0.149107
SAMPLE	G000432315	0.193514
SAMPLE	G001800355	0.208378
SAMPLE	G000177375	0.167433
SAMPLE	G001771425	0.162392
SAMPLE	G900116265	0.162814
SAMPLE	G001286805	0.14492
SAMPLE	G900129015	0.164145
SAMPLE	G000934225	0.207749
SAMPLE	G000296815	0.153933
SAMPLE	G000744655	0.156605
SAMPLE	G000499365	0.166436
SAMPLE	G000482865	0.154553
SAMPLE	G000712635	0.192913
SAMPLE	G001708935	0.134206
SAMPLE	G000720475	0.146063
SAMPLE	G000429585	0.185296
SAMPLE	G000341895	0.13956
SAMPLE	G000379805	0.175246
SAMPLE	G001914375	0.143957
SAMPLE	G000747645	0.169203
SAMPLE	G001751005	0.201449
SAMPLE	G000193025	0.13115
SAMPLE	G000518305	0.187017
SAMPLE	G001656275	0.152402
SAMPLE	G000178975	0.151637
SAMPLE	G001822305	0.213131
SAMPLE	G001876255	0.165006
SAMPLE	G001467615	0.134068
SAMPLE	G001792295	0.177256
SAMPLE	G900101835	0.162639
SAMPLE	G001462255	0.191611
SAMPLE	G900116615	0.176877
SAMPLE	G001904655	0.185
SAMPLE	G000429065	0.1192
SAMPLE	G001624625	0.167916
SAMPLE	G001869985	0.176192
SAMPLE	G001816555	0.193443
SAMPLE	G001830905	0.205044
SAMPLE	G000225345	0.141383
SAMPLE	G001793535	0.159286
SAMPLE	G000421485	0.180111
SAMPLE	G000431095	0.204675
SAMPLE	G000344785	0.158445
SAMPLE	G001042635	0.152268
SAMPLE	G001781625	0.186133
SAMPLE	G000725425	0.18871
SAMPLE	G000445145	0.129645
SAMPLE	G000010405	0.162878
SAMPLE	G000751075	0.172051
SAMPLE	G001940845	0.186623
SAMPLE	G000165735	0.161059
SAMPLE	G001002795	0.193752
SAMPLE	G001796635	0.21137
SAMPLE	G001773615	0.163482
SAMPLE	G001627685	0.21587
SAMPLE	G000992005	0.196542
SAMPLE	G001512485	0.203245
SAMPLE	G000437375	0.199516
SAMPLE	G900111035	0.199057
SAMPLE	G000829465	0.151814
SAMPLE	G000234805	0.16178
SAMPLE	G001782955	0.194863
SAMPLE	G000312665	0.12968
SAMPLE	G001794635	0.208431
SAMPLE	G000436215	0.204349
SAMPLE	G001578105	0.121695
SAMPLE	G001424145	0.180275
SAMPLE	G001434555	0.165858
SAMPLE	G000996275	0.158651
SAMPLE	G001412125	0.170306
SAMPLE	G001613505	0.154705
SAMPLE	G001872505	0.196651
SAMPLE	G001777545	0.193598
SAMPLE	G000992205	0.187128
SAMPLE	G001421015	0.158471
SAMPLE	G000702585	0.1439
SAMPLE	G000471625	0.151929
SAMPLE	G000455525	0.132915
SAMPLE	G001279985	0.154402
SAMPLE	G000565195	0.175408
SAMPLE	G001730015	0.153243
SAMPLE	G000799565	0.179465
SAMPLE	G000757905	0.151597
SAMPLE	G001464795	0.182062
SAMPLE	G001534725	0.141736
SAMPLE	G001779895	0.192815
SAMPLE	G000999965	0.182685
SAMPLE	G000426825	0.199362
SAMPLE	G000153825	0.14584
SAMPLE	G001629315	0.203162
SAMPLE	G900113595	0.175357
SAMPLE	G001772705	0.196002
SAMPLE	G001816475	0.175235
SAMPLE	G001632805	0.157692
SAMPLE	G000997475	0.200251
SAMPLE	G001904715	0.180692
SAMPLE	G000195335	0.139218
SAMPLE	G000576575	0.142378
SAMPLE	G000145035	0.135974
SAMPLE	G000284135	0.156807
SAMPLE	G000756355	0.155895
SAMPLE	G000092465	0.194488
SAMPLE	G001510275	0.215726
SAMPLE	G001796255	0.201618
SAMPLE	G001602955	0.2009
SAMPLE	G000300995	0.128188
SAMPLE	G000298515	0.1778
SAMPLE	G001291445	0.153038
SAMPLE	G001696945	0.00989999
SAMPLE	G000427685	0.141626
SAMPLE	G900106595	0.176813
SAMPLE	G000304635	0.148624
SAMPLE	G001919995	0.211218
SAMPLE	G001564065	0.19794
SAMPLE	G000166095	0.186905
SAMPLE	G002007305	0.210011
SAMPLE	G001005315	0.184046
SAMPLE	G000429085	0.161532
SAMPLE	G001610775	0.173545
SAMPLE	G000817085	0.204712
SAMPLE	G000304735	0.172261
SAMPLE	G001000595	0.201907
SAMPLE	G000444645	0.151573
SAMPLE	G000718595	0.154786
SAMPLE	G000209515	0.154117
SAMPLE	G001412105	0.205139
SAMPLE	G001650325	0.165397
SAMPLE	G001242845	0.160384
SAMPLE	G000438035	0.203139
SAMPLE	G000455385	0.17632
SAMPLE	G000411515	0.133464
SAMPLE	G001434335	0.174027
SAMPLE	G000620225	0.1289
SAMPLE	G000014585	0.14402
SAMPLE	G000285795	0.204339
SAMPLE	G000187625	0.163722
SAMPLE	G000007985	0.138163
SAMPLE	G001437715	0.166216
SAMPLE	G001418255	0.124075
SAMPLE	G000965125	0.159367
SAMPLE	G900101645	0.179292
SAMPLE	G000227665	0.138433
SAMPLE	G001550135	0.162881
SAMPLE	G000012965	0.161529
SAMPLE	G000308675	0.156159
SAMPLE	G001772385	0.186365
SAMPLE	G000576595	0.127907
SAMPLE	G000185885	0.157729
SAMPLE	G000317025	0.171253
SAMPLE	G000972805	0.150581
SAMPLE	G000240505	0.224988
SAMPLE	G000422505	0.196675
SAMPLE	G000622895	0.199512
SAMPLE	G000970465	0.133423
SAMPLE	G000991025	0.183156
SAMPLE	G001560085	0.217693
SAMPLE	G001769505	0.202422
SAMPLE	G001869295	0.177723
SAMPLE	G000422625	0.148037
SAMPLE	G001430845	0.144908
SAMPLE	G001803785	0.206997
SAMPLE	G001957125	0.170988
SAMPLE	G001435695	0.174914
SAMPLE	G000685235	0.146547
SAMPLE	G001017435	0.128396
SAMPLE	G001513335	0.202028
SAMPLE	G000621325	0.133729
SAMPLE	G000963965	0.149657
SAMPLE	G000621425	0.178236
SAMPLE	G001829605	0.19622
SAMPLE	G000999395	0.192748
SAMPLE	G000024805	0.134837
SAMPLE	G001796095	0.155927
SAMPLE	G001296945	0.142076
SAMPLE	G000214785	0.16102
SAMPLE	G000008925	0.165506
SAMPLE	G000015145	0.137868
SAMPLE	G001676615	0.127321
SAMPLE	G001919285	0.21139
SAMPLE	G001602545	0.142414
SAMPLE	G001820395	0.205898
SAMPLE	G001656455	0.158599
SAMPLE	G000686945	0.185488
SAMPLE	G001824685	0.199381
SAMPLE	G001560605	0.202831
SAMPLE	G000213805	0.113415
SAMPLE	G001587325	0.1699
SAMPLE	G000176015	0.137796
SAMPLE	G900107235	0.151349
SAMPLE	G001028645	0.167468
SAMPLE	G000341695	0.172297
SAMPLE	G000768855	0.167444
SAMPLE	G000821065	0.180621
SAMPLE	G000169075	0.152514
SAMPLE	G001644445	0.149053
SAMPLE	G000771745	0.140501
SAMPLE	G000735135	0.182761
SAMPLE	G000996685	0.186076
SAMPLE	G001812345	0.159647
SAMPLE	G001778085	0.17646
SAMPLE	G000498575	0.128336
SAMPLE	G000485815	0.169831
SAMPLE	G000159155	0.177936
SAMPLE	G000990725	0.20282
SAMPLE	G000763315	0.174669
SAMPLE	G001437755	0.209754
SAMPLE	G000364325	0.1678
SAMPLE	G001721685	0.157417
SAMPLE	G001278805	0.16325
SAMPLE	G001632485	0.139673
SAMPLE	G000484635	0.13351
SAMPLE	G001603415	0.210139
SAMPLE	G001781275	0.213204
SAMPLE	G000372865	0.18624
SAMPLE	G001560455	0.184967
SAMPLE	G000770305	0.140992
SAMPLE	G001787945	0.191752
SAMPLE	G001799095	0.167434
SAMPLE	G000241305	0.153437
SAMPLE	G001899145	0.164767
SAMPLE	G000024945	0.167886
SAMPLE	G000620045	0.189438
SAMPLE	G001303705	0.143994
SAMPLE	G001802355	0.20376
SAMPLE	G000022385	0.195075
SAMPLE	G001798415	0.203942
SAMPLE	G001375555	0.165113
SAMPLE	G000979855	0.211087
SAMPLE	G000174395	0.163168
SAMPLE	G000424385	0.207562
SAMPLE	G001871415	0.155965
SAMPLE	G001437015	0.169194
SAMPLE	G000429625	0.132484
SAMPLE	G000620885	0.197056
SAMPLE	G000010425	0.153817
SAMPLE	G000426505	0.128946
SAMPLE	G000015285	0.15764
SAMPLE	G001003085	0.195973
SAMPLE	G000024845	0.146168
SAMPLE	G000334455	0.157212
SAMPLE	G000433255	0.202127
SAMPLE	G000419485	0.202767
SAMPLE	G001487125	0.166377
SAMPLE	G000421145	0.156686
SAMPLE	G000017845	0.194014
SAMPLE	G001431725	0.122923
SAMPLE	G001890035	0.195545
SAMPLE	G000169415	0.146996
SAMPLE	G001783065	0.173889
SAMPLE	G001437675	0.189713
SAMPLE	G000757385	0.189618
SAMPLE	G000744105	0.176215
SAMPLE	G001832905	0.179096
SAMPLE	G000752675	0.149128
SAMPLE	G001431525	0.118892
SAMPLE	G000747345	0.168708
SAMPLE	G001778665	0.198455
SAMPLE	G000433175	0.198022
SAMPLE	G001508335	0.180451
SAMPLE	G000021865	0.127069
SAMPLE	G001438485	0.180022
SAMPLE	G000224335	0.182012
SAMPLE	G000423805	0.128443
SAMPLE	G000827595	0.144328
SAMPLE	G001880325	0.14646
SAMPLE	G000427565	0.159552
SAMPLE	G000009745	0.144505
SAMPLE	G001001645	0.184387
SAMPLE	G900107355	0.151735
SAMPLE	G001412575	0.1517
SAMPLE	G000308395	0.188437
SAMPLE	G002020845	0.132711
SAMPLE	G001321825	0.154617
SAMPLE	G000521565	0.163716
SAMPLE	G002011475	0.159456
SAMPLE	G000015105	0.161661
SAMPLE	G001829695	0.192879
SAMPLE	G001813085	0.177723
SAMPLE	G001789645	0.203071
SAMPLE	G000218765	0.165252
SAMPLE	G001462305	0.208202
SAMPLE	G000024225	0.16971
SAMPLE	G000525775	0.163496
SAMPLE	G001773695	0.167744
SAMPLE	G001481685	0.155704
SAMPLE	G001798315	0.220277
SAMPLE	G000406785	0.214692
SAMPLE	G001800565	0.205748
SAMPLE	G001788235	0.194866
SAMPLE	G000434295	0.211386
SAMPLE	G001418105	0.182924
SAMPLE	G001598535	0.140937
SAMPLE	G001969485	0.161737
SAMPLE	G001187785	0.110745
SAMPLE	G001803285	0.216016
SAMPLE	G900101345	0.169124
SAMPLE	G001824375	0.200986
SAMPLE	G000020545	0.151687
SAMPLE	G001002965	0.193833
SAMPLE	G000753575	0.186596
SAMPLE	G000980515	0.170336
SAMPLE	G001780315	0.203848
SAMPLE	G001275645	0.158923
SAMPLE	G000411115	0.168524
SAMPLE	G001798425	0.194198
SAMPLE	G000241145	0.220966
SAMPLE	G000381965	0.159478
SAMPLE	G000991325	0.20565
SAMPLE	G900109555	0.170781
SAMPLE	G000948975	0.156443
SAMPLE	G000992615	0.193851
SAMPLE	G900105105	0.176726
SAMPLE	G000375465	0.182309
SAMPLE	G001915615	0.172997
SAMPLE	G000155715	0.135245
SAMPLE	G000565075	0.158976
SAMPLE	G001310615	0.174974
SAMPLE	G001771535	0.206039
SAMPLE	G001412545	0.00954983
SAMPLE	G000507245	0.159751
SAMPLE	G001778155	0.203831
SAMPLE	G001303785	0.202222
SAMPLE	G001779985	0.186043
SAMPLE	G001438495	0.176758
SAMPLE	G001640365	0.135684
SAMPLE	G001458435	0.145985
SAMPLE	G000285515	0.17731
SAMPLE	G001443005	0.170708
SAMPLE	G002006995	0.150803
SAMPLE	G000187005	0.143629
SAMPLE	G000024785	0.147705
SAMPLE	G001436225	0.148574
SAMPLE	G000980815	0.150948
SAMPLE	G001553605	0.112357
SAMPLE	G000069185	0.161244
SAMPLE	G001050835	0.209677
SAMPLE	G001791155	0.185215
SAMPLE	G001598915	0.160288
SAMPLE	G000619905	0.132841
SAMPLE	G001417815	0.204667
SAMPLE	G900104675	0.156054
SAMPLE	G000162475	0.185135
SAMPLE	G000934685	0.172512
SAMPLE	G000015945	0.196539
SAMPLE	G000006745	0.138018
SAMPLE	G000620725	0.139759
SAMPLE	G000012325	0.160539
SAMPLE	G001047375	0.185545
SAMPLE	G001825065	0.209942
SAMPLE	G001829715	0.189688
SAMPLE	G000190135	0.206355
SAMPLE	G001703975	0.150876
SAMPLE	G001587475	0.166347
SAMPLE	G001889105	0.125946
SAMPLE	G000309605	0.14156
SAMPLE	G001791385	0.219555
SAMPLE	G000191925	0.177209
SAMPLE	G001273495	0.2149
SAMPLE	G001997385	0.156147
SAMPLE	G000374485	0.168581
SAMPLE	G000155955	0.14792
SAMPLE	G001917285	0.209127
SAMPLE	G000422585	0.187441
SAMPLE	G000211855	0.176996
SAMPLE	G000385115	0.159251
SAMPLE	G000204925	0.196599
SAMPLE	G000262245	0.168034
SAMPLE	G000335815	0.126668
SAMPLE	G001584645	0.149881
SAMPLE	G000992125	0.207406
SAMPLE	G000770585	0.183914
SAMPLE	G001772955	0.149253
SAMPLE	G001918845	0.208475
SAMPLE	G000371925	0.141371
SAMPLE	G001315205	0.173702
SAMPLE	G000015125	0.147603
SAMPLE	G001828445	0.218589
SAMPLE	G000478825	0.173304
SAMPLE	G001580015	0.142854
SAMPLE	G000160455	0.153661
SAMPLE	G000153125	0.126613
SAMPLE	G001799975	0.2121
SAMPLE	G900112445	0.151068
SAMPLE	G000741255	0.15186
SAMPLE	G000379525	0.19592
SAMPLE	G000403035	0.155648
SAMPLE	G000992485	0.193457
SAMPLE	G000384935	0.163389
SAMPLE	G002019735	0.173666
SAMPLE	G001789695	0.192103
SAMPLE	G000233695	0.145407
SAMPLE	G001818705	0.194811
SAMPLE	G001435155	0.152309
SAMPLE	G000433935	0.214763
SAMPLE	G000738435	0.153106
SAMPLE	G000731795	0.158605
SAMPLE	G000689395	0.149701
SAMPLE	G001788195	0.212005
SAMPLE	G000729985	0.175605
SAMPLE	G002011615	0.207174
SAMPLE	G000991445	0.196464
SAMPLE	G000431435	0.20544
SAMPLE	G000970895	0.209369
SAMPLE	G001437625	0.214533
SAMPLE	G000820205	0.13365
SAMPLE	G000503835	0.169486
SAMPLE	G000333355	0.22603
SAMPLE	G000739935	0.138286
SAMPLE	G001887595	0.109606
SAMPLE	G001787675	0.220951
SAMPLE	G001796415	0.202199
SAMPLE	G000997145	0.209269
SAMPLE	G000429685	0.194345
SAMPLE	G001896565	0.201123
SAMPLE	G000315585	0.216454
SAMPLE	G001811135	0.166137
SAMPLE	G000384075	0.16066
SAMPLE	G001510335	0.160378
SAMPLE	G000429645	0.133254
SAMPLE	G000230735	0.117457
SAMPLE	G001484985	0.159734
SAMPLE	G001021505	0.159691
SAMPLE	G001436115	0.159957
SAMPLE	G001578075	0.184371
SAMPLE	G000420705	0.186028
SAMPLE	G000509225	0.156107
SAMPLE	G000997745	0.169254
SAMPLE	G000934705	0.123492
SAMPLE	G001778555	0.202831
SAMPLE	G001560245	0.202589
SAMPLE	G000935205	0.142189
SAMPLE	G000385055	0.163803
SAMPLE	G000739575	0.147409
SAMPLE	G000317085	0.171773
SAMPLE	G000283555	0.19015
SAMPLE	G000520635	0.158899
SAMPLE	G000158655	0.157396
SAMPLE	G001546115	0.128015
SAMPLE	G900116895	0.162413
SAMPLE	G001872305	0.203701
SAMPLE	G900114575	0.157817
SAMPLE	G000688235	0.145991
SAMPLE	G900039485	0.14306
SAMPLE	G001899335	0.197929
SAMPLE	G001971785	0.18129
SAMPLE	G000576635	0.0965401
SAMPLE	G002010655	0.220477
SAMPLE	G000261285	0.16578
SAMPLE	G000381345	0.134927
SAMPLE	G000767055	0.141549
SAMPLE	G001591565	0.184818
SAMPLE	G000694955	0.133846
SAMPLE	G001560215	0.194076
SAMPLE	G000686625	0.197229
SAMPLE	G900113925	0.159899
SAMPLE	G001775695	0.225196
SAMPLE	G000585355	0.16482
SAMPLE	G000183345	0.131958
SAMPLE	G900102185	0.160984
SAMPLE	G000429465	0.172954
SAMPLE	G000590885	0.188401
SAMPLE	G001791565	0.211184
SAMPLE	G000436675	0.211176
SAMPLE	G000427665	0.125922
SAMPLE	G001001055	0.222647
SAMPLE	G000378965	0.118652
SAMPLE	G000513975	0.225032
SAMPLE	G001773425	0.194876
SAMPLE	G001693475	0.184566
SAMPLE	G900142425	0.163903
SAMPLE	G001773915	0.187237
SAMPLE	G001189575	0.183094
SAMPLE	G000377705	0.209085
SAMPLE	G000709795	0.159166
SAMPLE	G000992725	0.186781
SAMPLE	G000379425	0.161766
SAMPLE	G001772985	0.204374
SAMPLE	G000757605	0.146168
SAMPLE	G000511655	0.14562
SAMPLE	G000381745	0.186517
SAMPLE	G001314865	0.209962
SAMPLE	G002007825	0.1732
SAMPLE	G900110425	0.141856
SAMPLE	G000011065	0.166934
SAMPLE	G000520755	0.186329
SAMPLE	G001548375	0.172088
SAMPLE	G000999715	0.168418
SAMPLE	G001513425	0.211461
SAMPLE	G900114245	0.161367
SAMPLE	G001798155	0.202681
SAMPLE	G000009185	0.156839
SAMPLE	G000949255	0.155029
SAMPLE	G001830165	0.180332
SAMPLE	G000252685	0.21121
SAMPLE	G001790825	0.184793
SAMPLE	G000747625	0.165915
SAMPLE	G000436915	0.204391
SAMPLE	G000812685	0.164099
SAMPLE	G001484965	0.162189
SAMPLE	G000009705	0.168772
SAMPLE	G000190415	0.160468
SAMPLE	G000162895	0.146318
SAMPLE	G000701705	0.136288
SAMPLE	G000252445	0.139123
SAMPLE	G900109475	0.19976
SAMPLE	G001013375	0.162666
SAMPLE	G001704955	0.164327
SAMPLE	G000212675	0.136276
SAMPLE	G000012465	0.18149
SAMPLE	G000975095	0.160902
SAMPLE	G000981545	0.138483
SAMPLE	G000260635	0.17114
SAMPLE	G001280565	0.159581
SAMPLE	G900114305	0.148925
