#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290787//.mixture_reads-e7siLS.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G001778165	0.205348
SAMPLE	G001294685	0.17876
SAMPLE	G001717025	0.207683
SAMPLE	G001021935	0.204358
SAMPLE	G000759675	0.138547
SAMPLE	G001025155	0.181507
SAMPLE	G001603905	0.210843
SAMPLE	G000331715	0.144324
SAMPLE	G000286335	0.119101
SAMPLE	G000160555	0.188243
SAMPLE	G001003345	0.189979
SAMPLE	G001773975	0.201209
SAMPLE	G000023245	0.185248
SAMPLE	G000023925	0.183876
SAMPLE	G001458535	0.176039
SAMPLE	G001772775	0.199398
SAMPLE	G001773715	0.179262
SAMPLE	G001643775	0.169266
SAMPLE	G001192655	0.156616
SAMPLE	G001941345	0.168481
SAMPLE	G000996715	0.168989
SAMPLE	G001574885	0.147188
SAMPLE	G000974245	0.164878
SAMPLE	G001829785	0.225352
SAMPLE	G900142245	0.114003
SAMPLE	G000291825	0.168641
SAMPLE	G001791745	0.179768
SAMPLE	G001795855	0.201748
SAMPLE	G000996555	0.182486
SAMPLE	G000021745	0.207114
SAMPLE	G000336755	0.210419
SAMPLE	G001720165	0.124931
SAMPLE	G000067205	0.203315
SAMPLE	G001437235	0.157783
SAMPLE	G001484935	0.141356
SAMPLE	G000996635	0.175607
SAMPLE	G001790815	0.189676
SAMPLE	G000269605	0.157911
SAMPLE	G001003045	0.207203
SAMPLE	G000732625	0.138646
SAMPLE	G000023065	0.17
SAMPLE	G001304255	0.194588
SAMPLE	G000435815	0.21602
SAMPLE	G000716755	0.187885
SAMPLE	G001919105	0.215781
SAMPLE	G000338295	0.22036
SAMPLE	G000011565	0.165878
SAMPLE	G001803845	0.210233
SAMPLE	G000025965	0.200205
SAMPLE	G000953435	0.145745
SAMPLE	G001425405	0.208904
SAMPLE	G001899005	0.190532
SAMPLE	G001983935	0.212706
SAMPLE	G001469165	0.209883
SAMPLE	G000994355	0.164495
SAMPLE	G001508975	0.198352
SAMPLE	G000964565	0.1719
SAMPLE	G000735695	0.155571
SAMPLE	G000496215	0.217711
SAMPLE	G001434935	0.154278
SAMPLE	G001604185	0.189758
SAMPLE	G000314675	0.201038
SAMPLE	G000813145	0.197591
SAMPLE	G001708975	0.195758
SAMPLE	G000699505	0.164336
SAMPLE	G900112045	0.189866
SAMPLE	G001778235	0.166996
SAMPLE	G000160675	0.13532
SAMPLE	G000991525	0.173964
SAMPLE	G001791725	0.210776
SAMPLE	G001823015	0.22536
SAMPLE	G000317495	0.167507
SAMPLE	G001829755	0.211833
SAMPLE	G000434975	0.20906
SAMPLE	G001780635	0.19162
SAMPLE	G001774335	0.205632
SAMPLE	G000022365	0.207285
SAMPLE	G001822455	0.207028
SAMPLE	G000185425	0.143699
SAMPLE	G000585155	0.132257
SAMPLE	G000337815	0.211784
SAMPLE	G001785465	0.212527
SAMPLE	G001790855	0.158823
SAMPLE	G000478885	0.192646
SAMPLE	G000008805	0.18037
SAMPLE	G000978555	0.176655
SAMPLE	G001774865	0.221422
SAMPLE	G001776635	0.215995
SAMPLE	G000763785	0.208749
SAMPLE	G000227175	0.136248
SAMPLE	G001886395	0.148498
SAMPLE	G001782445	0.186273
SAMPLE	G000060345	0.15555
SAMPLE	G000388115	0.209002
SAMPLE	G000014765	0.17891
SAMPLE	G000156595	0.185495
SAMPLE	G000980735	0.169666
SAMPLE	G001418015	0.15481
SAMPLE	G000397165	0.168369
SAMPLE	G001773225	0.162065
SAMPLE	G000518185	0.137694
SAMPLE	G001788095	0.150172
SAMPLE	G001725075	0.166447
SAMPLE	G000999385	0.197683
SAMPLE	G001518815	0.201324
SAMPLE	G000991245	0.190911
SAMPLE	G001418415	0.135497
SAMPLE	G001856845	0.205272
SAMPLE	G000432395	0.185795
SAMPLE	G001627865	0.205722
SAMPLE	G000758845	0.149841
SAMPLE	G001421665	0.205094
SAMPLE	G000993875	0.181764
SAMPLE	G000298175	0.177813
