#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290839//.mixture_reads-9Zpnq7.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.221063
SAMPLE	G000619885	0.201527
SAMPLE	G001940655	0.188938
SAMPLE	G001598915	0.180821
SAMPLE	G001591825	0.161546
SAMPLE	G900061675	0.142629
SAMPLE	G900104675	0.182728
SAMPLE	G000515275	0.194763
SAMPLE	G000428565	0.204944
SAMPLE	G000328665	0.21537
SAMPLE	G001703975	0.142918
SAMPLE	G000745855	0.204109
SAMPLE	G000485905	0.193226
SAMPLE	G001484685	0.190822
SAMPLE	G001825065	0.225478
SAMPLE	G001750685	0.14056
SAMPLE	G001829715	0.192144
SAMPLE	G000063525	0.189359
SAMPLE	G001889105	0.192918
SAMPLE	G001587475	0.184926
SAMPLE	G001587695	0.219536
SAMPLE	G000191925	0.132419
SAMPLE	G001424685	0.201674
SAMPLE	G001273495	0.180307
SAMPLE	G001263755	0.168097
SAMPLE	G001466415	0.124051
SAMPLE	G001920395	0.207288
SAMPLE	G000018305	0.225074
SAMPLE	G000177235	0.136303
SAMPLE	G000309945	0.181232
SAMPLE	G001779055	0.19494
SAMPLE	G001918845	0.199337
SAMPLE	G001584645	0.144952
SAMPLE	G000992125	0.147875
SAMPLE	G000429945	0.196909
SAMPLE	G000439105	0.138149
SAMPLE	G000718255	0.17543
SAMPLE	G000411375	0.175266
SAMPLE	G001437635	0.198302
SAMPLE	G001508535	0.171662
SAMPLE	G000463075	0.156697
SAMPLE	G000403035	0.1373
SAMPLE	G001508955	0.205318
SAMPLE	G000384935	0.122686
SAMPLE	G001653295	0.144836
SAMPLE	G002019735	0.12586
SAMPLE	G000376565	0.135609
SAMPLE	G000966265	0.214448
SAMPLE	G001781355	0.189667
SAMPLE	G001789695	0.196998
SAMPLE	G001685155	0.173902
SAMPLE	G001788195	0.182992
SAMPLE	G000424825	0.145713
SAMPLE	G001475935	0.195917
SAMPLE	G000568815	0.166025
SAMPLE	G000012565	0.147471
SAMPLE	G000703065	0.181366
SAMPLE	G900115855	0.208526
SAMPLE	G001791375	0.200233
SAMPLE	G000989195	0.158318
SAMPLE	G001804605	0.222087
SAMPLE	G001917065	0.206278
SAMPLE	G001776415	0.195041
SAMPLE	G000997145	0.218538
SAMPLE	G001825445	0.220732
SAMPLE	G001830325	0.185328
SAMPLE	G001014615	0.193856
SAMPLE	G000688475	0.176168
SAMPLE	G000429645	0.206901
SAMPLE	G001457815	0.177066
SAMPLE	G000310185	0.200471
SAMPLE	G001697225	0.200431
SAMPLE	G001777575	0.187918
SAMPLE	G001578075	0.165962
SAMPLE	G000410815	0.177008
SAMPLE	G000509225	0.180879
SAMPLE	G001603075	0.209038
SAMPLE	G000170875	0.201641
SAMPLE	G000385055	0.137026
SAMPLE	G000478585	0.131896
SAMPLE	G001791715	0.204764
SAMPLE	G001790435	0.191548
SAMPLE	G001516665	0.219352
SAMPLE	G000998865	0.201404
SAMPLE	G000160775	0.179304
SAMPLE	G001582735	0.141298
SAMPLE	G000498355	0.122214
SAMPLE	G900106745	0.193605
SAMPLE	G000195835	0.187501
SAMPLE	G000980835	0.118265
SAMPLE	G000807255	0.116606
SAMPLE	G000576635	0.195188
SAMPLE	G000093085	0.173953
SAMPLE	G001783315	0.153785
SAMPLE	G000202835	0.201516
SAMPLE	G000381345	0.200294
SAMPLE	G000235565	0.209583
SAMPLE	G000152705	0.17235
SAMPLE	G001769045	0.21375
SAMPLE	G900109715	0.139434
SAMPLE	G900070165	0.139465
SAMPLE	G001803365	0.216901
SAMPLE	G001483845	0.150427
SAMPLE	G001774505	0.216895
SAMPLE	G000511135	0.177239
SAMPLE	G900113925	0.164656
SAMPLE	G000382385	0.204619
SAMPLE	G001536165	0.141588
SAMPLE	G900102185	0.194984
SAMPLE	G001746425	0.136855
SAMPLE	G000711795	0.21022
SAMPLE	G000429465	0.166212
SAMPLE	G001780535	0.186336
SAMPLE	G000014465	0.140294
SAMPLE	G001781175	0.202578
SAMPLE	G001281525	0.13227
SAMPLE	G000716675	0.112114
SAMPLE	G000702425	0.160225
SAMPLE	G000434955	0.214638
SAMPLE	G001693475	0.157114
SAMPLE	G900111615	0.165833
SAMPLE	G001457455	0.157568
SAMPLE	G001189575	0.146036
SAMPLE	G000377705	0.207064
SAMPLE	G000591035	0.213441
SAMPLE	G000725165	0.122894
SAMPLE	G001784555	0.132988
SAMPLE	G001654855	0.161787
SAMPLE	G001421285	0.206289
SAMPLE	G002007825	0.186876
SAMPLE	G001652465	0.178372
SAMPLE	G001656095	0.159113
SAMPLE	G900078795	0.184076
SAMPLE	G000406925	0.127527
SAMPLE	G001798155	0.217649
SAMPLE	G000389965	0.179649
SAMPLE	G001005825	0.191595
SAMPLE	G000294675	0.180193
SAMPLE	G001869815	0.161488
SAMPLE	G000812685	0.187143
SAMPLE	G000764205	0.152417
SAMPLE	G900095305	0.134933
SAMPLE	G000488255	0.155162
SAMPLE	G000829515	0.164449
SAMPLE	G000190415	0.166975
SAMPLE	G001787615	0.193607
SAMPLE	G001494635	0.192097
SAMPLE	G001821035	0.190041
SAMPLE	G001418575	0.152988
SAMPLE	G001576965	0.213483
SAMPLE	G900109475	0.201193
SAMPLE	G001704955	0.150379
SAMPLE	G000981545	0.190877
SAMPLE	G000970735	0.12907
SAMPLE	G001782645	0.117439
SAMPLE	G000153345	0.178016
SAMPLE	G000828915	0.204078
SAMPLE	G001469005	0.205008
SAMPLE	G001897605	0.181025
SAMPLE	G001302685	0.226071
SAMPLE	G000730285	0.214205
SAMPLE	G001542405	0.195396
SAMPLE	G000006865	0.130527
SAMPLE	G001822415	0.191525
SAMPLE	G001821245	0.211411
SAMPLE	G001927245	0.201908
SAMPLE	G001316265	0.212698
SAMPLE	G001627075	0.18057
SAMPLE	G000698145	0.147042
SAMPLE	G000007765	0.163554
SAMPLE	G001437435	0.140485
SAMPLE	G000991735	0.184457
SAMPLE	G000378005	0.169906
SAMPLE	G001574705	0.142529
SAMPLE	G000751295	0.19703
SAMPLE	G000009025	0.178786
SAMPLE	G900089575	0.178132
SAMPLE	G001273775	0.204097
SAMPLE	G000426725	0.165614
SAMPLE	G001606025	0.164001
SAMPLE	G900111605	0.173662
SAMPLE	G000431355	0.202004
SAMPLE	G001707835	0.204967
SAMPLE	G900114995	0.192816
SAMPLE	G001439215	0.190727
SAMPLE	G000252765	0.140509
SAMPLE	G000612445	0.164029
SAMPLE	G000813845	0.179226
SAMPLE	G000152865	0.1932
SAMPLE	G000425205	0.14812
SAMPLE	G001180145	0.139179
SAMPLE	G000315445	0.162178
SAMPLE	G000992765	0.194841
SAMPLE	G000409815	0.217112
SAMPLE	G001713375	0.20136
SAMPLE	G000621465	0.182282
SAMPLE	G000298075	0.191364
SAMPLE	G000007865	0.184258
SAMPLE	G001435065	0.141016
SAMPLE	G000762875	0.166069
SAMPLE	G001244495	0.198822
SAMPLE	G000269805	0.181228
SAMPLE	G000017685	0.152076
SAMPLE	G000493945	0.218307
SAMPLE	G001784615	0.112707
SAMPLE	G001552935	0.136924
SAMPLE	G001420285	0.134541
SAMPLE	G000019205	0.148264
SAMPLE	G000833025	0.121621
SAMPLE	G900103145	0.196731
SAMPLE	G000179395	0.177976
SAMPLE	G000428465	0.204122
SAMPLE	G000741845	0.166625
SAMPLE	G000472905	0.188572
SAMPLE	G001773295	0.210166
SAMPLE	G001916165	0.205949
SAMPLE	G001189495	0.134182
SAMPLE	G000426885	0.186218
SAMPLE	G001456935	0.199058
SAMPLE	G001789125	0.190638
SAMPLE	G001802215	0.210911
SAMPLE	G000741705	0.183465
SAMPLE	G000012385	0.134231
SAMPLE	G001898235	0.173837
SAMPLE	G001295935	0.207029
SAMPLE	G000691805	0.120579
SAMPLE	G001047215	0.149177
SAMPLE	G000432615	0.197888
SAMPLE	G001514435	0.126278
SAMPLE	G000384135	0.113352
SAMPLE	G000300695	0.152546
SAMPLE	G000265505	0.139125
SAMPLE	G900116865	0.119969
SAMPLE	G000295935	0.144255
SAMPLE	G001787915	0.183652
SAMPLE	G000953395	0.143237
SAMPLE	G900116035	0.207328
