#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290902//.mixture_reads-G7CimB.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G001940655	0.217737
SAMPLE	G000619885	0.169938
SAMPLE	G000063525	0.17615
SAMPLE	G001598915	0.187625
SAMPLE	G001783635	0.208683
SAMPLE	G900061675	0.179413
SAMPLE	G900104675	0.164512
SAMPLE	G000428565	0.21367
SAMPLE	G001405615	0.195892
SAMPLE	G000328665	0.217739
SAMPLE	G001703975	0.18622
SAMPLE	G000745855	0.15838
SAMPLE	G001484685	0.224433
SAMPLE	G000515275	0.189574
SAMPLE	G001829715	0.190274
SAMPLE	G001750685	0.194951
SAMPLE	G001825065	0.205054
SAMPLE	G001587475	0.182788
SAMPLE	G001889105	0.153695
SAMPLE	G001587695	0.220894
SAMPLE	G000191925	0.193455
SAMPLE	G001424685	0.171111
SAMPLE	G001273495	0.194451
SAMPLE	G001263755	0.165059
SAMPLE	G001466415	0.204154
SAMPLE	G001920395	0.223538
SAMPLE	G000018305	0.193253
SAMPLE	G000177235	0.193075
SAMPLE	G000309945	0.18662
SAMPLE	G001779055	0.222197
SAMPLE	G001584645	0.18004
SAMPLE	G000992125	0.18552
SAMPLE	G001918845	0.224963
SAMPLE	G000429945	0.195171
SAMPLE	G000439105	0.211817
SAMPLE	G000718255	0.142637
SAMPLE	G000411375	0.163206
SAMPLE	G001437635	0.198581
SAMPLE	G001508535	0.131626
SAMPLE	G000463075	0.179778
SAMPLE	G000403035	0.179442
SAMPLE	G001508955	0.224498
SAMPLE	G000384935	0.186583
SAMPLE	G001653295	0.159774
SAMPLE	G002019735	0.192149
SAMPLE	G000376565	0.176798
SAMPLE	G000966265	0.202772
SAMPLE	G001781355	0.21821
SAMPLE	G001789695	0.201001
SAMPLE	G001685155	0.168627
SAMPLE	G001788195	0.216701
SAMPLE	G000424825	0.176044
SAMPLE	G001475935	0.15449
SAMPLE	G000568815	0.181943
SAMPLE	G000012565	0.207923
SAMPLE	G000703065	0.175596
SAMPLE	G900115855	0.168997
SAMPLE	G000989195	0.202611
SAMPLE	G001791375	0.222077
SAMPLE	G001804605	0.221431
SAMPLE	G001917065	0.206428
SAMPLE	G001776415	0.222982
SAMPLE	G000997145	0.209967
SAMPLE	G001825445	0.212919
SAMPLE	G001830325	0.192578
SAMPLE	G001014615	0.159991
SAMPLE	G000688475	0.141138
SAMPLE	G001457815	0.164821
SAMPLE	G000429645	0.151124
SAMPLE	G000310185	0.136314
SAMPLE	G001697225	0.114918
SAMPLE	G000410815	0.188167
SAMPLE	G001578075	0.201547
SAMPLE	G001777575	0.187159
SAMPLE	G000509225	0.174284
SAMPLE	G000170875	0.149869
SAMPLE	G001603075	0.159538
SAMPLE	G000385055	0.190039
SAMPLE	G000478585	0.178788
SAMPLE	G001791715	0.201918
SAMPLE	G001790435	0.205858
SAMPLE	G001516665	0.209288
SAMPLE	G000498355	0.205858
SAMPLE	G001582735	0.18263
SAMPLE	G000998865	0.209854
SAMPLE	G000160775	0.1717
SAMPLE	G900106745	0.181655
SAMPLE	G000980835	0.191232
SAMPLE	G000807255	0.196942
SAMPLE	G000195835	0.161222
SAMPLE	G000576635	0.126
SAMPLE	G000093085	0.178835
SAMPLE	G001783315	0.194994
SAMPLE	G001769045	0.21054
SAMPLE	G000202835	0.149349
SAMPLE	G000381345	0.159178
SAMPLE	G900109715	0.196878
SAMPLE	G001483845	0.19193
SAMPLE	G000152705	0.165706
SAMPLE	G900070165	0.18138
SAMPLE	G001803365	0.215902
SAMPLE	G000235565	0.211336
SAMPLE	G001774505	0.102383
SAMPLE	G000511135	0.212143
SAMPLE	G900113925	0.183293
SAMPLE	G000382385	0.215981
SAMPLE	G001536165	0.183262
SAMPLE	G000711795	0.191682
SAMPLE	G001746425	0.164801
SAMPLE	G900102185	0.188914
SAMPLE	G000634435	0.214164
SAMPLE	G000429465	0.19308
SAMPLE	G000014465	0.166026
SAMPLE	G001780535	0.157618
SAMPLE	G001781175	0.216652
SAMPLE	G001281525	0.187965
SAMPLE	G000434955	0.216994
SAMPLE	G000702425	0.195426
SAMPLE	G001693475	0.199684
SAMPLE	G000716675	0.151512
SAMPLE	G900111615	0.204873
SAMPLE	G001457455	0.174932
SAMPLE	G001189575	0.198752
SAMPLE	G000377705	0.204564
SAMPLE	G000725165	0.173384
SAMPLE	G000591035	0.197817
SAMPLE	G001654855	0.190516
SAMPLE	G001784555	0.213636
SAMPLE	G001421285	0.160254
