#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290863//.mixture_reads-bfVyAY.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000284235	0.160162
SAMPLE	G000619885	0.161103
SAMPLE	G001405615	0.141923
SAMPLE	G001598915	0.150691
SAMPLE	G000485905	0.132647
SAMPLE	G900061675	0.144502
SAMPLE	G900104675	0.132872
SAMPLE	G000761095	0.153003
SAMPLE	G000063525	0.125113
SAMPLE	G000328665	0.20014
SAMPLE	G001703975	0.144105
SAMPLE	G000745855	0.119866
SAMPLE	G001484685	0.205606
SAMPLE	G001591825	0.122837
SAMPLE	G001825065	0.225197
SAMPLE	G001750685	0.133433
SAMPLE	G001829715	0.218629
SAMPLE	G001587475	0.147357
SAMPLE	G001889105	0.125341
SAMPLE	G001587695	0.207192
SAMPLE	G000191925	0.149256
SAMPLE	G001424685	0.126722
SAMPLE	G001273495	0.212931
SAMPLE	G001263755	0.138294
SAMPLE	G001466415	0.15173
SAMPLE	G001920395	0.22517
SAMPLE	G000018305	0.195027
SAMPLE	G000177235	0.136257
SAMPLE	G000309945	0.132418
SAMPLE	G001779055	0.183037
SAMPLE	G001584645	0.150203
SAMPLE	G000992125	0.20472
SAMPLE	G001918845	0.225045
SAMPLE	G000429945	0.161447
SAMPLE	G000439105	0.180192
SAMPLE	G000718255	0.15131
SAMPLE	G000411375	0.139886
SAMPLE	G001437635	0.215475
SAMPLE	G001508535	0.197995
SAMPLE	G000463075	0.144356
SAMPLE	G000403035	0.135473
SAMPLE	G001508955	0.214512
SAMPLE	G000384935	0.156103
SAMPLE	G001653295	0.147105
SAMPLE	G002019735	0.137005
SAMPLE	G000376565	0.149761
SAMPLE	G000966265	0.199822
SAMPLE	G001789695	0.158466
SAMPLE	G001781355	0.201772
SAMPLE	G001685155	0.144841
SAMPLE	G001788195	0.159602
SAMPLE	G000424825	0.16675
SAMPLE	G001475935	0.126101
SAMPLE	G000568815	0.14566
SAMPLE	G000012565	0.146357
SAMPLE	G000703065	0.127135
SAMPLE	G900115855	0.175051
SAMPLE	G000989195	0.162266
SAMPLE	G001791375	0.216871
SAMPLE	G001804605	0.218958
SAMPLE	G001917065	0.218504
SAMPLE	G001776415	0.191149
SAMPLE	G000997145	0.22334
SAMPLE	G001825445	0.195155
SAMPLE	G001830325	0.216111
SAMPLE	G001014615	0.133099
SAMPLE	G000688475	0.146509
SAMPLE	G001457815	0.133464
SAMPLE	G000429645	0.141354
SAMPLE	G000310185	0.127568
SAMPLE	G001697225	0.125649
SAMPLE	G000410815	0.149144
SAMPLE	G001578075	0.1426
SAMPLE	G001777575	0.157813
SAMPLE	G000509225	0.150622
SAMPLE	G000170875	0.143019
SAMPLE	G001603075	0.166971
SAMPLE	G000385055	0.152276
SAMPLE	G000478585	0.152898
SAMPLE	G001791715	0.187846
SAMPLE	G001790435	0.192485
SAMPLE	G001516665	0.181031
SAMPLE	G000498355	0.160151
SAMPLE	G000160775	0.143563
SAMPLE	G001582735	0.143647
SAMPLE	G000998865	0.183932
SAMPLE	G900106745	0.134565
SAMPLE	G000195835	0.147738
SAMPLE	G000980835	0.15105
SAMPLE	G000807255	0.137471
SAMPLE	G000576635	0.158956
SAMPLE	G000093085	0.130306
SAMPLE	G001783315	0.178144
