#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290757//.mixture_reads-tb5ieW.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G001579945	0.193122
SAMPLE	G000196615	0.181188
SAMPLE	G000407505	0.124585
SAMPLE	G000760695	0.182151
SAMPLE	G000388175	0.153081
SAMPLE	G000990515	0.189529
SAMPLE	G000424265	0.156043
SAMPLE	G000143705	0.121521
SAMPLE	G000153485	0.141368
SAMPLE	G000019685	0.162332
SAMPLE	G001780385	0.132859
SAMPLE	G001654455	0.191603
SAMPLE	G001793945	0.187351
SAMPLE	G001803715	0.223147
SAMPLE	G000521505	0.175024
SAMPLE	G000091765	0.108137
SAMPLE	G001438655	0.131163
SAMPLE	G900095865	0.141705
SAMPLE	G001792545	0.220643
SAMPLE	G001438305	0.18344
SAMPLE	G001047095	0.140673
SAMPLE	G000155895	0.154214
SAMPLE	G001509335	0.130787
SAMPLE	G001656415	0.1311
SAMPLE	G000488275	0.130892
SAMPLE	G001430705	0.115225
SAMPLE	G000992255	0.205266
SAMPLE	G001797585	0.155243
SAMPLE	G001567175	0.13946
SAMPLE	G001508875	0.171928
SAMPLE	G000999595	0.193071
SAMPLE	G900156885	0.150652
SAMPLE	G001932775	0.136042
SAMPLE	G001482405	0.204929
SAMPLE	G000484635	0.199366
SAMPLE	G001295365	0.134905
SAMPLE	G000023145	0.158207
SAMPLE	G001512665	0.140456
SAMPLE	G001821165	0.181358
SAMPLE	G001781275	0.211893
SAMPLE	G000620985	0.126332
SAMPLE	G000313385	0.148991
SAMPLE	G001187615	0.151105
SAMPLE	G900103375	0.201543
SAMPLE	G001916635	0.208919
SAMPLE	G900101785	0.177485
SAMPLE	G000688115	0.187573
SAMPLE	G000166275	0.1458
SAMPLE	G000379845	0.211632
SAMPLE	G000435355	0.201734
SAMPLE	G000424385	0.194198
SAMPLE	G001820225	0.21147
SAMPLE	G000753855	0.137851
SAMPLE	G000691605	0.166878
SAMPLE	G001402795	0.14146
SAMPLE	G000438215	0.211109
SAMPLE	G000010425	0.175765
SAMPLE	G002021195	0.1757
SAMPLE	G000300135	0.12735
SAMPLE	G000346615	0.166708
SAMPLE	G000426505	0.195377
SAMPLE	G000381625	0.183133
SAMPLE	G000156335	0.197157
SAMPLE	G001458595	0.101263
SAMPLE	G000381025	0.157737
SAMPLE	G000093025	0.146494
SAMPLE	G000437335	0.197505
SAMPLE	G000092045	0.188398
SAMPLE	G001769315	0.190872
SAMPLE	G001315015	0.198459
SAMPLE	G001431725	0.182669
SAMPLE	G001438395	0.163538
SAMPLE	G000477955	0.133627
SAMPLE	G000169415	0.197868
SAMPLE	G000332195	0.134957
SAMPLE	G000402075	0.183705
SAMPLE	G001640045	0.145047
SAMPLE	G000010325	0.135742
SAMPLE	G002020935	0.16907
SAMPLE	G000346295	0.198102
SAMPLE	G001871895	0.201645
SAMPLE	G000255355	0.123375
SAMPLE	G000419585	0.211019
SAMPLE	G000186945	0.146404
SAMPLE	G000757785	0.190648
SAMPLE	G001824155	0.20907
SAMPLE	G001373415	0.149434
SAMPLE	G000739555	0.215314
SAMPLE	G001508335	0.158998
SAMPLE	G001438485	0.158776
SAMPLE	G000015685	0.114402
SAMPLE	G001273835	0.180634
SAMPLE	G000431455	0.178322
SAMPLE	G000215705	0.197398
SAMPLE	G900094785	0.126954
SAMPLE	G000238615	0.192174
SAMPLE	G001404335	0.165365
SAMPLE	G001818655	0.215223
SAMPLE	G001748365	0.124654
SAMPLE	G900048035	0.128056
SAMPLE	G000398305	0.225468
SAMPLE	G000582705	0.177214
SAMPLE	G000380965	0.20509
SAMPLE	G001001645	0.168164
SAMPLE	G000373745	0.202321
SAMPLE	G000963885	0.192361
SAMPLE	G000429225	0.188845
SAMPLE	G001780955	0.191896
SAMPLE	G000324305	0.162282
SAMPLE	G000017105	0.157971
SAMPLE	G001797745	0.206499
SAMPLE	G001434915	0.140692
SAMPLE	G000183325	0.184841
SAMPLE	G000439065	0.190232
SAMPLE	G000518805	0.206056
SAMPLE	G000721265	0.144378
SAMPLE	G001187785	0.195208
SAMPLE	G000285915	0.168851
SAMPLE	G001655195	0.205252
SAMPLE	G001705425	0.195121
SAMPLE	G001629395	0.204266
SAMPLE	G001542775	0.178749
SAMPLE	G900092645	0.188125
SAMPLE	G001512945	0.195538
SAMPLE	G000228845	0.216921
SAMPLE	G000746015	0.196665
SAMPLE	G000447755	0.211457
SAMPLE	G000312325	0.214859
SAMPLE	G000946815	0.140886
SAMPLE	G000381965	0.202281
SAMPLE	G000375465	0.149085
SAMPLE	G001795825	0.213112
SAMPLE	G001587695	0.222301
SAMPLE	G000238775	0.225038
SAMPLE	G001677115	0.132717
SAMPLE	G001793705	0.191876
SAMPLE	G001469535	0.142068
SAMPLE	G000429265	0.184364
SAMPLE	G000215505	0.152799
SAMPLE	G000421585	0.142227
SAMPLE	G000431135	0.209828
SAMPLE	G000158915	0.143594
SAMPLE	G000515275	0.163795
SAMPLE	G001405615	0.15712
SAMPLE	G000016285	0.184543
SAMPLE	G001436225	0.182345
SAMPLE	G001820985	0.2095
SAMPLE	G001780215	0.162775
SAMPLE	G000014425	0.114477
SAMPLE	G001782355	0.164409
SAMPLE	G000619905	0.18375
SAMPLE	G000438455	0.141057
SAMPLE	G001714585	0.12578
SAMPLE	G000007025	0.1333
SAMPLE	G001002095	0.173873
SAMPLE	G000381765	0.184012
SAMPLE	G000169155	0.15533
SAMPLE	G001829425	0.205939
SAMPLE	G001698225	0.174764
SAMPLE	G000424545	0.184737
SAMPLE	G001047375	0.127649
SAMPLE	G001577715	0.153837
SAMPLE	G000253395	0.114031
SAMPLE	G000218785	0.149143
SAMPLE	G000374485	0.1551
SAMPLE	G000980765	0.174796
SAMPLE	G000385115	0.140768
SAMPLE	G001771815	0.141717
SAMPLE	G001421175	0.204064
SAMPLE	G000204925	0.211416
SAMPLE	G000012345	0.137989
SAMPLE	G001795735	0.190724
SAMPLE	G001918335	0.211409
SAMPLE	G001817685	0.202989
SAMPLE	G001481675	0.120307
SAMPLE	G001434475	0.143253
SAMPLE	G001580015	0.194933
SAMPLE	G001552375	0.183809
SAMPLE	G000014445	0.132937
SAMPLE	G000475335	0.142709
SAMPLE	G001580615	0.190008
SAMPLE	G000415085	0.145084
SAMPLE	G001304105	0.20802
SAMPLE	G001457015	0.171403
SAMPLE	G000009065	0.157588
SAMPLE	G001308895	0.184033
SAMPLE	G000429665	0.201603
SAMPLE	G000317305	0.181488
SAMPLE	G900115365	0.139826
SAMPLE	G000011405	0.149029
SAMPLE	G001509345	0.155848
SAMPLE	G000758925	0.189374
SAMPLE	G001563305	0.20919
SAMPLE	G000784335	0.214661
SAMPLE	G000999585	0.221104
SAMPLE	G000189415	0.122994
SAMPLE	G000733475	0.136331
SAMPLE	G000317535	0.135768
SAMPLE	G000368625	0.138284
SAMPLE	G900061575	0.141538
SAMPLE	G000007385	0.191262
SAMPLE	G000738435	0.188853
SAMPLE	G000689395	0.188998
SAMPLE	G000429305	0.184231
SAMPLE	G001770125	0.214075
SAMPLE	G000335715	0.192665
SAMPLE	G000991445	0.180032
SAMPLE	G001820405	0.208686
SAMPLE	G900102905	0.20237
SAMPLE	G001872775	0.21827
SAMPLE	G000426605	0.185921
SAMPLE	G000833575	0.159392
SAMPLE	G001796415	0.223785
SAMPLE	G001821135	0.179972
SAMPLE	G001828345	0.185902
SAMPLE	G001747105	0.148964
SAMPLE	G001467825	0.13004
SAMPLE	G000688475	0.175897
SAMPLE	G000682755	0.18314
SAMPLE	G000829235	0.125526
SAMPLE	G000685395	0.220332
SAMPLE	G001010245	0.143807
SAMPLE	G001056295	0.181604
SAMPLE	G000768685	0.171113
SAMPLE	G000621865	0.121109
SAMPLE	G001436115	0.141916
SAMPLE	G001932235	0.13389
SAMPLE	G000934705	0.184709
SAMPLE	G000283555	0.119059
SAMPLE	G001945605	0.153004
SAMPLE	G000308275	0.163343
SAMPLE	G001304315	0.158773
SAMPLE	G000377505	0.196402
SAMPLE	G900116895	0.178676
SAMPLE	G000219725	0.154646
SAMPLE	G001780565	0.191958
SAMPLE	G001829035	0.20733
SAMPLE	G000493735	0.121728
SAMPLE	G000767055	0.170016
SAMPLE	G001790985	0.185584
SAMPLE	G001464665	0.195862
SAMPLE	G000686625	0.201215
SAMPLE	G000964305	0.151196
SAMPLE	G000270405	0.139631
SAMPLE	G000179615	0.16601
SAMPLE	G000733915	0.203521
SAMPLE	G000436055	0.196991
SAMPLE	G900102185	0.18516
SAMPLE	G000380065	0.195597
SAMPLE	G000260115	0.124659
SAMPLE	G001314905	0.204865
SAMPLE	G000013625	0.189982
SAMPLE	G000436675	0.20467
SAMPLE	G000971275	0.191991
SAMPLE	G000513975	0.206444
SAMPLE	G000425645	0.130012
SAMPLE	G001182745	0.182337
SAMPLE	G000436535	0.220515
SAMPLE	G000768875	0.171631
SAMPLE	G900106545	0.1603
SAMPLE	G000185845	0.211428
SAMPLE	G000226875	0.191612
SAMPLE	G000337695	0.214579
SAMPLE	G000709795	0.129239
SAMPLE	G001408335	0.178111
SAMPLE	G000332335	0.175924
SAMPLE	G000719025	0.177325
SAMPLE	G000233655	0.178335
SAMPLE	G001513425	0.208731
