#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290927//.mixture_reads-9q5wUZ.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000515275	0.164461
SAMPLE	G000619885	0.13865
SAMPLE	G001591825	0.169567
SAMPLE	G001598915	0.147826
SAMPLE	G000063525	0.151083
SAMPLE	G900061675	0.158413
SAMPLE	G900104675	0.148318
SAMPLE	G001783635	0.196994
SAMPLE	G000761095	0.187198
SAMPLE	G000328665	0.187058
SAMPLE	G001703975	0.14568
SAMPLE	G000745855	0.139828
SAMPLE	G001017485	0.177213
SAMPLE	G000485905	0.121826
SAMPLE	G001825065	0.207218
SAMPLE	G001750685	0.164555
SAMPLE	G001829715	0.176276
SAMPLE	G001587475	0.163499
SAMPLE	G001889105	0.127232
SAMPLE	G001587695	0.211084
SAMPLE	G000191925	0.175213
SAMPLE	G001424685	0.123953
SAMPLE	G001273495	0.193395
SAMPLE	G001263755	0.142973
SAMPLE	G001466415	0.179917
SAMPLE	G001920395	0.222496
SAMPLE	G000018305	0.197665
SAMPLE	G000177235	0.169491
SAMPLE	G000309945	0.165571
SAMPLE	G001779055	0.220427
SAMPLE	G001584645	0.147646
SAMPLE	G000992125	0.216938
SAMPLE	G001918845	0.206939
SAMPLE	G000429945	0.167521
SAMPLE	G000439105	0.201959
SAMPLE	G000718255	0.151193
SAMPLE	G000411375	0.143159
SAMPLE	G001437635	0.196472
SAMPLE	G001508535	0.197983
SAMPLE	G000463075	0.162922
SAMPLE	G000403035	0.145394
SAMPLE	G001508955	0.213065
SAMPLE	G000384935	0.161562
SAMPLE	G001653295	0.151884
SAMPLE	G002019735	0.167131
SAMPLE	G000376565	0.148403
SAMPLE	G001789695	0.194725
SAMPLE	G001781355	0.21488
SAMPLE	G000966265	0.198419
SAMPLE	G001685155	0.153461
SAMPLE	G001788195	0.201761
SAMPLE	G000424825	0.167393
SAMPLE	G001475935	0.129122
SAMPLE	G000568815	0.160804
SAMPLE	G000012565	0.184847
SAMPLE	G000703065	0.134068
SAMPLE	G900115855	0.188406
SAMPLE	G000989195	0.180328
SAMPLE	G001791375	0.2252
SAMPLE	G001804605	0.222143
SAMPLE	G001917065	0.206426
SAMPLE	G001776415	0.22269
SAMPLE	G000997145	0.207488
SAMPLE	G001825445	0.203217
SAMPLE	G001830325	0.181418
SAMPLE	G001014615	0.13335
SAMPLE	G000688475	0.159381
SAMPLE	G001457815	0.137372
SAMPLE	G000429645	0.127315
SAMPLE	G000310185	0.123051
SAMPLE	G001697225	0.114303
SAMPLE	G000410815	0.158132
SAMPLE	G001578075	0.171026
SAMPLE	G001777575	0.154568
SAMPLE	G000509225	0.155248
SAMPLE	G000170875	0.138627
SAMPLE	G001603075	0.150359
SAMPLE	G000385055	0.161911
SAMPLE	G000478585	0.156596
SAMPLE	G001791715	0.194994
SAMPLE	G001790435	0.186463
SAMPLE	G001516665	0.134972
SAMPLE	G000498355	0.189188
SAMPLE	G000160775	0.152224
SAMPLE	G001582735	0.160007
SAMPLE	G000998865	0.175728
SAMPLE	G900106745	0.172421
SAMPLE	G000807255	0.178002
SAMPLE	G000980835	0.162875
SAMPLE	G000195835	0.137558
SAMPLE	G000576635	0.0941408
SAMPLE	G000093085	0.15289
SAMPLE	G001783315	0.194452
SAMPLE	G000202835	0.13028
SAMPLE	G000381345	0.135756
SAMPLE	G001769045	0.20903
SAMPLE	G900109715	0.173661
SAMPLE	G001483845	0.160034
SAMPLE	G000152705	0.150781
SAMPLE	G900070165	0.154963
SAMPLE	G001803365	0.215847
SAMPLE	G000235565	0.161664
SAMPLE	G001774505	0.105243
SAMPLE	G000511135	0.200597
SAMPLE	G900113925	0.151056
SAMPLE	G000382385	0.189006
SAMPLE	G001536165	0.158054
SAMPLE	G000711795	0.193466
SAMPLE	G900102185	0.152954
SAMPLE	G001746425	0.147245
SAMPLE	G000429465	0.167461
SAMPLE	G000634435	0.211024
SAMPLE	G000014465	0.146991
SAMPLE	G001780535	0.164144
SAMPLE	G001781175	0.216068
SAMPLE	G001281525	0.167907
SAMPLE	G001773425	0.204346
SAMPLE	G000716675	0.151684
SAMPLE	G000702425	0.177969
SAMPLE	G001693475	0.183503
SAMPLE	G000434955	0.215431
SAMPLE	G900111615	0.183629
SAMPLE	G001457455	0.152926
SAMPLE	G001189575	0.179408
SAMPLE	G000377705	0.205479
SAMPLE	G000725165	0.152257
SAMPLE	G000591035	0.173657
SAMPLE	G001784555	0.198881
SAMPLE	G001654855	0.162872
SAMPLE	G001421285	0.141538
SAMPLE	G002007825	0.167629
SAMPLE	G001652465	0.140214
SAMPLE	G001656095	0.155138
SAMPLE	G900078795	0.171267
SAMPLE	G000406925	0.158539
SAMPLE	G001798155	0.202723
SAMPLE	G001005825	0.136517
SAMPLE	G000389965	0.139154
SAMPLE	G000294675	0.163614
SAMPLE	G001869815	0.164847
SAMPLE	G000812685	0.160076
SAMPLE	G000764205	0.160412
SAMPLE	G900095305	0.186925
SAMPLE	G000488255	0.137192
SAMPLE	G000190415	0.152953
SAMPLE	G001787615	0.173341
SAMPLE	G000829515	0.167898
SAMPLE	G001772535	0.21318
SAMPLE	G001494635	0.133381
SAMPLE	G001821035	0.198259
SAMPLE	G001418575	0.153884
SAMPLE	G001576965	0.205644
SAMPLE	G900109475	0.202696
SAMPLE	G001704955	0.152263
SAMPLE	G000970735	0.165795
SAMPLE	G000981545	0.127862
SAMPLE	G001782645	0.185746
SAMPLE	G000153345	0.16409
SAMPLE	G000828915	0.140898
SAMPLE	G001897605	0.202815
SAMPLE	G001469005	0.218281
SAMPLE	G000730285	0.178582
SAMPLE	G001542405	0.12525
SAMPLE	G000006865	0.158257
SAMPLE	G001781965	0.212683
SAMPLE	G001822415	0.203181
