#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290754//.mixture_reads-bCUoqa.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.224835
SAMPLE	G000619885	0.172338
SAMPLE	G000426445	0.176048
SAMPLE	G001598915	0.168768
SAMPLE	G000515275	0.142264
SAMPLE	G900061675	0.115687
SAMPLE	G900104675	0.146754
SAMPLE	G001405615	0.13214
SAMPLE	G000063525	0.147232
SAMPLE	G000328665	0.213755
SAMPLE	G001703975	0.133883
SAMPLE	G000745855	0.200689
SAMPLE	G001591825	0.114302
SAMPLE	G001017485	0.0998917
SAMPLE	G001829715	0.184668
SAMPLE	G001750685	0.10855
SAMPLE	G001825065	0.213943
SAMPLE	G000485905	0.171671
SAMPLE	G001587475	0.142821
SAMPLE	G001889105	0.178561
SAMPLE	G001587695	0.217556
SAMPLE	G000191925	0.148861
SAMPLE	G001424685	0.196225
SAMPLE	G001273495	0.200472
SAMPLE	G001263755	0.1245
SAMPLE	G001466415	0.15045
SAMPLE	G000018305	0.217157
SAMPLE	G000177235	0.110468
SAMPLE	G001779055	0.18165
SAMPLE	G000309945	0.120013
SAMPLE	G001918845	0.203039
SAMPLE	G000992125	0.155669
SAMPLE	G001584645	0.119726
SAMPLE	G000429945	0.144708
SAMPLE	G000439105	0.107391
SAMPLE	G000718255	0.174827
SAMPLE	G000411375	0.140958
SAMPLE	G001437635	0.18719
SAMPLE	G001508535	0.172027
SAMPLE	G000463075	0.12215
SAMPLE	G000403035	0.12348
SAMPLE	G001508955	0.135066
SAMPLE	G000384935	0.122885
SAMPLE	G001653295	0.0926566
SAMPLE	G002019735	0.112924
SAMPLE	G000376565	0.122009
SAMPLE	G000966265	0.209126
SAMPLE	G001781355	0.205724
SAMPLE	G001789695	0.193406
SAMPLE	G001685155	0.130116
SAMPLE	G001788195	0.158051
SAMPLE	G000424825	0.147874
SAMPLE	G001475935	0.192281
SAMPLE	G000568815	0.129264
SAMPLE	G000012565	0.135536
SAMPLE	G000703065	0.142222
SAMPLE	G900115855	0.201472
SAMPLE	G001791375	0.196231
SAMPLE	G000989195	0.14914
SAMPLE	G001804605	0.211762
SAMPLE	G001917065	0.208036
SAMPLE	G001776415	0.189057
SAMPLE	G000997145	0.202749
SAMPLE	G001825445	0.187896
SAMPLE	G001830325	0.118627
SAMPLE	G001014615	0.189785
SAMPLE	G000688475	0.166109
SAMPLE	G000429645	0.201341
SAMPLE	G001457815	0.130587
SAMPLE	G000310185	0.193082
SAMPLE	G001697225	0.191892
SAMPLE	G000410815	0.144904
SAMPLE	G001578075	0.123911
SAMPLE	G001777575	0.169647
SAMPLE	G000509225	0.145408
SAMPLE	G000170875	0.172502
SAMPLE	G001603075	0.199607
SAMPLE	G000385055	0.12381
SAMPLE	G000478585	0.115329
SAMPLE	G001791715	0.195267
SAMPLE	G001790435	0.16664
SAMPLE	G001516665	0.218927
SAMPLE	G000498355	0.11319
