#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290928//.mixture_reads-BDPd0L.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000761095	0.203792
SAMPLE	G000619885	0.163018
SAMPLE	G000515275	0.179916
SAMPLE	G001598915	0.153809
SAMPLE	G000485905	0.155183
SAMPLE	G900061675	0.180639
SAMPLE	G900104675	0.164318
SAMPLE	G000428565	0.211677
SAMPLE	G001591825	0.190751
SAMPLE	G000328665	0.169349
SAMPLE	G001703975	0.179153
SAMPLE	G000745855	0.14635
SAMPLE	G001017485	0.192745
SAMPLE	G001405615	0.189138
SAMPLE	G001829715	0.202412
SAMPLE	G001750685	0.190349
SAMPLE	G001825065	0.212176
SAMPLE	G001587475	0.17972
SAMPLE	G001889105	0.12506
SAMPLE	G001587695	0.217929
SAMPLE	G001273495	0.203291
SAMPLE	G001424685	0.160324
SAMPLE	G000191925	0.191195
SAMPLE	G001263755	0.162767
SAMPLE	G001466415	0.190546
SAMPLE	G001920395	0.22517
SAMPLE	G000018305	0.177226
SAMPLE	G000177235	0.195196
SAMPLE	G000309945	0.172626
SAMPLE	G001779055	0.221079
SAMPLE	G001918845	0.224963
SAMPLE	G001584645	0.175669
SAMPLE	G000992125	0.204811
SAMPLE	G000429945	0.196606
SAMPLE	G000439105	0.214186
SAMPLE	G000718255	0.167467
SAMPLE	G000411375	0.160436
SAMPLE	G001437635	0.210013
SAMPLE	G001508535	0.131261
SAMPLE	G000463075	0.16932
SAMPLE	G000403035	0.164955
SAMPLE	G001508955	0.222552
SAMPLE	G000384935	0.183346
SAMPLE	G001653295	0.15999
SAMPLE	G002019735	0.187717
SAMPLE	G000376565	0.155826
SAMPLE	G001789695	0.206082
SAMPLE	G000966265	0.183858
SAMPLE	G001781355	0.214001
SAMPLE	G001685155	0.179495
SAMPLE	G001788195	0.218127
SAMPLE	G000424825	0.187353
SAMPLE	G001475935	0.143622
SAMPLE	G000568815	0.187176
SAMPLE	G000012565	0.202888
SAMPLE	G000703065	0.152391
SAMPLE	G900115855	0.201233
SAMPLE	G000989195	0.202311
SAMPLE	G001791375	0.224899
SAMPLE	G001804605	0.223301
SAMPLE	G001917065	0.206509
SAMPLE	G001776415	0.216442
SAMPLE	G000997145	0.211378
SAMPLE	G001825445	0.208416
SAMPLE	G001830325	0.199115
SAMPLE	G001014615	0.139874
SAMPLE	G000688475	0.17338
SAMPLE	G001457815	0.152315
SAMPLE	G000429645	0.160404
SAMPLE	G000310185	0.134868
SAMPLE	G001697225	0.117731
SAMPLE	G001777575	0.200724
SAMPLE	G001578075	0.192549
SAMPLE	G000410815	0.189141
SAMPLE	G000509225	0.171666
SAMPLE	G000170875	0.140694
SAMPLE	G001603075	0.146077
SAMPLE	G000385055	0.184733
SAMPLE	G000478585	0.18071
SAMPLE	G001791715	0.202675
SAMPLE	G001790435	0.206608
SAMPLE	G001516665	0.18831
SAMPLE	G000498355	0.210657
SAMPLE	G001582735	0.18597
SAMPLE	G000998865	0.193892
SAMPLE	G000160775	0.15786
SAMPLE	G900106745	0.185182
SAMPLE	G000807255	0.19877
SAMPLE	G000980835	0.185343
SAMPLE	G000195835	0.153509
SAMPLE	G000576635	0.100495
SAMPLE	G000093085	0.17405
SAMPLE	G001783315	0.204159
SAMPLE	G001769045	0.207639
SAMPLE	G000381345	0.140204
SAMPLE	G000202835	0.137606
SAMPLE	G900109715	0.187822
SAMPLE	G001483845	0.19384
SAMPLE	G000235565	0.155359
SAMPLE	G900070165	0.184684
SAMPLE	G001803365	0.218494
