#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290737//.mixture_reads-c7GjL2.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.211593
SAMPLE	G000619885	0.16579
SAMPLE	G000284235	0.135513
SAMPLE	G001598915	0.157362
SAMPLE	G001405615	0.125198
SAMPLE	G900061675	0.119769
SAMPLE	G900104675	0.145138
SAMPLE	G001783635	0.1948
SAMPLE	G000063525	0.137782
SAMPLE	G000328665	0.212921
SAMPLE	G001703975	0.132074
SAMPLE	G000745855	0.202325
SAMPLE	G001591825	0.112342
SAMPLE	G001017485	0.109184
SAMPLE	G001829715	0.211282
SAMPLE	G001750685	0.118571
SAMPLE	G001825065	0.195013
SAMPLE	G000485905	0.161192
SAMPLE	G001889105	0.175492
SAMPLE	G001587475	0.130395
SAMPLE	G001587695	0.221001
SAMPLE	G000191925	0.148039
SAMPLE	G001424685	0.195978
SAMPLE	G001273495	0.201836
SAMPLE	G001263755	0.112944
SAMPLE	G001466415	0.144574
SAMPLE	G001920395	0.200764
SAMPLE	G000018305	0.215021
SAMPLE	G000177235	0.115852
SAMPLE	G000309945	0.124139
SAMPLE	G001779055	0.185857
SAMPLE	G001918845	0.207272
SAMPLE	G001584645	0.124105
SAMPLE	G000992125	0.157464
SAMPLE	G000429945	0.147964
SAMPLE	G000439105	0.111989
SAMPLE	G000718255	0.173656
SAMPLE	G000411375	0.122622
SAMPLE	G001437635	0.17827
SAMPLE	G001508535	0.192187
SAMPLE	G000463075	0.124385
SAMPLE	G000403035	0.127503
SAMPLE	G001508955	0.107758
SAMPLE	G000384935	0.128361
SAMPLE	G001653295	0.0851411
SAMPLE	G002019735	0.122693
SAMPLE	G000376565	0.124791
SAMPLE	G000966265	0.206885
SAMPLE	G001781355	0.201589
SAMPLE	G001789695	0.174785
SAMPLE	G001685155	0.108066
SAMPLE	G001788195	0.121899
SAMPLE	G000424825	0.148865
SAMPLE	G001475935	0.188751
SAMPLE	G000568815	0.137493
SAMPLE	G000012565	0.137819
SAMPLE	G000703065	0.133616
SAMPLE	G900115855	0.181825
SAMPLE	G000989195	0.153875
SAMPLE	G001791375	0.202283
SAMPLE	G001804605	0.19227
SAMPLE	G001917065	0.204365
SAMPLE	G001776415	0.185594
SAMPLE	G000997145	0.223034
SAMPLE	G001825445	0.189466
SAMPLE	G001830325	0.118022
SAMPLE	G001014615	0.18703
SAMPLE	G000688475	0.157228
SAMPLE	G001457815	0.136269
SAMPLE	G000429645	0.193338
SAMPLE	G000310185	0.194191
SAMPLE	G001697225	0.189978
SAMPLE	G001777575	0.166574
SAMPLE	G001578075	0.131699
SAMPLE	G000410815	0.147881
SAMPLE	G000509225	0.134704
SAMPLE	G001603075	0.200248
SAMPLE	G000170875	0.163332
SAMPLE	G000385055	0.128071
SAMPLE	G000478585	0.12327
SAMPLE	G001791715	0.189958
SAMPLE	G001790435	0.164237
SAMPLE	G001516665	0.213314
SAMPLE	G000498355	0.120641
SAMPLE	G000160775	0.162801
SAMPLE	G001582735	0.119577
SAMPLE	G000998865	0.182408
SAMPLE	G900106745	0.163224
SAMPLE	G000195835	0.161078
SAMPLE	G000980835	0.0831415
SAMPLE	G000807255	0.11533
SAMPLE	G000576635	0.195886
SAMPLE	G000093085	0.120068
SAMPLE	G001783315	0.169806
SAMPLE	G000202835	0.196009
SAMPLE	G000381345	0.191793
SAMPLE	G000235565	0.217061
SAMPLE	G000152705	0.15121
SAMPLE	G001483845	0.136466
SAMPLE	G900109715	0.102176
SAMPLE	G900070165	0.117686
SAMPLE	G001803365	0.211557
SAMPLE	G001769045	0.214102
SAMPLE	G001774505	0.216447
SAMPLE	G000511135	0.186225
SAMPLE	G900113925	0.135281
SAMPLE	G000382385	0.175982
SAMPLE	G001536165	0.137808
SAMPLE	G900102185	0.158671
SAMPLE	G001746425	0.130566
SAMPLE	G000711795	0.202988
SAMPLE	G000429465	0.149992
SAMPLE	G000634435	0.225295
SAMPLE	G000014465	0.124066
SAMPLE	G001780535	0.186042
SAMPLE	G001781175	0.179036
SAMPLE	G001281525	0.112323
SAMPLE	G000716675	0.134043
SAMPLE	G000434955	0.216902
SAMPLE	G001693475	0.130749
SAMPLE	G000702425	0.140332
SAMPLE	G900111615	0.123107
SAMPLE	G001457455	0.0885906
SAMPLE	G000377705	0.185172
SAMPLE	G001189575	0.118443
SAMPLE	G000591035	0.205387
SAMPLE	G000725165	0.122628
SAMPLE	G001784555	0.0849594
SAMPLE	G001654855	0.1218
SAMPLE	G001421285	0.193293
SAMPLE	G002007825	0.149673
SAMPLE	G001652465	0.145392
SAMPLE	G001656095	0.126479
SAMPLE	G900078795	0.159467
SAMPLE	G000406925	0.118394
SAMPLE	G001798155	0.192191
SAMPLE	G000389965	0.162261
SAMPLE	G001005825	0.17831
SAMPLE	G000294675	0.126529
SAMPLE	G001869815	0.137073
SAMPLE	G000812685	0.14719
SAMPLE	G000764205	0.109692
SAMPLE	G900095305	0.124659
SAMPLE	G000488255	0.124912
SAMPLE	G000190415	0.135988
SAMPLE	G000829515	0.121196
SAMPLE	G001787615	0.166989
SAMPLE	G001494635	0.154331
SAMPLE	G001821035	0.195759
SAMPLE	G001418575	0.152268
SAMPLE	G001576965	0.207624
SAMPLE	G900109475	0.176148
SAMPLE	G001704955	0.124815
SAMPLE	G000981545	0.14152
SAMPLE	G000970735	0.109577
SAMPLE	G001782645	0.131159
SAMPLE	G000153345	0.148644
SAMPLE	G000828915	0.188419
SAMPLE	G001897605	0.221714
SAMPLE	G001469005	0.205391
SAMPLE	G001302685	0.209467
SAMPLE	G000730285	0.207195
SAMPLE	G001542405	0.170365
SAMPLE	G000006865	0.117243
SAMPLE	G001781965	0.225612
SAMPLE	G001822415	0.188295
SAMPLE	G001821245	0.187384
SAMPLE	G001927245	0.198078
SAMPLE	G001316265	0.195671
SAMPLE	G001627075	0.195605
SAMPLE	G000698145	0.123847
SAMPLE	G000007765	0.142119
SAMPLE	G001437435	0.12123
SAMPLE	G000991735	0.185366
SAMPLE	G001574705	0.138652
SAMPLE	G000378005	0.158792
SAMPLE	G000751295	0.19754
SAMPLE	G001606025	0.134588
SAMPLE	G000426725	0.151685
