#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290867//.mixture_reads-BGMlTX.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.183065
SAMPLE	G000619885	0.164366
SAMPLE	G000515275	0.13619
SAMPLE	G001598915	0.150419
SAMPLE	G000063525	0.121338
SAMPLE	G900061675	0.145752
SAMPLE	G900104675	0.132759
SAMPLE	G001591825	0.123844
SAMPLE	G000426445	0.169816
SAMPLE	G000328665	0.195901
SAMPLE	G001703975	0.136501
SAMPLE	G000745855	0.127944
SAMPLE	G001405615	0.136623
SAMPLE	G001484685	0.205293
SAMPLE	G001829715	0.223016
SAMPLE	G001750685	0.12788
SAMPLE	G001825065	0.218619
SAMPLE	G001017485	0.130255
SAMPLE	G001889105	0.127455
SAMPLE	G001587475	0.13568
SAMPLE	G001587695	0.210372
SAMPLE	G000191925	0.153839
SAMPLE	G001424685	0.137129
SAMPLE	G001273495	0.216727
SAMPLE	G001263755	0.144126
SAMPLE	G001466415	0.152268
SAMPLE	G001920395	0.225038
SAMPLE	G000018305	0.202337
SAMPLE	G000177235	0.129182
SAMPLE	G000309945	0.125401
SAMPLE	G001779055	0.206061
SAMPLE	G001584645	0.146752
SAMPLE	G000992125	0.222317
SAMPLE	G001918845	0.224912
SAMPLE	G000429945	0.140559
SAMPLE	G000439105	0.176624
SAMPLE	G000718255	0.155031
SAMPLE	G000411375	0.141545
SAMPLE	G001437635	0.207656
SAMPLE	G001508535	0.185676
SAMPLE	G000463075	0.142345
SAMPLE	G000403035	0.127711
SAMPLE	G001508955	0.209607
SAMPLE	G000384935	0.158865
SAMPLE	G001653295	0.150926
SAMPLE	G002019735	0.127663
SAMPLE	G001789695	0.155009
SAMPLE	G000376565	0.151034
SAMPLE	G001781355	0.193153
SAMPLE	G000966265	0.202319
SAMPLE	G001685155	0.146289
SAMPLE	G001788195	0.158052
SAMPLE	G000424825	0.168688
SAMPLE	G001475935	0.133838
SAMPLE	G000568815	0.15215
SAMPLE	G000012565	0.155627
SAMPLE	G000703065	0.118764
SAMPLE	G900115855	0.160914
SAMPLE	G000989195	0.167739
SAMPLE	G001791375	0.215632
SAMPLE	G001804605	0.221506
SAMPLE	G001917065	0.212154
SAMPLE	G001776415	0.182872
SAMPLE	G000997145	0.212034
SAMPLE	G001825445	0.192261
SAMPLE	G001830325	0.204376
SAMPLE	G001014615	0.139218
SAMPLE	G000688475	0.147938
SAMPLE	G000429645	0.127033
SAMPLE	G001457815	0.133
SAMPLE	G000310185	0.134341
SAMPLE	G001697225	0.12129
SAMPLE	G000410815	0.146945
SAMPLE	G001578075	0.129151
SAMPLE	G001777575	0.173523
SAMPLE	G000509225	0.139747
SAMPLE	G000170875	0.14603
SAMPLE	G001603075	0.167148
SAMPLE	G000385055	0.156539
SAMPLE	G000478585	0.140684
SAMPLE	G001791715	0.190933
SAMPLE	G001790435	0.185054
SAMPLE	G001516665	0.186154
SAMPLE	G000498355	0.154557
SAMPLE	G000160775	0.146206
SAMPLE	G001582735	0.146226
SAMPLE	G000998865	0.171753
SAMPLE	G900106745	0.142892
SAMPLE	G000807255	0.123884
SAMPLE	G000195835	0.150648
SAMPLE	G000980835	0.154527
SAMPLE	G000576635	0.147687
SAMPLE	G000093085	0.129343
SAMPLE	G001783315	0.167848
SAMPLE	G000235565	0.190338
SAMPLE	G000202835	0.129079
SAMPLE	G000381345	0.125356
SAMPLE	G900109715	0.124244
SAMPLE	G001483845	0.137175
SAMPLE	G000152705	0.135368
SAMPLE	G900070165	0.142961
SAMPLE	G001803365	0.215217
SAMPLE	G001769045	0.208778
SAMPLE	G000511135	0.190388
SAMPLE	G900113925	0.131557
SAMPLE	G000382385	0.176799
SAMPLE	G001536165	0.135129
SAMPLE	G900102185	0.127706
SAMPLE	G001746425	0.141464
SAMPLE	G000711795	0.209287
SAMPLE	G000634435	0.218862
SAMPLE	G000429465	0.149766
SAMPLE	G000014465	0.0816748
SAMPLE	G001780535	0.160213
SAMPLE	G001781175	0.220174
SAMPLE	G001281525	0.120345
SAMPLE	G001773425	0.22445
SAMPLE	G000716675	0.145356
SAMPLE	G000702425	0.132385
SAMPLE	G001693475	0.163225
SAMPLE	G000434955	0.208943
SAMPLE	G900111615	0.120868
SAMPLE	G001457455	0.149346
SAMPLE	G001189575	0.139815
SAMPLE	G000377705	0.20715
SAMPLE	G000725165	0.155247
SAMPLE	G000591035	0.178019
SAMPLE	G001654855	0.17151
SAMPLE	G001784555	0.205144
SAMPLE	G001421285	0.158282
SAMPLE	G002007825	0.150951
SAMPLE	G001652465	0.131303
SAMPLE	G001656095	0.152679
SAMPLE	G900078795	0.148274
SAMPLE	G000406925	0.135295
SAMPLE	G001798155	0.212644
SAMPLE	G000389965	0.147095
SAMPLE	G001005825	0.130991
SAMPLE	G001869815	0.00248069
SAMPLE	G000294675	0.133126
SAMPLE	G000812685	0.161422
SAMPLE	G000764205	0.160678
SAMPLE	G900095305	0.137098
SAMPLE	G000829515	0.129398
SAMPLE	G000488255	0.145049
SAMPLE	G000190415	0.148237
SAMPLE	G001787615	0.163757
SAMPLE	G001772535	0.211588
SAMPLE	G001494635	0.132727
SAMPLE	G001821035	0.179493
SAMPLE	G001418575	0.14587
SAMPLE	G001576965	0.221498
SAMPLE	G900109475	0.172527
SAMPLE	G001704955	0.12437
