#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290855//.mixture_reads-HWRLSV.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000980895	0.147634
SAMPLE	G001785615	0.189896
SAMPLE	G000436855	0.214216
SAMPLE	G000447675	0.153593
SAMPLE	G001292585	0.16545
SAMPLE	G001591905	0.125073
SAMPLE	G000164985	0.130353
SAMPLE	G000420945	0.196398
SAMPLE	G900142085	0.137979
SAMPLE	G000073005	0.145206
SAMPLE	G001791745	0.160866
SAMPLE	G000994625	0.193759
SAMPLE	G001423135	0.141839
SAMPLE	G001823695	0.195667
SAMPLE	G000996555	0.179424
SAMPLE	G001803505	0.165489
SAMPLE	G001789635	0.170697
SAMPLE	G001000475	0.177952
SAMPLE	G000247545	0.160094
SAMPLE	G000789415	0.21155
SAMPLE	G001779955	0.207439
SAMPLE	G000423305	0.13436
SAMPLE	G001769835	0.188826
SAMPLE	G900107125	0.132742
SAMPLE	G000092305	0.168259
SAMPLE	G001404695	0.129742
SAMPLE	G001787335	0.126112
SAMPLE	G000797495	0.125248
SAMPLE	G001559035	0.135953
SAMPLE	G001829875	0.213286
SAMPLE	G001919105	0.221445
SAMPLE	G000025965	0.134115
SAMPLE	G000488195	0.154863
SAMPLE	G000161895	0.130612
SAMPLE	G000219585	0.130134
SAMPLE	G000424605	0.21143
SAMPLE	G000191725	0.132937
SAMPLE	G001872925	0.189457
SAMPLE	G001627815	0.225167
SAMPLE	G002011815	0.207015
SAMPLE	G000735695	0.14372
SAMPLE	G001434935	0.0851209
SAMPLE	G001548455	0.124087
SAMPLE	G000175835	0.215932
SAMPLE	G000813145	0.137775
SAMPLE	G001708975	0.134196
SAMPLE	G000248015	0.162985
SAMPLE	G000523275	0.132211
SAMPLE	G000996975	0.184164
SAMPLE	G000009765	0.134413
SAMPLE	G001823375	0.184008
SAMPLE	G000498295	0.135852
SAMPLE	G001789805	0.168188
SAMPLE	G001414235	0.136475
SAMPLE	G000025345	0.135048
SAMPLE	G000518105	0.144465
SAMPLE	G001778315	0.186063
SAMPLE	G001894865	0.144395
SAMPLE	G000297395	0.141254
SAMPLE	G001868105	0.00263144
SAMPLE	G000484505	0.127506
SAMPLE	G900142455	0.15145
SAMPLE	G000993595	0.155907
SAMPLE	G000309705	0.162155
SAMPLE	G900141875	0.151887
SAMPLE	G001773225	0.177755
SAMPLE	G001518815	0.141646
SAMPLE	G001788095	0.153697
SAMPLE	G000179235	0.216972
SAMPLE	G001683355	0.150389
SAMPLE	G000760375	0.131564
SAMPLE	G000999945	0.182649
SAMPLE	G001790155	0.128051
SAMPLE	G000435955	0.168909
SAMPLE	G000710465	0.140804
SAMPLE	G001508795	0.172023
SAMPLE	G900101065	0.125416
SAMPLE	G000424465	0.172889
SAMPLE	G000298175	0.135222
SAMPLE	G000383875	0.200185
SAMPLE	G900053355	0.143865
SAMPLE	G000281085	0.155139
SAMPLE	G001771625	0.140768
SAMPLE	G001916865	0.175241
SAMPLE	G000213295	0.210916
SAMPLE	G001465875	0.136349
SAMPLE	G000157355	0.127374
SAMPLE	G000743525	0.133894
SAMPLE	G001779145	0.162501
SAMPLE	G001787315	0.199728
SAMPLE	G000973005	0.136525
SAMPLE	G000307245	0.219883
SAMPLE	G001262035	0.146813
SAMPLE	G000154225	0.130841
SAMPLE	G001187435	0.136496
SAMPLE	G001799575	0.177162
SAMPLE	G000614105	0.14567
SAMPLE	G001812065	0.134787
SAMPLE	G001039275	0.126345
SAMPLE	G000238055	0.115489
SAMPLE	G000620065	0.124151
SAMPLE	G000973625	0.144374
SAMPLE	G001805135	0.206725
SAMPLE	G001776275	0.212603
SAMPLE	G001536105	0.134821
SAMPLE	G000252955	0.157229
SAMPLE	G001044495	0.131174
SAMPLE	G000325285	0.173067
SAMPLE	G000260835	0.158521
SAMPLE	G001433915	0.136264
SAMPLE	G000368585	0.144559
SAMPLE	G000196035	0.126639
SAMPLE	G001601815	0.177515
SAMPLE	G000378405	0.14274
SAMPLE	G000686145	0.134953
SAMPLE	G000310145	0.132626
SAMPLE	G000992905	0.192443
SAMPLE	G000154805	0.140682
SAMPLE	G001781725	0.195759
SAMPLE	G001868185	0.00250093
SAMPLE	G001436215	0.126231
SAMPLE	G900115595	0.145599
SAMPLE	G000009305	0.130268
SAMPLE	G002021315	0.138951
SAMPLE	G001690445	0.164262
SAMPLE	G001428565	0.144201
SAMPLE	G001516655	0.151787
SAMPLE	G000344805	0.141742
SAMPLE	G000789395	0.12615
SAMPLE	G001430885	0.158921
SAMPLE	G000374465	0.134017
SAMPLE	G000153765	0.12975
SAMPLE	G000550805	0.141769
SAMPLE	G000389635	0.132548
SAMPLE	G000803105	0.15873
SAMPLE	G000424205	0.138056
SAMPLE	G000374565	0.175533
SAMPLE	G000472805	0.186672
SAMPLE	G000685805	0.146876
SAMPLE	G000717175	0.131157
SAMPLE	G000403315	0.122915
SAMPLE	G900156125	0.115404
SAMPLE	G001049355	0.156708
SAMPLE	G001286805	0.134388
SAMPLE	G900111405	0.159818
SAMPLE	G000635515	0.218305
SAMPLE	G000737535	0.12221
SAMPLE	G000414465	0.207457
SAMPLE	G000312725	0.129872
SAMPLE	G001567105	0.132313
SAMPLE	G000284155	0.152739
SAMPLE	G001629155	0.191485
SAMPLE	G001427925	0.178588
SAMPLE	G000746745	0.210358
SAMPLE	G000373665	0.184734
SAMPLE	G000341895	0.151621
SAMPLE	G000215105	0.132723
SAMPLE	G000700845	0.139573
SAMPLE	G001039575	0.14481
SAMPLE	G001751005	0.217532
SAMPLE	G000297255	0.13402
SAMPLE	G000007345	0.189785
SAMPLE	G001002585	0.222028
SAMPLE	G001656275	0.146463
SAMPLE	G900116415	0.158307
SAMPLE	G001318405	0.13937
SAMPLE	G000495505	0.131519
SAMPLE	G001460935	0.138717
SAMPLE	G001814805	0.125063
SAMPLE	G001587505	0.132145
SAMPLE	G000436075	0.213015
SAMPLE	G001932955	0.131004
SAMPLE	G001462255	0.213941
SAMPLE	G001426665	0.135159
SAMPLE	G001552455	0.135043
SAMPLE	G001586255	0.133966
SAMPLE	G000746875	0.139593
SAMPLE	G001873485	0.200443
SAMPLE	G000802205	0.192858
SAMPLE	G000758775	0.128817
SAMPLE	G000938285	0.146859
SAMPLE	G001425465	0.138164
SAMPLE	G002017915	0.133036
SAMPLE	G000964095	0.15457
SAMPLE	G000550765	0.128817
SAMPLE	G000431095	0.192903
SAMPLE	G000344785	0.146235
SAMPLE	G001820775	0.199264
SAMPLE	G001464625	0.208667
SAMPLE	G001676155	0.170343
SAMPLE	G001805005	0.211614
SAMPLE	G001782805	0.159509
SAMPLE	G002021035	0.138018
SAMPLE	G001459095	0.163149
SAMPLE	G000832015	0.145424
SAMPLE	G000432575	0.202281
SAMPLE	G001819055	0.206341
SAMPLE	G001816455	0.15293
SAMPLE	G001672205	0.198854
SAMPLE	G900142995	0.149855
SAMPLE	G000992005	0.182275
SAMPLE	G000220175	0.207415
SAMPLE	G001917825	0.203389
SAMPLE	G000007905	0.129356
SAMPLE	G000426225	0.151691
SAMPLE	G000698785	0.190241
SAMPLE	G001547735	0.124966
SAMPLE	G000715205	0.117734
SAMPLE	G001578105	0.13065
SAMPLE	G001613505	0.156671
SAMPLE	G001781565	0.144614
SAMPLE	G000402795	0.212556
SAMPLE	G001462245	0.223129
SAMPLE	G900115435	0.19066
SAMPLE	G001873405	0.207776
SAMPLE	G000471625	0.145324
SAMPLE	G000744555	0.14378
SAMPLE	G000565195	0.139809
SAMPLE	G000621925	0.143745
SAMPLE	G000435715	0.186101
SAMPLE	G900142545	0.140291
SAMPLE	G001780515	0.208886
SAMPLE	G001298505	0.149003
SAMPLE	G000375645	0.184324
SAMPLE	G000025225	0.14685
SAMPLE	G000613805	0.15833
SAMPLE	G900113595	0.161833
SAMPLE	G000153825	0.114515
SAMPLE	G000526675	0.192275
SAMPLE	G000518485	0.158569
SAMPLE	G000565255	0.159391
SAMPLE	G900107185	0.134872
SAMPLE	G000689655	0.148402
SAMPLE	G000455225	0.127777
SAMPLE	G900106055	0.137419
SAMPLE	G001796605	0.168954
SAMPLE	G001404455	0.138602
SAMPLE	G000373385	0.219956
SAMPLE	G000145035	0.112488
SAMPLE	G001000955	0.162231
SAMPLE	G000740805	0.12773
SAMPLE	G000314955	0.147394
SAMPLE	G000196695	0.147625
SAMPLE	G001786555	0.207965
SAMPLE	G001803475	0.167703
SAMPLE	G000270185	0.133762
SAMPLE	G000404605	0.218215
SAMPLE	G001784805	0.170118
SAMPLE	G000814825	0.11352
SAMPLE	G000013125	0.148389
SAMPLE	G001817735	0.200279
SAMPLE	G001562845	0.147478
SAMPLE	G000999675	0.142162
SAMPLE	G001729285	0.200183
SAMPLE	G001791275	0.136097
SAMPLE	G000711885	0.212473
SAMPLE	G001305655	0.170577
SAMPLE	G900104295	0.179644
SAMPLE	G000764025	0.148016
SAMPLE	G900106595	0.130591
SAMPLE	G000435655	0.185095
SAMPLE	G000425145	0.173261
SAMPLE	G001610775	0.169931
SAMPLE	G000153045	0.11877
SAMPLE	G001441535	0.13678
SAMPLE	G001418475	0.139897
SAMPLE	G900107645	0.146053
SAMPLE	G000421565	0.136631
SAMPLE	G000429085	0.152474
SAMPLE	G001605965	0.137208
SAMPLE	G000143965	0.116885
SAMPLE	G001438925	0.161146
SAMPLE	G001418035	0.202839
SAMPLE	G001896965	0.225301
SAMPLE	G001932835	0.133128
SAMPLE	G001307855	0.129768
SAMPLE	G001434335	0.140787
SAMPLE	G000997595	0.219859
SAMPLE	G001804625	0.157874
SAMPLE	G001800015	0.190886
SAMPLE	G000972805	0.147696
SAMPLE	G001872005	0.201608
SAMPLE	G000316575	0.119265
SAMPLE	G900119765	0.139162
SAMPLE	G001797515	0.222781
SAMPLE	G001464115	0.154564
SAMPLE	G001576985	0.22537
SAMPLE	G000253175	0.152317
SAMPLE	G000264055	0.2143
SAMPLE	G000970465	0.135798
SAMPLE	G000768695	0.131852
SAMPLE	G001821065	0.190521
SAMPLE	G001776255	0.180535
SAMPLE	G000991025	0.136823
SAMPLE	G001560305	0.225345
SAMPLE	G000969945	0.189431
SAMPLE	G000614585	0.136875
SAMPLE	G900099605	0.158194
SAMPLE	G000155775	0.1379
SAMPLE	G000171335	0.114872
SAMPLE	G000010605	0.1321
SAMPLE	G000744455	0.203795
SAMPLE	G000444705	0.159268
SAMPLE	G000719955	0.138372
SAMPLE	G900142635	0.156921
SAMPLE	G000008625	0.145144
SAMPLE	G001881495	0.140076
SAMPLE	G001437845	0.145821
SAMPLE	G001021045	0.145256
SAMPLE	G900110165	0.128532
SAMPLE	G000421165	0.136004
SAMPLE	G001446935	0.155831
SAMPLE	G001790045	0.130482
SAMPLE	G000259255	0.127259
SAMPLE	G000185045	0.118487
SAMPLE	G000997615	0.218233
SAMPLE	G000407505	0.140677
SAMPLE	G000270425	0.153891
SAMPLE	G000424265	0.119736
SAMPLE	G001772355	0.139892
SAMPLE	G001000795	0.161405
SAMPLE	G000496175	0.196082
SAMPLE	G001560605	0.170086
SAMPLE	G001436415	0.122839
SAMPLE	G001645205	0.142332
SAMPLE	G001439085	0.205649
SAMPLE	G001654455	0.166629
SAMPLE	G000696185	0.126801
SAMPLE	G900107235	0.14059
SAMPLE	G000934725	0.140703
SAMPLE	G000228205	0.141863
SAMPLE	G000979185	0.204389
SAMPLE	G000721235	0.131288
SAMPLE	G001428865	0.14126
SAMPLE	G000488275	0.141704
SAMPLE	G000992255	0.213309
SAMPLE	G000422965	0.134593
SAMPLE	G001829005	0.209102
SAMPLE	G000765235	0.136234
SAMPLE	G000498575	0.145458
SAMPLE	G001580195	0.145005
SAMPLE	G000989635	0.15662
SAMPLE	G001821165	0.182499
SAMPLE	G001603415	0.21881
SAMPLE	G001781275	0.225281
SAMPLE	G001403875	0.133321
SAMPLE	G001781255	0.213977
SAMPLE	G000768315	0.156356
SAMPLE	G001702115	0.10716
SAMPLE	G001626315	0.211081
SAMPLE	G001821435	0.219685
SAMPLE	G000516655	0.123012
SAMPLE	G000380005	0.139399
SAMPLE	G001820535	0.205916
SAMPLE	G001458375	0.149922
SAMPLE	G001508745	0.165981
SAMPLE	G000282995	0.131164
SAMPLE	G001870665	0.145526
SAMPLE	G001412655	0.155605
SAMPLE	G001634425	0.12422
SAMPLE	G001304275	0.213037
SAMPLE	G001262595	0.145904
SAMPLE	G000753855	0.11848
SAMPLE	G001800985	0.213671
SAMPLE	G000968435	0.187831
SAMPLE	G000381625	0.124876
SAMPLE	G900115875	0.145422
SAMPLE	G002021175	0.140334
SAMPLE	G001786225	0.225072
SAMPLE	G000069945	0.143052
SAMPLE	G001560405	0.198232
SAMPLE	G001779595	0.169119
SAMPLE	G001902615	0.129837
SAMPLE	G001003085	0.194565
SAMPLE	G000011165	0.14609
SAMPLE	G000746525	0.135635
SAMPLE	G001801015	0.213624
SAMPLE	G001431725	0.142817
SAMPLE	G000421145	0.135833
SAMPLE	G001789725	0.149851
SAMPLE	G001458655	0.19475
SAMPLE	G000010345	0.134289
SAMPLE	G001438395	0.191348
SAMPLE	G000213355	0.136686
SAMPLE	G001508475	0.212419
SAMPLE	G000687435	0.138545
SAMPLE	G000008385	0.150795
SAMPLE	G001789745	0.217065
SAMPLE	G001310795	0.122789
SAMPLE	G000525955	0.137838
SAMPLE	G900103425	0.150687
SAMPLE	G001783045	0.1531
SAMPLE	G001751165	0.18031
SAMPLE	G000382685	0.17323
SAMPLE	G001824155	0.208971
SAMPLE	G001011155	0.12423
SAMPLE	G001804885	0.170238
SAMPLE	G001870015	0.00246701
SAMPLE	G000813025	0.124407
SAMPLE	G001508335	0.151317
SAMPLE	G001429025	0.131599
SAMPLE	G001705225	0.138106
SAMPLE	G000827595	0.155459
SAMPLE	G000465555	0.149015
SAMPLE	G000259575	0.140433
SAMPLE	G001825635	0.201808
SAMPLE	G000427565	0.115537
SAMPLE	G000007205	0.146101
SAMPLE	G001799285	0.192242
SAMPLE	G001276545	0.161245
SAMPLE	G000157975	0.12159
SAMPLE	G001412575	0.131236
SAMPLE	G000436395	0.199267
SAMPLE	G000689175	0.135626
SAMPLE	G000214665	0.140154
SAMPLE	G000270145	0.138353
SAMPLE	G001426435	0.137967
SAMPLE	G001783485	0.201806
SAMPLE	G900142105	0.133189
SAMPLE	G000607245	0.142957
SAMPLE	G001819035	0.197486
SAMPLE	G000373965	0.183203
SAMPLE	G001442625	0.165106
SAMPLE	G000179775	0.134643
SAMPLE	G001643095	0.141254
SAMPLE	G000799285	0.140323
SAMPLE	G001803285	0.21162
SAMPLE	G000265245	0.22182
SAMPLE	G000169455	0.150446
SAMPLE	G000143985	0.146656
SAMPLE	G000011205	0.207085
SAMPLE	G001418105	0.153411
SAMPLE	G000422705	0.159995
SAMPLE	G000400795	0.163627
SAMPLE	G001512945	0.142368
SAMPLE	G000786575	0.154875
SAMPLE	G001002965	0.152409
SAMPLE	G000980515	0.158987
SAMPLE	G000993785	0.134931
SAMPLE	G001875425	0.20376
SAMPLE	G000324145	0.164232
SAMPLE	G900105105	0.149119
SAMPLE	G000220645	0.199469
SAMPLE	G001792995	0.183764
SAMPLE	G000368025	0.14814
SAMPLE	G001610955	0.119414
SAMPLE	G001560835	0.207096
SAMPLE	G001563335	0.224146
SAMPLE	G900110915	0.140397
SAMPLE	G000312525	0.20794
SAMPLE	G000022885	0.151383
SAMPLE	G000158175	0.145728
SAMPLE	G000187005	0.117676
SAMPLE	G000485905	0.13878
SAMPLE	G000432275	0.204037
SAMPLE	G000428565	0.201028
SAMPLE	G001457875	0.137235
SAMPLE	G001000185	0.139664
SAMPLE	G001916215	0.207813
SAMPLE	G001493375	0.136695
SAMPLE	G001429315	0.130541
SAMPLE	G001830745	0.220519
SAMPLE	G001303875	0.142353
SAMPLE	G000418365	0.141532
SAMPLE	G000006745	0.152261
SAMPLE	G001457415	0.130378
SAMPLE	G000017245	0.141742
SAMPLE	G002019695	0.124902
SAMPLE	G000316665	0.140926
SAMPLE	G000427805	0.216771
SAMPLE	G001825065	0.219598
SAMPLE	G001869655	0.00258098
SAMPLE	G000195635	0.15784
