#software: krepp	#version: v0.0.2	#invocation :../krepp --num-threads 16 dist -l ../expt-WoLv1_10k/library-k29w35-h14/ -q /scratch/asapci/job_36290828//.mixture_reads-o2NQin.fq --hdist-th 4
SEQ_ID	REFERENCE_NAME	DIST
SAMPLE	G000379365	0.218324
SAMPLE	G000619885	0.208604
SAMPLE	G001591825	0.214959
SAMPLE	G001598915	0.189996
SAMPLE	G000515275	0.213815
SAMPLE	G900061675	0.219372
SAMPLE	G900104675	0.209892
SAMPLE	G000428565	0.21606
SAMPLE	G000485905	0.2067
SAMPLE	G000328665	0.223524
SAMPLE	G001484685	0.205512
SAMPLE	G000745855	0.205706
SAMPLE	G000063525	0.191204
SAMPLE	G001829715	0.219307
SAMPLE	G001750685	0.212578
SAMPLE	G001825065	0.21151
SAMPLE	G001889105	0.199083
SAMPLE	G001587475	0.213505
SAMPLE	G001587695	0.225118
SAMPLE	G000191925	0.225172
SAMPLE	G001424685	0.207635
SAMPLE	G001263755	0.19537
SAMPLE	G001920395	0.199049
SAMPLE	G000018305	0.174975
SAMPLE	G000177235	0.225166
SAMPLE	G000309945	0.196813
SAMPLE	G001918845	0.20668
SAMPLE	G001584645	0.19005
SAMPLE	G000429945	0.21723
SAMPLE	G000439105	0.207336
SAMPLE	G000718255	0.181731
SAMPLE	G000411375	0.193056
SAMPLE	G001437635	0.212519
SAMPLE	G001508535	0.216207
SAMPLE	G000463075	0.22204
SAMPLE	G000403035	0.219917
SAMPLE	G001508955	0.218308
SAMPLE	G000384935	0.21341
SAMPLE	G001653295	0.197382
SAMPLE	G002019735	0.213326
SAMPLE	G000376565	0.139986
SAMPLE	G000966265	0.215189
SAMPLE	G001781355	0.211965
SAMPLE	G001789695	0.225085
SAMPLE	G001685155	0.209599
SAMPLE	G001788195	0.220553
SAMPLE	G000424825	0.156069
SAMPLE	G001475935	0.203242
SAMPLE	G000568815	0.201089
SAMPLE	G000012565	0.210089
SAMPLE	G000703065	0.209318
SAMPLE	G900115855	0.216694
SAMPLE	G001791375	0.21758
SAMPLE	G001804605	0.220016
SAMPLE	G001917065	0.225355
SAMPLE	G001776415	0.203496
SAMPLE	G000997145	0.223097
SAMPLE	G001825445	0.211465
SAMPLE	G001830325	0.207247
SAMPLE	G001014615	0.197
SAMPLE	G000688475	0.184985
SAMPLE	G000429645	0.206899
SAMPLE	G001457815	0.203779
SAMPLE	G000310185	0.201229
SAMPLE	G001697225	0.205648
SAMPLE	G001777575	0.212935
SAMPLE	G001578075	0.223672
SAMPLE	G000410815	0.219976
SAMPLE	G000509225	0.206362
SAMPLE	G001603075	0.210504
SAMPLE	G000170875	0.214238
SAMPLE	G000385055	0.211382
SAMPLE	G000478585	0.218329
SAMPLE	G001791715	0.218681
SAMPLE	G001790435	0.208293
SAMPLE	G001516665	0.220337
SAMPLE	G000498355	0.215969
SAMPLE	G000160775	0.187102
SAMPLE	G001582735	0.21436
SAMPLE	G000998865	0.211558
SAMPLE	G900106745	0.213794
SAMPLE	G000195835	0.195269
SAMPLE	G000980835	0.191639
SAMPLE	G000807255	0.22175
SAMPLE	G000576635	0.202624
SAMPLE	G000093085	0.208777
SAMPLE	G000202835	0.203053
SAMPLE	G000381345	0.210675
SAMPLE	G000235565	0.204827
SAMPLE	G000152705	0.179414
SAMPLE	G001769045	0.225153
SAMPLE	G900109715	0.212334
SAMPLE	G900070165	0.214879
SAMPLE	G001803365	0.211611
SAMPLE	G001483845	0.213702
SAMPLE	G001774505	0.221057
SAMPLE	G000511135	0.185025
SAMPLE	G900113925	0.221978
SAMPLE	G000382385	0.20605
SAMPLE	G900102185	0.206028
SAMPLE	G001746425	0.149643
SAMPLE	G000711795	0.203513
SAMPLE	G000429465	0.209446
SAMPLE	G001780535	0.188702
SAMPLE	G000014465	0.21815
SAMPLE	G001781175	0.22015
SAMPLE	G001281525	0.21824
SAMPLE	G000716675	0.0548039
SAMPLE	G000702425	0.222707
SAMPLE	G000434955	0.218416
SAMPLE	G001693475	0.225189
SAMPLE	G900111615	0.215467
SAMPLE	G001457455	0.200161
SAMPLE	G001189575	0.211609
SAMPLE	G000377705	0.217664
SAMPLE	G000591035	0.206445
SAMPLE	G000725165	0.218051
SAMPLE	G001784555	0.198344
SAMPLE	G001654855	0.224525
SAMPLE	G001421285	0.210961
SAMPLE	G002007825	0.21577
SAMPLE	G001652465	0.192899
SAMPLE	G001656095	0.216371
SAMPLE	G900078795	0.197105
SAMPLE	G000406925	0.197522
SAMPLE	G001798155	0.202623
SAMPLE	G000389965	0.190703
SAMPLE	G001005825	0.201953
SAMPLE	G000294675	0.213808
SAMPLE	G001869815	0.211597
SAMPLE	G000812685	0.191298
SAMPLE	G000764205	0.204709
SAMPLE	G900095305	0.178356
SAMPLE	G000488255	0.205414
SAMPLE	G000829515	0.223607
SAMPLE	G000190415	0.213305
SAMPLE	G001787615	0.203191
SAMPLE	G001494635	0.197472
SAMPLE	G001821035	0.225174
SAMPLE	G001418575	0.163102
SAMPLE	G001576965	0.21075
SAMPLE	G900109475	0.204114
SAMPLE	G001704955	0.20917
SAMPLE	G000981545	0.20436
SAMPLE	G000970735	0.21164
SAMPLE	G000153345	0.192786
SAMPLE	G000828915	0.204422
SAMPLE	G001469005	0.213264
SAMPLE	G001897605	0.212638
SAMPLE	G000730285	0.2147
SAMPLE	G001542405	0.197436
SAMPLE	G000006865	0.21693
SAMPLE	G001822415	0.224976
SAMPLE	G001821245	0.225018
SAMPLE	G001927245	0.209427
SAMPLE	G001316265	0.220026
SAMPLE	G000698145	0.219942
SAMPLE	G000007765	0.205728
SAMPLE	G001437435	0.225165
SAMPLE	G000991735	0.171262
SAMPLE	G000378005	0.208831
SAMPLE	G001574705	0.190579
SAMPLE	G000751295	0.207155
SAMPLE	G000009025	0.21822
SAMPLE	G900089575	0.208589
SAMPLE	G001273775	0.207223
SAMPLE	G000426725	0.225186
SAMPLE	G001606025	0.21206
SAMPLE	G900111605	0.212423
SAMPLE	G000431355	0.212893
SAMPLE	G001707835	0.214926
SAMPLE	G900114995	0.203077
SAMPLE	G001439215	0.199117
SAMPLE	G000252765	0.225289
SAMPLE	G000612445	0.211612
SAMPLE	G000813845	0.185213
SAMPLE	G000152865	0.20445
SAMPLE	G000425205	0.221299
SAMPLE	G000315445	0.207933
SAMPLE	G000992765	0.193537
SAMPLE	G000409815	0.217487
SAMPLE	G001713375	0.202124
SAMPLE	G000298075	0.193756
SAMPLE	G000621465	0.209233
SAMPLE	G000007865	0.189066
SAMPLE	G001435065	0.220862
SAMPLE	G000762875	0.201701
SAMPLE	G001244495	0.205146
SAMPLE	G000269805	0.199258
SAMPLE	G000017685	0.211724
SAMPLE	G001784615	0.225306
SAMPLE	G001552935	0.210629
SAMPLE	G001420285	0.225211
SAMPLE	G000019205	0.208549
SAMPLE	G000833025	0.201712
SAMPLE	G900103145	0.205338
SAMPLE	G000179395	0.191701
SAMPLE	G000428465	0.208223
SAMPLE	G000741845	0.206827
